City,Party,Leader,Sentiment Value
belfast,,Nigel-Farage,0.0
belfast,,Nigel-Farage,0.0
belfast,,Nigel-Farage,0.0
belfast,,Nigel-Farage,0.0
belfast,,Nigel-Farage,0.0
belfast,,Nigel-Farage,0.0
belfast,,Nigel-Farage,-0.1
belfast,Brexit-Party,,0.05263158
belfast,Brexit-Party,,0.0
belfast,Brexit-Party,,0.11111111
belfast,Brexit-Party,,0.0
belfast,Brexit-Party,,0.074074075
belfast,Brexit-Party,,0.0
belfast,Brexit-Party,,-0.08
belfast,Brexit-Party,,0.14814815
belfast,Brexit-Party,,0.0
belfast,Brexit-Party,,-0.04
belfast,Brexit-Party,,-0.074074075
belfast,Brexit-Party,,0.0
belfast,Brexit-Party,,-0.10526316
belfast,Brexit-Party,,0.0
belfast,Brexit-Party,,-0.04347826
belfast,Brexit-Party,,0.0
belfast,Brexit-Party,,-0.11764706
belfast,Brexit-Party,,0.035714287
belfast,Brexit-Party,,-0.07692308
belfast,Brexit-Party,,0.03846154
belfast,Brexit-Party,,0.0
belfast,Brexit-Party,,0.0
belfast,Brexit-Party,,0.0
belfast,Brexit-Party,,-0.083333336
belfast,Brexit-Party,,0.0
belfast,Brexit-Party,,0.0
belfast,Brexit-Party,,0.0
belfast,,Boris-Johnson,0.035714287
belfast,,Boris-Johnson,0.035714287
belfast,,Boris-Johnson,0.035714287
belfast,,Boris-Johnson,-0.10714286
belfast,,Boris-Johnson,-0.10714286
belfast,,Boris-Johnson,0.0
belfast,,Boris-Johnson,-0.10714286
belfast,,Boris-Johnson,0.035714287
belfast,,Boris-Johnson,0.035714287
belfast,,Boris-Johnson,-0.10714286
belfast,,Boris-Johnson,0.0
belfast,,Boris-Johnson,0.035714287
belfast,,Boris-Johnson,0.035714287
belfast,,Boris-Johnson,-0.10714286
belfast,,Boris-Johnson,-0.10714286
belfast,,Boris-Johnson,0.035714287
belfast,,Boris-Johnson,-0.10714286
belfast,,Boris-Johnson,0.035714287
