City,Party,Leader,Sentiment Value
birmingham,Brexit-Party,,-0.03846154
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.6666667
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,-0.041666668
birmingham,Brexit-Party,,0.071428575
birmingham,Brexit-Party,,0.071428575
birmingham,Brexit-Party,,0.08
birmingham,Brexit-Party,,-0.030303031
birmingham,Brexit-Party,,-0.15789473
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,-0.030303031
birmingham,Brexit-Party,,0.032258064
birmingham,Brexit-Party,,-0.030303031
birmingham,Brexit-Party,,-0.032258064
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,-0.03846154
birmingham,Brexit-Party,,0.26086956
birmingham,Brexit-Party,,0.035714287
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.041666668
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,-0.035714287
birmingham,Brexit-Party,,0.13333334
birmingham,Brexit-Party,,0.30769232
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,-0.12
birmingham,Brexit-Party,,-0.071428575
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.16666667
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,-0.08
birmingham,Brexit-Party,,-0.08
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.03448276
birmingham,Brexit-Party,,0.04
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,0.0
birmingham,Brexit-Party,,-0.10714286
birmingham,,Boris-Johnson,-0.10714286
birmingham,,Boris-Johnson,0.0
birmingham,,Boris-Johnson,0.0
birmingham,,Boris-Johnson,0.0
birmingham,,Boris-Johnson,0.0
birmingham,,Boris-Johnson,-0.4
birmingham,,Boris-Johnson,0.0
birmingham,,Boris-Johnson,0.0
birmingham,,Boris-Johnson,0.0
birmingham,,Boris-Johnson,-0.05882353
birmingham,,Boris-Johnson,0.0
birmingham,,Boris-Johnson,0.0
birmingham,,Boris-Johnson,-0.05882353
birmingham,,Boris-Johnson,0.0
birmingham,,Boris-Johnson,-0.11111111
birmingham,,Boris-Johnson,-0.071428575
birmingham,,Boris-Johnson,0.05882353
birmingham,,Boris-Johnson,0.0
birmingham,,Boris-Johnson,0.0
birmingham,,Boris-Johnson,0.0
birmingham,,Boris-Johnson,0.0
birmingham,,Boris-Johnson,-0.05882353
birmingham,,Boris-Johnson,-0.10526316
birmingham,,Boris-Johnson,-0.10526316
birmingham,,Boris-Johnson,0.0
birmingham,,Boris-Johnson,-0.11764706
birmingham,,Boris-Johnson,0.0
birmingham,,Boris-Johnson,0.0
