City,Party,Leader,Sentiment Value
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,0.033333335
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,-0.03846154
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.14814815
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.03846154
cardiff,Brexit-Party,,0.22222222
cardiff,Brexit-Party,,0.071428575
cardiff,Brexit-Party,,0.04761905
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,-0.035714287
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,0.12
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,0.035714287
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,-0.22222222
cardiff,Brexit-Party,,-0.22222222
cardiff,Brexit-Party,,-0.22222222
cardiff,Brexit-Party,,-0.22222222
cardiff,Brexit-Party,,-0.22222222
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,-0.22222222
cardiff,Brexit-Party,,-0.22222222
cardiff,Brexit-Party,,-0.22222222
cardiff,Brexit-Party,,-0.22222222
cardiff,Brexit-Party,,-0.22222222
cardiff,Brexit-Party,,-0.25
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,0.04
cardiff,Brexit-Party,,0.08695652
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,0.0
cardiff,Brexit-Party,,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.033333335
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,-0.045454547
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.041666668
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,-0.23076923
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.033333335
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,-0.045454547
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.041666668
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,-0.23076923
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Nigel-Farage,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.04347826
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,-0.22222222
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,-0.22222222
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,-0.22222222
cardiff,,Boris-Johnson,-0.22222222
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,-0.22222222
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,-0.22222222
cardiff,,Boris-Johnson,-0.04347826
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,-0.22222222
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,-0.22222222
cardiff,,Boris-Johnson,-0.22222222
cardiff,,Boris-Johnson,-0.22222222
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,-0.04347826
cardiff,,Boris-Johnson,-0.25
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,-0.04761905
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.07692308
cardiff,,Boris-Johnson,-0.09090909
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,-0.42105263
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,-0.055555556
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,-0.037037037
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,-0.13636364
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.083333336
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,-0.09677419
cardiff,,Boris-Johnson,0.25
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.12
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,-0.05882353
cardiff,,Boris-Johnson,-0.05882353
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,-0.07692308
cardiff,,Boris-Johnson,0.0
cardiff,,Boris-Johnson,0.0
cardiff,,Jeremy-Corbyn,0.0
cardiff,,Jeremy-Corbyn,0.0
cardiff,,Jeremy-Corbyn,-0.18181819
cardiff,,Jeremy-Corbyn,-0.11111111
cardiff,,Jeremy-Corbyn,0.23076923
