City,Party,Leader,Sentiment Value
aberdeen,,Jo-Swinson,0.07692308
aberdeen,,Jo-Swinson,0.035714287
aberdeen,,Jo-Swinson,-0.10344828
aberdeen,,Jo-Swinson,0.083333336
aberdeen,Brexit-Party,,0.0
aberdeen,Brexit-Party,,0.0
aberdeen,Brexit-Party,,-0.060606062
aberdeen,Brexit-Party,,-0.060606062
aberdeen,Brexit-Party,,-0.060606062
aberdeen,Brexit-Party,,0.083333336
aberdeen,Brexit-Party,,-0.06666667
aberdeen,Brexit-Party,,0.0
aberdeen,Brexit-Party,,0.0
aberdeen,Brexit-Party,,0.04347826
aberdeen,Brexit-Party,,0.0
aberdeen,Brexit-Party,,0.0
aberdeen,Brexit-Party,,0.0
aberdeen,Brexit-Party,,0.0
aberdeen,Brexit-Party,,0.0
aberdeen,Brexit-Party,,0.0
aberdeen,Brexit-Party,,0.0
aberdeen,,Boris-Johnson,0.05
aberdeen,,Boris-Johnson,0.11111111
aberdeen,,Boris-Johnson,-0.10714286
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,-0.115384616
aberdeen,,Boris-Johnson,0.12
aberdeen,,Boris-Johnson,-0.04347826
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,-0.16129032
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,-0.06666667
aberdeen,,Boris-Johnson,-0.04
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.032258064
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,-0.14285715
aberdeen,,Boris-Johnson,-0.16129032
aberdeen,,Boris-Johnson,0.083333336
aberdeen,,Boris-Johnson,-0.16129032
aberdeen,,Boris-Johnson,-0.1724138
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,-0.11764706
aberdeen,,Boris-Johnson,-0.0625
aberdeen,,Boris-Johnson,-0.12903225
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.05
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.05
aberdeen,,Boris-Johnson,0.05882353
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.05
aberdeen,,Boris-Johnson,0.11111111
aberdeen,,Boris-Johnson,-0.10714286
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,-0.115384616
aberdeen,,Boris-Johnson,0.12
aberdeen,,Boris-Johnson,-0.04347826
aberdeen,,Boris-Johnson,0.0
aberdeen,,Boris-Johnson,0.0
aberdeen,,Nigel-Farage,0.13636364
aberdeen,,Nigel-Farage,0.0
aberdeen,,Jo-Swinson,0.0
aberdeen,,Jo-Swinson,0.15384616
aberdeen,,Jo-Swinson,0.0
aberdeen,,Jo-Swinson,0.0
aberdeen,,Jo-Swinson,0.0
aberdeen,,Jo-Swinson,0.07692308
aberdeen,,Jo-Swinson,0.035714287
aberdeen,,Jo-Swinson,-0.10344828
aberdeen,,Jo-Swinson,0.083333336
aberdeen,Liberal-Democrats,,0.0
aberdeen,Liberal-Democrats,,0.0
aberdeen,Liberal-Democrats,,0.0
aberdeen,Liberal-Democrats,,0.0
aberdeen,Labour-Party,,0.0
aberdeen,Labour-Party,,0.0
aberdeen,Labour-Party,,0.037037037
aberdeen,Labour-Party,,0.0
aberdeen,Labour-Party,,0.14285715
aberdeen,,Nigel-Farage,0.08
aberdeen,,Nigel-Farage,0.0
aberdeen,,Nigel-Farage,0.0952381
aberdeen,,Nigel-Farage,0.13636364
aberdeen,,Nigel-Farage,0.0
aberdeen,Conservative-Party,,0.0
aberdeen,Conservative-Party,,0.08695652
aberdeen,,Jeremy-Corbyn,0.0
aberdeen,,Jeremy-Corbyn,-0.074074075
aberdeen,,Jeremy-Corbyn,0.0
aberdeen,,Jeremy-Corbyn,0.0
aberdeen,,Jeremy-Corbyn,0.05
aberdeen,,Jeremy-Corbyn,0.05
aberdeen,,Jeremy-Corbyn,0.05882353
aberdeen,,Jeremy-Corbyn,0.0
aberdeen,,Jeremy-Corbyn,0.0
aberdeen,,Jeremy-Corbyn,0.0
aberdeen,,Jeremy-Corbyn,0.0
aberdeen,,Jeremy-Corbyn,0.0
aberdeen,,Jeremy-Corbyn,0.0
aberdeen,Conservative-Party,,0.0
aberdeen,Conservative-Party,,-0.13043478
aberdeen,Conservative-Party,,0.0
aberdeen,Conservative-Party,,0.08695652
aberdeen,Liberal-Democrats,,0.0
aberdeen,Labour-Party,,0.0
aberdeen,Labour-Party,,0.0
aberdeen,Labour-Party,,0.0
aberdeen,Labour-Party,,-0.037037037
aberdeen,Labour-Party,,0.04347826
aberdeen,Labour-Party,,0.05
aberdeen,Labour-Party,,0.05882353
aberdeen,Labour-Party,,0.0
aberdeen,Labour-Party,,0.0
aberdeen,Labour-Party,,0.0
aberdeen,Labour-Party,,0.0
aberdeen,Labour-Party,,0.0
aberdeen,Labour-Party,,0.0
aberdeen,Labour-Party,,0.0
aberdeen,Labour-Party,,0.0
aberdeen,Labour-Party,,0.037037037
aberdeen,Labour-Party,,0.0
aberdeen,Labour-Party,,0.14285715
