City,Party,Leader,Sentiment Value
glasgow,Liberal-Democrats,,0.0
glasgow,Liberal-Democrats,,-0.041666668
glasgow,Liberal-Democrats,,-0.041666668
glasgow,Liberal-Democrats,,0.035714287
glasgow,Liberal-Democrats,,-0.041666668
glasgow,Liberal-Democrats,,-0.045454547
glasgow,Liberal-Democrats,,0.0
glasgow,Liberal-Democrats,,0.0
glasgow,Liberal-Democrats,,0.0
glasgow,Liberal-Democrats,,0.0
glasgow,Liberal-Democrats,,0.0
glasgow,Liberal-Democrats,,0.0
glasgow,Liberal-Democrats,,0.0
glasgow,Liberal-Democrats,,0.0
glasgow,Liberal-Democrats,,-0.041666668
glasgow,Liberal-Democrats,,0.0
glasgow,Liberal-Democrats,,0.0
glasgow,Liberal-Democrats,,0.0
glasgow,Liberal-Democrats,,0.0
glasgow,Liberal-Democrats,,0.0
glasgow,Liberal-Democrats,,0.0
glasgow,Liberal-Democrats,,0.0
glasgow,,Jeremy-Corbyn,-0.03448276
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,0.09090909
glasgow,,Jeremy-Corbyn,0.1
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,-0.125
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,-0.09090909
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,-0.05
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,-0.25
glasgow,,Jeremy-Corbyn,-0.16666667
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,0.17391305
glasgow,,Jeremy-Corbyn,-0.09090909
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,0.05
glasgow,,Jeremy-Corbyn,-0.035714287
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,0.0
glasgow,,Jeremy-Corbyn,-0.09090909
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.071428575
glasgow,,Nigel-Farage,0.055555556
glasgow,,Nigel-Farage,0.16666667
glasgow,,Nigel-Farage,-0.30769232
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,-0.1764706
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,-0.1764706
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,-0.037037037
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,-0.037037037
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,-0.1
glasgow,,Nigel-Farage,-0.21052632
glasgow,,Nigel-Farage,0.045454547
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.18181819
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,-0.23809524
glasgow,,Nigel-Farage,-0.04
glasgow,,Nigel-Farage,-0.09090909
glasgow,,Nigel-Farage,-0.04
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,-0.36
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.11111111
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,-0.36
glasgow,,Nigel-Farage,0.14285715
glasgow,,Nigel-Farage,-0.071428575
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,-0.1
glasgow,,Nigel-Farage,0.6
glasgow,,Nigel-Farage,-0.36
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,-0.1
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,-0.1
glasgow,,Nigel-Farage,-0.1
glasgow,,Nigel-Farage,-0.36
glasgow,,Nigel-Farage,-0.1
glasgow,,Nigel-Farage,-0.1
glasgow,,Nigel-Farage,0.0
glasgow,,Nigel-Farage,-0.1
glasgow,,Nigel-Farage,-0.1
glasgow,,Nigel-Farage,-0.1
glasgow,,Nigel-Farage,-0.1
glasgow,,Nigel-Farage,-0.1
glasgow,,Nigel-Farage,-0.1
glasgow,,Nigel-Farage,-0.36
glasgow,,Nigel-Farage,-0.36
glasgow,,Nigel-Farage,-0.36
glasgow,,Nigel-Farage,-0.36
glasgow,,Nigel-Farage,-0.36
glasgow,,Nigel-Farage,-0.1
glasgow,,Nigel-Farage,-0.39130434
glasgow,,Nigel-Farage,-0.1
glasgow,,Nigel-Farage,-0.17857143
glasgow,,Nigel-Farage,0.071428575
glasgow,Labour-Party,,0.074074075
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,-0.21428572
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,-0.083333336
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,0.071428575
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,0.083333336
glasgow,Labour-Party,,0.115384616
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,0.071428575
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,0.071428575
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,-0.04
glasgow,Labour-Party,,0.0
glasgow,Labour-Party,,-0.3
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.18518518
glasgow,,Jo-Swinson,0.07692308
glasgow,,Jo-Swinson,0.15384616
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,-0.27272728
glasgow,,Jo-Swinson,-0.13043478
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,-0.15384616
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.074074075
glasgow,,Jo-Swinson,0.04761905
glasgow,,Jo-Swinson,-0.03448276
glasgow,,Jo-Swinson,-0.0625
glasgow,,Jo-Swinson,-0.0625
glasgow,,Jo-Swinson,-0.0625
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.08
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.125
glasgow,,Jo-Swinson,-0.0625
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.15
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.2
glasgow,,Jo-Swinson,-0.13636364
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,-0.05
glasgow,,Jo-Swinson,-0.0625
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.13333334
glasgow,,Jo-Swinson,-0.0952381
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,-0.0952381
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,-0.15
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,-0.0625
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,-0.0625
glasgow,,Jo-Swinson,-0.0625
glasgow,,Jo-Swinson,-0.0625
glasgow,,Jo-Swinson,-0.0625
glasgow,,Jo-Swinson,-0.0625
glasgow,,Jo-Swinson,-0.0625
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,-0.0625
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.035714287
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,-0.0625
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,-0.033333335
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,0.0
glasgow,,Jo-Swinson,-0.12
glasgow,,Jo-Swinson,-0.04
glasgow,,Jo-Swinson,0.13333334
glasgow,,Jo-Swinson,0.13333334
