City,Party,Leader,Sentiment Value
newport,,Nigel-Farage,0.0
newport,,Nigel-Farage,0.0
newport,,Nigel-Farage,0.0
newport,,Nigel-Farage,0.0
newport,,Nigel-Farage,0.0
newport,,Nigel-Farage,0.0
newport,,Boris-Johnson,0.15789473
newport,,Boris-Johnson,0.0
newport,Labour-Party,,0.10714286
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.115384616
newport,Labour-Party,,0.0
newport,Labour-Party,,0.04347826
newport,Labour-Party,,0.10714286
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.115384616
newport,Labour-Party,,0.0
newport,Labour-Party,,0.04347826
newport,,Nigel-Farage,0.0
newport,,Nigel-Farage,0.0
newport,,Nigel-Farage,0.0
newport,Conservative-Party,,0.0
newport,Conservative-Party,,0.0
newport,,Nigel-Farage,0.0
newport,,Nigel-Farage,0.0
newport,Conservative-Party,,0.0
newport,Conservative-Party,,0.0
newport,Conservative-Party,,0.0
newport,Conservative-Party,,0.0
newport,,Boris-Johnson,0.15789473
newport,,Boris-Johnson,0.0
newport,,Boris-Johnson,0.15789473
newport,,Boris-Johnson,0.0
newport,,Boris-Johnson,0.15789473
newport,,Boris-Johnson,0.0
newport,Labour-Party,,0.10714286
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.115384616
newport,Labour-Party,,0.0
newport,Labour-Party,,0.04347826
newport,Labour-Party,,0.10714286
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.115384616
newport,Labour-Party,,0.0
newport,Labour-Party,,0.04347826
newport,Conservative-Party,,0.0
newport,Conservative-Party,,0.0
newport,,Boris-Johnson,0.15789473
newport,,Boris-Johnson,0.0
newport,Labour-Party,,0.10714286
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.115384616
newport,Labour-Party,,0.0
newport,Labour-Party,,0.04347826
newport,Conservative-Party,,0.0
newport,Conservative-Party,,0.0
