City,Party,Leader,Sentiment Value
lisburn,Conservative-Party,,-0.09375
lisburn,Conservative-Party,,0.2173913
lisburn,,Jo-Swinson,-0.07692308
lisburn,,Jo-Swinson,-0.07692308
lisburn,Conservative-Party,,-0.09375
lisburn,Conservative-Party,,0.2173913
lisburn,,Nigel-Farage,0.0
lisburn,,Nigel-Farage,0.0
lisburn,,Jo-Swinson,-0.07692308
lisburn,Brexit-Party,,0.0
lisburn,Brexit-Party,,0.0
lisburn,Brexit-Party,,0.0
lisburn,Brexit-Party,,0.0
lisburn,Brexit-Party,,0.2173913
lisburn,Conservative-Party,,-0.09375
lisburn,Conservative-Party,,0.2173913
lisburn,,Nigel-Farage,0.0
lisburn,,Nigel-Farage,0.0
lisburn,,Nigel-Farage,0.0
lisburn,,Nigel-Farage,0.0
lisburn,Brexit-Party,,0.0
lisburn,Brexit-Party,,0.0
lisburn,Brexit-Party,,0.0
lisburn,Brexit-Party,,0.0
lisburn,Brexit-Party,,0.2173913
lisburn,Brexit-Party,,0.0
lisburn,Brexit-Party,,0.0
lisburn,Brexit-Party,,0.0
lisburn,Brexit-Party,,0.0
lisburn,Brexit-Party,,0.2173913
lisburn,,Jo-Swinson,-0.07692308
lisburn,Brexit-Party,,0.0
lisburn,Brexit-Party,,0.0
lisburn,Brexit-Party,,0.0
lisburn,Brexit-Party,,0.0
lisburn,Brexit-Party,,0.2173913
lisburn,Conservative-Party,,-0.09375
lisburn,Conservative-Party,,0.2173913
lisburn,,Nigel-Farage,0.0
lisburn,,Nigel-Farage,0.0
lisburn,Conservative-Party,,-0.09375
lisburn,Conservative-Party,,0.2173913
lisburn,,Jo-Swinson,-0.07692308
lisburn,Brexit-Party,,0.0
lisburn,Brexit-Party,,0.0
lisburn,Brexit-Party,,0.0
lisburn,Brexit-Party,,0.0
lisburn,Brexit-Party,,0.2173913
lisburn,,Nigel-Farage,0.0
lisburn,,Nigel-Farage,0.0
