City,Party,Leader,Sentiment Value
derry,,Jeremy-Corbyn,0.0952381
derry,,Jeremy-Corbyn,0.0
derry,,Jeremy-Corbyn,0.0
derry,,Jeremy-Corbyn,0.0
derry,,Jeremy-Corbyn,-0.074074075
derry,,Jeremy-Corbyn,0.0952381
derry,,Jeremy-Corbyn,0.0
derry,,Jeremy-Corbyn,0.0
derry,,Jeremy-Corbyn,0.0
derry,,Jeremy-Corbyn,-0.074074075
derry,,Jo-Swinson,0.0
derry,,Jo-Swinson,0.0
derry,,Boris-Johnson,0.0
derry,,Boris-Johnson,0.03846154
derry,,Boris-Johnson,0.0
derry,,Boris-Johnson,0.0
derry,,Boris-Johnson,0.0
derry,,Jo-Swinson,0.0
derry,,Jo-Swinson,0.0
derry,,Jo-Swinson,0.0
derry,,Jo-Swinson,0.0
derry,,Nigel-Farage,-0.5
derry,,Nigel-Farage,0.0
derry,,Jeremy-Corbyn,0.0952381
derry,,Jeremy-Corbyn,0.0
derry,,Jeremy-Corbyn,0.0
derry,,Jeremy-Corbyn,0.0
derry,,Jeremy-Corbyn,-0.074074075
derry,,Jo-Swinson,0.0
derry,,Jo-Swinson,0.0
derry,,Boris-Johnson,0.0
derry,,Boris-Johnson,0.03846154
derry,,Boris-Johnson,0.0
derry,,Boris-Johnson,0.0
derry,,Boris-Johnson,0.0
derry,Brexit-Party,,0.0
derry,,Nigel-Farage,0.0
derry,Labour-Party,,0.0
derry,,Jeremy-Corbyn,0.0952381
derry,,Jeremy-Corbyn,0.0
derry,,Jeremy-Corbyn,0.0
derry,,Jeremy-Corbyn,0.0
derry,,Jeremy-Corbyn,-0.074074075
derry,,Jeremy-Corbyn,0.0952381
derry,,Jeremy-Corbyn,0.0
derry,,Jeremy-Corbyn,0.0
derry,,Jeremy-Corbyn,0.0
derry,,Jeremy-Corbyn,-0.074074075
derry,,Nigel-Farage,-0.5
derry,,Nigel-Farage,0.0
derry,,Nigel-Farage,-0.5
derry,,Nigel-Farage,0.0
derry,,Boris-Johnson,0.0
derry,,Boris-Johnson,0.03846154
derry,,Boris-Johnson,0.0
derry,,Boris-Johnson,0.0
derry,,Boris-Johnson,0.0
derry,Brexit-Party,,0.0
derry,,Nigel-Farage,-0.5
derry,,Nigel-Farage,0.0
derry,,Boris-Johnson,0.0
derry,,Boris-Johnson,0.03846154
derry,,Boris-Johnson,0.0
derry,,Boris-Johnson,0.0
derry,,Boris-Johnson,0.0
derry,Brexit-Party,,0.0
derry,Brexit-Party,,0.0
derry,,Boris-Johnson,0.0
derry,,Boris-Johnson,0.03846154
derry,,Boris-Johnson,0.0
derry,Labour-Party,,0.0
derry,Brexit-Party,,0.0
derry,,Jo-Swinson,0.0
derry,,Jo-Swinson,0.0
