City,Party,Leader,Sentiment Value
newport,,Nigel-Farage,0.0
newport,,Nigel-Farage,0.0
newport,Brexit-Party,,0.0
newport,Brexit-Party,,0.0
newport,,Jeremy-Corbyn,0.13333334
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.20833333
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Boris-Johnson,0.1875
newport,,Boris-Johnson,0.20833333
newport,,Boris-Johnson,0.0
newport,,Boris-Johnson,0.0
newport,,Boris-Johnson,0.06666667
newport,,Boris-Johnson,-0.125
newport,,Boris-Johnson,-0.5
newport,,Boris-Johnson,0.0
newport,,Boris-Johnson,0.0
newport,,Boris-Johnson,0.0
newport,Labour-Party,,-0.16
newport,Labour-Party,,-0.16
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,-0.16
newport,Labour-Party,,-0.16666667
newport,Labour-Party,,0.27272728
newport,Labour-Party,,-0.07692308
newport,,Jeremy-Corbyn,0.13333334
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.20833333
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Nigel-Farage,0.0
newport,Brexit-Party,,0.0
newport,Brexit-Party,,0.0
newport,Conservative-Party,,-0.16
newport,Conservative-Party,,-0.16
newport,Conservative-Party,,-0.16
newport,Conservative-Party,,-0.16666667
newport,,Jeremy-Corbyn,0.13333334
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.20833333
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,,Jeremy-Corbyn,0.0
newport,Conservative-Party,,-0.16
newport,Conservative-Party,,-0.16
newport,Conservative-Party,,-0.16
newport,Conservative-Party,,-0.16666667
newport,Conservative-Party,,-0.16
newport,Conservative-Party,,-0.16
newport,Conservative-Party,,-0.16
newport,Conservative-Party,,-0.16666667
newport,,Boris-Johnson,0.1875
newport,,Boris-Johnson,0.20833333
newport,,Boris-Johnson,0.0
newport,,Boris-Johnson,0.0
newport,,Boris-Johnson,0.06666667
newport,,Boris-Johnson,-0.125
newport,,Boris-Johnson,-0.5
newport,,Boris-Johnson,0.0
newport,,Boris-Johnson,0.0
newport,,Boris-Johnson,0.0
newport,,Boris-Johnson,0.1875
newport,,Boris-Johnson,0.20833333
newport,,Boris-Johnson,0.0
newport,,Boris-Johnson,0.0
newport,,Boris-Johnson,0.06666667
newport,,Boris-Johnson,-0.125
newport,,Boris-Johnson,-0.5
newport,,Boris-Johnson,0.0
newport,,Boris-Johnson,0.0
newport,,Boris-Johnson,0.0
newport,Labour-Party,,-0.16
newport,Labour-Party,,-0.16
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,-0.16
newport,Labour-Party,,-0.16666667
newport,Labour-Party,,0.27272728
newport,Labour-Party,,-0.07692308
newport,Brexit-Party,,0.0
newport,Brexit-Party,,0.0
newport,Labour-Party,,-0.16
newport,Labour-Party,,-0.16
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,0.0
newport,Labour-Party,,-0.16
newport,Labour-Party,,-0.16666667
newport,Labour-Party,,0.27272728
newport,Labour-Party,,-0.07692308
