city,party,leader,tweet,tweet_time
cardiff,,Boris-Johnson,"RT @FromSteveHowell: 1/3 Lie-check: Peter Oborne lists TEN blatant Boris Johnson lies so far.

👎40 NHS hospitals
👎20,000 police
👎£1.2 trill…",Fri Nov 22 01:24:33 +0000 2019
cardiff,,Boris-Johnson,"RT @FromSteveHowell: 1/3 Lie-check: Peter Oborne lists TEN blatant Boris Johnson lies so far.

👎40 NHS hospitals
👎20,000 police
👎£1.2 trill…",Fri Nov 22 01:23:23 +0000 2019
cardiff,,Boris-Johnson,"RT @FromSteveHowell: 1/3 Lie-check: Peter Oborne lists TEN blatant Boris Johnson lies so far.

👎40 NHS hospitals
👎20,000 police
👎£1.2 trill…",Fri Nov 22 01:22:09 +0000 2019
cardiff,,Boris-Johnson,"RT @FromSteveHowell: 1/3 Lie-check: Peter Oborne lists TEN blatant Boris Johnson lies so far.

👎40 NHS hospitals
👎20,000 police
👎£1.2 trill…",Fri Nov 22 01:20:33 +0000 2019
cardiff,,Boris-Johnson,"RT @Jaz4Caerphilly: Oh Goddess

This country, eh?

If you're as fed up of this idiocy and game-playing as I am, vote for somebody who isn't…",Thu Nov 21 23:43:17 +0000 2019
cardiff,,Boris-Johnson,Leaders' election TV debate cancelled after Boris Johnson refuses to take part https://t.co/F7xsptpBF5,Thu Nov 21 23:40:33 +0000 2019
cardiff,,Boris-Johnson,"RT @Jaz4Caerphilly: Oh Goddess

This country, eh?

If you're as fed up of this idiocy and game-playing as I am, vote for somebody who isn't…",Thu Nov 21 23:37:29 +0000 2019
cardiff,,Boris-Johnson,"RT @Jaz4Caerphilly: Oh Goddess

This country, eh?

If you're as fed up of this idiocy and game-playing as I am, vote for somebody who isn't…",Thu Nov 21 22:39:29 +0000 2019
cardiff,,Boris-Johnson,"RT @Jaz4Caerphilly: Oh Goddess

This country, eh?

If you're as fed up of this idiocy and game-playing as I am, vote for somebody who isn't…",Thu Nov 21 22:36:08 +0000 2019
cardiff,,Boris-Johnson,"RT @Jaz4Caerphilly: Oh Goddess

This country, eh?

If you're as fed up of this idiocy and game-playing as I am, vote for somebody who isn't…",Thu Nov 21 22:35:19 +0000 2019
cardiff,,Boris-Johnson,"RT @Jaz4Caerphilly: Oh Goddess

This country, eh?

If you're as fed up of this idiocy and game-playing as I am, vote for somebody who isn't…",Thu Nov 21 22:16:13 +0000 2019
cardiff,,Boris-Johnson,"Oh Goddess

This country, eh?

If you're as fed up of this idiocy and game-playing as I am, vote for somebody who i… https://t.co/hIYMDVcr5L",Thu Nov 21 22:14:56 +0000 2019
cardiff,,Boris-Johnson,"What is @BorisJohnson @10DowningStreet so afraid of? #StopBoris 
https://t.co/vx0zSaI9Vj",Thu Nov 21 21:59:42 +0000 2019
cardiff,,Boris-Johnson,"@BorisJohnson Boris Johnson chickens out of live @Channel4News debate with Jeremy Corbyn 

➡️… https://t.co/tSr1fVIQAr",Thu Nov 21 21:48:29 +0000 2019
cardiff,,Boris-Johnson,Boris Johnson's Conservative Party election campaign funded by wife of former Putin ally https://t.co/yEYfJdC53e,Thu Nov 21 20:51:57 +0000 2019
cardiff,,Boris-Johnson,"What a surprise!!! #Johnson lets a lot of people down.

Again.

This is his default behaviour.

He is recklessly ir… https://t.co/y5iVzu3C7N",Thu Nov 21 20:23:06 +0000 2019
cardiff,,Boris-Johnson,"RT @FromSteveHowell: 1/3 Lie-check: Peter Oborne lists TEN blatant Boris Johnson lies so far.

👎40 NHS hospitals
👎20,000 police
👎£1.2 trill…",Thu Nov 21 20:08:17 +0000 2019
cardiff,,Boris-Johnson,"RT @FromSteveHowell: 1/3 Lie-check: Peter Oborne lists TEN blatant Boris Johnson lies so far.

👎40 NHS hospitals
👎20,000 police
👎£1.2 trill…",Thu Nov 21 19:50:13 +0000 2019
cardiff,,Boris-Johnson,"Boris Johnson is trustworthy.
#StartAnArgumentIn4Words",Thu Nov 21 19:48:35 +0000 2019
cardiff,,Boris-Johnson,RT @_JessicaDavies: Censoring media which calls you out on your BS? Sounds a lot like Trump to me... Tories ban the Mirror from Boris Johns…,Thu Nov 21 19:09:09 +0000 2019
cardiff,,Boris-Johnson,"RT @fussydolphin: Boris Johnson's election campaign funded by wife of former Putin ally
#ReleaseTheRussianReport  https://t.co/7RhcqVzZyK",Thu Nov 21 19:01:42 +0000 2019
cardiff,,Boris-Johnson,"Not a massive fan of corbyn, however i cant bare to see boris johnson in charge of this country, so seen as i cant… https://t.co/lIWjfwXIUL",Thu Nov 21 19:00:40 +0000 2019
cardiff,,Boris-Johnson,"RT @fussydolphin: Boris Johnson's election campaign funded by wife of former Putin ally
#ReleaseTheRussianReport  https://t.co/7RhcqVzZyK",Thu Nov 21 18:27:58 +0000 2019
cardiff,,Boris-Johnson,"Boris Johnson's election campaign funded by wife of former Putin ally
#ReleaseTheRussianReport  https://t.co/7RhcqVzZyK",Thu Nov 21 18:27:46 +0000 2019
cardiff,,Boris-Johnson,"@C1978Cliff @jeremycorbyn 😂 'I'm ex-forces so I know Corbyn supports the IRA'
Dear God, next you will be telling me… https://t.co/DM3p9pPnK3",Thu Nov 21 18:25:35 +0000 2019
cardiff,,Boris-Johnson,https://t.co/ppcPU5DPUD,Thu Nov 21 17:33:32 +0000 2019
cardiff,,Boris-Johnson,Boris Johnson's Conservative Party election campaign funded by wife of former Putin ally https://t.co/cdvZ8x3Tm0,Thu Nov 21 16:40:14 +0000 2019
cardiff,,Boris-Johnson,"@LibDems Nothing to do with Jeremy Corbyn, legally binding promise..

https://t.co/SP9iBVx5Y9",Thu Nov 21 15:34:00 +0000 2019
cardiff,,Boris-Johnson,"This throws the cat amongst the pigeons.. Lib dem would want a 2nd referendum if they don't win the election, they… https://t.co/cF1JqNrRpy",Thu Nov 21 15:30:24 +0000 2019
cardiff,,Boris-Johnson,I might throw out my tv If I have to hear Boris Johnson say “oven ready brexit deal” one more time. It’s almost as… https://t.co/PUmkrPoTig,Thu Nov 21 14:18:40 +0000 2019
cardiff,,Boris-Johnson,"RT @fussydolphin: Missed last night's Leaders debate?
Catch up on a few of Boris Johnson's lies... https://t.co/kbKPDjSS8b",Thu Nov 21 13:49:12 +0000 2019
cardiff,,Boris-Johnson,Minister left squirming at another Boris Johnson false campaign claim https://t.co/DZE3T6yFyM,Thu Nov 21 13:48:10 +0000 2019
cardiff,,Boris-Johnson,"Missed last night's Leaders debate?
Catch up on a few of Boris Johnson's lies... https://t.co/kbKPDjSS8b",Thu Nov 21 13:45:20 +0000 2019
cardiff,,Boris-Johnson,"Corbyn wins clear debate victory against Boris Johnson among undecided voters, poll shows https://t.co/9OFmr6CC8y",Thu Nov 21 13:31:13 +0000 2019
cardiff,,Boris-Johnson,Read my Nov 21 Newsletter featuring “Tories ban the Mirror from Boris Johnson's general election battle bus” https://t.co/TqH4AOX7Cs,Thu Nov 21 13:09:04 +0000 2019
cardiff,,Boris-Johnson,https://t.co/n8byG3NEiD,Thu Nov 21 11:30:24 +0000 2019
cardiff,,Boris-Johnson,"RT @JitterbugSs: God, they can't even get their stories straight!
General election: Chancellor Sajid Javid downgrades Boris Johnson's low-p…",Thu Nov 21 11:12:33 +0000 2019
cardiff,,Boris-Johnson,@Adamprice please can you explain how working with a party that is now talking about working with Boris Johnson hel… https://t.co/KwrLQjGFVK,Thu Nov 21 10:30:28 +0000 2019
cardiff,,Boris-Johnson,"God, they can't even get their stories straight!
General election: Chancellor Sajid Javid downgrades Boris Johnson'… https://t.co/Yb46h7zepa",Thu Nov 21 10:29:13 +0000 2019
