city,party,leader,tweet,tweet_time
london,,Boris-Johnson,RT @krishgm: Boris Johnson said he was in favour of debates and his team have been in detailed talks with us for weeks about format and rul…,Fri Nov 22 04:29:31 +0000 2019
london,,Boris-Johnson,"RT @doug_parr: If Boris Johnson fails to show in party leaders debate on the climate &amp; nature emergencies, it’s no good greenish Tories say…",Fri Nov 22 04:28:58 +0000 2019
london,,Boris-Johnson,RT @OwenJones84: Boris Johnson's team looked at the figures after the last #LeadersDebate which showed undecided voters breaking for Jeremy…,Fri Nov 22 04:28:47 +0000 2019
london,,Boris-Johnson,RT @evolvepolitics: BREAKING: Boris Johnson chickens out of live Channel Four debate with Jeremy Corbyn https://t.co/ETwVbMIOIi,Fri Nov 22 04:27:19 +0000 2019
london,,Boris-Johnson,RT @krishgm: Boris Johnson said he was in favour of debates and his team have been in detailed talks with us for weeks about format and rul…,Fri Nov 22 04:26:43 +0000 2019
london,,Boris-Johnson,RT @krishgm: Boris Johnson said he was in favour of debates and his team have been in detailed talks with us for weeks about format and rul…,Fri Nov 22 04:26:40 +0000 2019
london,,Boris-Johnson,"RT @bloggerheads: Imagine the carry-on if this happened under Corbyn's leadership.

But under Theresa May &amp; Boris Johnson, the media are co…",Fri Nov 22 04:26:23 +0000 2019
london,,Boris-Johnson,"RT @davidschneider: Boris Johnson suppresses publication of report into Russian interference in our elections.

In unrelated news, Boris Jo…",Fri Nov 22 04:25:17 +0000 2019
london,,Boris-Johnson,"RT @randombigbird: #ChickenJohnson 😁

Leaders' election TV debate cancelled after Boris Johnson refuses to take part https://t.co/zAIVMMBxUT",Fri Nov 22 04:24:55 +0000 2019
london,,Boris-Johnson,RT @ThatTimWalker: This is unacceptable. Journalists with any self-respect should stand with @dailymirror and refuse to board this bus of b…,Fri Nov 22 04:24:24 +0000 2019
london,,Boris-Johnson,"RT @davidschneider: Boris Johnson suppresses publication of report into Russian interference in our elections.

In unrelated news, Boris Jo…",Fri Nov 22 04:24:14 +0000 2019
london,,Boris-Johnson,RT @krishgm: Boris Johnson said he was in favour of debates and his team have been in detailed talks with us for weeks about format and rul…,Fri Nov 22 04:23:46 +0000 2019
london,,Boris-Johnson,"RT @davidschneider: Boris Johnson suppresses publication of report into Russian interference in our elections.

In unrelated news, Boris Jo…",Fri Nov 22 04:22:53 +0000 2019
london,,Boris-Johnson,RT @krishgm: After weeks of negotiations Boris Johnson’s team didn’t want him to go head to head with Jeremy Corbyn on Channel 4. We hope i…,Fri Nov 22 04:22:53 +0000 2019
london,,Boris-Johnson,"RT @MertonLibDems: It's either Tories or Lib Dems here in Wimbledon.

Lend your vote to @PaulKohlerSW19 on 12 December and we can ensure Wi…",Fri Nov 22 04:21:39 +0000 2019
london,,Boris-Johnson,RT @evolvepolitics: The Daily Mail here reporting that murder victims will now be able to attend the parole hearings of their attackers as…,Fri Nov 22 04:21:27 +0000 2019
london,,Boris-Johnson,"RT @davidschneider: Boris Johnson suppresses publication of report into Russian interference in our elections.

In unrelated news, Boris Jo…",Fri Nov 22 04:19:42 +0000 2019
london,,Boris-Johnson,"RT @davidschneider: Boris Johnson suppresses publication of report into Russian interference in our elections.

In unrelated news, Boris Jo…",Fri Nov 22 04:19:00 +0000 2019
london,,Boris-Johnson,RT @krishgm: Boris Johnson said he was in favour of debates and his team have been in detailed talks with us for weeks about format and rul…,Fri Nov 22 04:18:31 +0000 2019
london,,Boris-Johnson,RT @FisherAndrew79: Boris Johnson running away from the Channel 4 debate ... https://t.co/s9t0tccnXT,Fri Nov 22 04:17:58 +0000 2019
london,,Boris-Johnson,RT @OwenJones84: Boris Johnson's team looked at the figures after the last #LeadersDebate which showed undecided voters breaking for Jeremy…,Fri Nov 22 04:17:47 +0000 2019
london,,Boris-Johnson,RT @JohnRentoul: Tom Peck: Jeremy Corbyn compared himself to Franklin D Roosevelt. Don't make me laugh https://t.co/OH0wd5ki8v,Fri Nov 22 04:17:27 +0000 2019
london,,Boris-Johnson,RT @OwenJones84: Boris Johnson's team looked at the figures after the last #LeadersDebate which showed undecided voters breaking for Jeremy…,Fri Nov 22 04:16:56 +0000 2019
london,,Boris-Johnson,RT @krishgm: After weeks of negotiations Boris Johnson’s team didn’t want him to go head to head with Jeremy Corbyn on Channel 4. We hope i…,Fri Nov 22 04:16:44 +0000 2019
london,,Boris-Johnson,"RT @PeterStefanovi2: Here are all the lies, spin &amp; blatantly false statements Boris Johnson inflicted on the public last night. In doing so…",Fri Nov 22 04:15:26 +0000 2019
london,,Boris-Johnson,"RT @davidschneider: Boris Johnson suppresses publication of report into Russian interference in our elections.

In unrelated news, Boris Jo…",Fri Nov 22 04:14:30 +0000 2019
london,,Boris-Johnson,RT @krishgm: Boris Johnson said he was in favour of debates and his team have been in detailed talks with us for weeks about format and rul…,Fri Nov 22 04:14:27 +0000 2019
london,,Boris-Johnson,RT @evolvepolitics: The Daily Mail here reporting that murder victims will now be able to attend the parole hearings of their attackers as…,Fri Nov 22 04:13:36 +0000 2019
london,,Boris-Johnson,RT @krishgm: After weeks of negotiations Boris Johnson’s team didn’t want him to go head to head with Jeremy Corbyn on Channel 4. We hope i…,Fri Nov 22 04:12:52 +0000 2019
london,,Boris-Johnson,"RT @rachshabi: For all those who kept insisting the Lib-Dems would never back Boris Johnson. They would, in fact, back Boris Johnson https:…",Fri Nov 22 04:12:43 +0000 2019
london,,Boris-Johnson,RT @krishgm: After weeks of negotiations Boris Johnson’s team didn’t want him to go head to head with Jeremy Corbyn on Channel 4. We hope i…,Fri Nov 22 04:12:08 +0000 2019
london,,Boris-Johnson,"RT @davidschneider: Boris Johnson suppresses publication of report into Russian interference in our elections.

In unrelated news, Boris Jo…",Fri Nov 22 04:11:50 +0000 2019
london,,Boris-Johnson,RT @ThatTimWalker: This is unacceptable. Journalists with any self-respect should stand with @dailymirror and refuse to board this bus of b…,Fri Nov 22 04:11:43 +0000 2019
london,,Boris-Johnson,RT @evolvepolitics: The Daily Mail here reporting that murder victims will now be able to attend the parole hearings of their attackers as…,Fri Nov 22 04:11:41 +0000 2019
london,,Boris-Johnson,RT @krishgm: After weeks of negotiations Boris Johnson’s team didn’t want him to go head to head with Jeremy Corbyn on Channel 4. We hope i…,Fri Nov 22 04:11:18 +0000 2019
london,,Boris-Johnson,"RT @doug_parr: If Boris Johnson fails to show in party leaders debate on the climate &amp; nature emergencies, it’s no good greenish Tories say…",Fri Nov 22 04:11:11 +0000 2019
london,,Boris-Johnson,RT @krishgm: After weeks of negotiations Boris Johnson’s team didn’t want him to go head to head with Jeremy Corbyn on Channel 4. We hope i…,Fri Nov 22 04:11:07 +0000 2019
london,,Boris-Johnson,"RT @randombigbird: #ChickenJohnson 😁

Leaders' election TV debate cancelled after Boris Johnson refuses to take part https://t.co/zAIVMMBxUT",Fri Nov 22 04:10:37 +0000 2019
london,,Boris-Johnson,RT @OwenJones84: Boris Johnson's team looked at the figures after the last #LeadersDebate which showed undecided voters breaking for Jeremy…,Fri Nov 22 04:09:40 +0000 2019
london,,Boris-Johnson,RT @evolvepolitics: The Daily Mail here reporting that murder victims will now be able to attend the parole hearings of their attackers as…,Fri Nov 22 04:09:31 +0000 2019
london,,Boris-Johnson,RT @evolvepolitics: BREAKING: Boris Johnson chickens out of live Channel Four debate with Jeremy Corbyn https://t.co/ETwVbMIOIi,Fri Nov 22 04:08:38 +0000 2019
london,,Boris-Johnson,"RT @davidschneider: Boris Johnson suppresses publication of report into Russian interference in our elections.

In unrelated news, Boris Jo…",Fri Nov 22 04:08:20 +0000 2019
london,,Boris-Johnson,"RT @nandi_naira: Boris Johnson is again in the northeast where he thinks he can pick up voters. But this woman, who set up a youth centre i…",Fri Nov 22 04:08:10 +0000 2019
london,,Boris-Johnson,RT @krishgm: After weeks of negotiations Boris Johnson’s team didn’t want him to go head to head with Jeremy Corbyn on Channel 4. We hope i…,Fri Nov 22 04:05:57 +0000 2019
london,,Boris-Johnson,RT @krishgm: After weeks of negotiations Boris Johnson’s team didn’t want him to go head to head with Jeremy Corbyn on Channel 4. We hope i…,Fri Nov 22 04:05:53 +0000 2019
london,,Boris-Johnson,RT @evolvepolitics: The Daily Mail here reporting that murder victims will now be able to attend the parole hearings of their attackers as…,Fri Nov 22 04:05:03 +0000 2019
london,,Boris-Johnson,RT @BBCNewsnight: Political editor @nicholaswatt says there has been a “clear pivot” in the Lib Dems’ general election campaign today as th…,Fri Nov 22 04:02:05 +0000 2019
london,,Boris-Johnson,RT @krishgm: Boris Johnson said he was in favour of debates and his team have been in detailed talks with us for weeks about format and rul…,Fri Nov 22 04:02:03 +0000 2019
london,,Boris-Johnson,RT @krishgm: Boris Johnson said he was in favour of debates and his team have been in detailed talks with us for weeks about format and rul…,Fri Nov 22 04:00:17 +0000 2019
london,,Boris-Johnson,RT @krishgm: After weeks of negotiations Boris Johnson’s team didn’t want him to go head to head with Jeremy Corbyn on Channel 4. We hope i…,Fri Nov 22 03:59:22 +0000 2019
london,,Boris-Johnson,RT @krishgm: Boris Johnson said he was in favour of debates and his team have been in detailed talks with us for weeks about format and rul…,Fri Nov 22 03:59:20 +0000 2019
