city,party,leader,tweet,tweet_time
newport,,Boris-Johnson,"Tbf they've had one, Corbyn won that. Pointless doing another head to head https://t.co/ydTB4ph9Vk",Thu Nov 21 21:14:34 +0000 2019
newport,,Boris-Johnson,Oops he must have forgot! ‘Johnson was briefed on declaring friendships before he met Jennifer Arcuri’ https://t.co/LURLcfJWse,Thu Nov 21 20:52:39 +0000 2019
newport,,Boris-Johnson,"RT @mndsc06: NHS overtakes Brexit as voters' top priority for election, poll finds https://t.co/4fyX8u4Bc2",Wed Nov 20 21:19:34 +0000 2019
newport,,Boris-Johnson,"NHS overtakes Brexit as voters' top priority for election, poll finds https://t.co/4fyX8u4Bc2",Wed Nov 20 21:17:13 +0000 2019
newport,,Boris-Johnson,https://t.co/zbvy0u9ieS,Wed Nov 20 20:14:40 +0000 2019
newport,,Boris-Johnson,Migrants must pay for NHS on 'day one' under Boris Johnson's immigration plan https://t.co/9JgnuwaslG via @MetroUK,Wed Nov 20 17:36:14 +0000 2019
newport,,Boris-Johnson,"Well done #JeremyCorbyn. This is good news, that did not come as surprising. You were miles ahead on all issues bro… https://t.co/NRy6Cdqcp6",Wed Nov 20 15:19:34 +0000 2019
newport,,Boris-Johnson,"⬇️⬇️

https://t.co/gR2ANWYiAU",Wed Nov 20 13:30:23 +0000 2019
newport,,Boris-Johnson,"BT, universities, sponsors all cutting ties with Prince Andrew following the Epstein scandal, yet Boris Johnson say… https://t.co/AzBYmtqFMz",Wed Nov 20 11:07:26 +0000 2019
newport,,Boris-Johnson,"There are 6 facts ""checked"" in this article from @BBCNews 4 are blatant lies from Boris Johnson, 1 is a lie from Co… https://t.co/hVT7YH4YhU",Wed Nov 20 07:33:29 +0000 2019
newport,,Boris-Johnson,"RT @mckim1: How embarrassing by @CCHQPress 

Tories can stop lying under Boris Johnson #GE2019 #GeneralElection2019 https://t.co/3CyZzEVXph",Tue Nov 19 21:20:42 +0000 2019
newport,,Boris-Johnson,"How embarrassing by @CCHQPress 

Tories can stop lying under Boris Johnson #GE2019 #GeneralElection2019 https://t.co/3CyZzEVXph",Tue Nov 19 21:19:49 +0000 2019
newport,,Boris-Johnson,"Corbyn: How many words is a few?
Johnson: 1.

Boris Johnson proceeds to use four more words than Corbyn.

#GE2019 #ITVDebate",Tue Nov 19 20:50:28 +0000 2019
