city,party,leader,tweet,tweet_time
glasgow,,Jeremy-Corbyn,"Whatever your take on Corbyn, it is hard to disagree with him on this one. If you've been to your local library rec… https://t.co/gfL0uzPXgm",Thu Nov 28 13:58:27 +0000 2019
glasgow,,Jeremy-Corbyn,Stormzy backs Jeremy Corbyn while attacking 'sinister' Boris Johnson https://t.co/ZhtdzUo8Wl,Thu Nov 28 13:56:34 +0000 2019
glasgow,,Jeremy-Corbyn,But we should talk about Jeremy Corbyn... https://t.co/kWiRc4DWWK,Thu Nov 28 13:14:38 +0000 2019
glasgow,,Jeremy-Corbyn,Look at the size of Jeremy Corbyn's hand! https://t.co/whQjPwgWKg,Thu Nov 28 13:10:32 +0000 2019
glasgow,,Jeremy-Corbyn,An anarchist writes...  https://t.co/qLtHo9FsJb,Thu Nov 28 12:59:10 +0000 2019
glasgow,,Jeremy-Corbyn,@DPJHodges God above - all we need now is for Jeremy Corbyn to change his name or self-identify as Dr Doolittle!… https://t.co/U05jSFtmBD,Thu Nov 28 12:26:14 +0000 2019
glasgow,,Jeremy-Corbyn,RT @JaneyGodley: Either Jeremy Corbyn is an absolute racist monster hiding in plain sight or a mild mannered socialist fighting the good fi…,Thu Nov 28 11:55:11 +0000 2019
glasgow,,Jeremy-Corbyn,"RT @NippySweetyLass: @Baddiel Jezza's very tolerant of genocidal Islamophobia too, depending on the genocidaires' ideological proximity to…",Thu Nov 28 11:40:55 +0000 2019
glasgow,,Jeremy-Corbyn,"@Baddiel Jezza's very tolerant of genocidal Islamophobia too, depending on the genocidaires' ideological proximity… https://t.co/V7ubgbRpHS",Thu Nov 28 11:35:19 +0000 2019
glasgow,,Jeremy-Corbyn,RT @citizentommy: @OwenJones84 @thepileus https://t.co/esFDTJZB8O,Thu Nov 28 11:11:27 +0000 2019
glasgow,,Jeremy-Corbyn,"RT @Benlunn: @bronessbrehlin Speaking of that book, the most harrowing thing I have seen is Waterstone's selling a new publication of it -…",Thu Nov 28 10:25:05 +0000 2019
glasgow,,Jeremy-Corbyn,"@bronessbrehlin Speaking of that book, the most harrowing thing I have seen is Waterstone's selling a new publicati… https://t.co/NG53RfUYsw",Thu Nov 28 10:20:23 +0000 2019
glasgow,,Jeremy-Corbyn,@TracyDickinso14 @nickeardleybbc @severincarrell She said a lot worse about Jo and bawless and why was she pulled i… https://t.co/7wjRd9T99o,Thu Nov 28 09:53:43 +0000 2019
glasgow,,Jeremy-Corbyn,RT @JaneyGodley: Either Jeremy Corbyn is an absolute racist monster hiding in plain sight or a mild mannered socialist fighting the good fi…,Thu Nov 28 09:52:32 +0000 2019
glasgow,,Jeremy-Corbyn,"RT @Liam_Baxter31: What exactly was Jeremy Corbyn supposed to apologize for? 

Not being an anti-Semite 🤷

He ""condemns violence from all s…",Thu Nov 28 09:47:32 +0000 2019
glasgow,,Jeremy-Corbyn,RT @JaneyGodley: Either Jeremy Corbyn is an absolute racist monster hiding in plain sight or a mild mannered socialist fighting the good fi…,Thu Nov 28 09:46:24 +0000 2019
glasgow,,Jeremy-Corbyn,"All we need now is for Jeremy Corbyn to change his name or self-identify as Dr Doolittle!
https://t.co/oURjrVrUjT https://t.co/xQLq3BX2BM",Thu Nov 28 09:41:27 +0000 2019
glasgow,,Jeremy-Corbyn,RT @jennieadamsx: Friendly reminder that if you live in Scotland and are voting labour then you are voting for Scottish labour - Richard le…,Thu Nov 28 09:37:39 +0000 2019
glasgow,,Jeremy-Corbyn,I'd vote for Jeremy Corbyn if I was English. I'm no English though. Thank fuck.,Thu Nov 28 09:36:45 +0000 2019
glasgow,,Jeremy-Corbyn,RT @JaneyGodley: Either Jeremy Corbyn is an absolute racist monster hiding in plain sight or a mild mannered socialist fighting the good fi…,Thu Nov 28 09:28:16 +0000 2019
glasgow,,Jeremy-Corbyn,RT @JaneyGodley: Either Jeremy Corbyn is an absolute racist monster hiding in plain sight or a mild mannered socialist fighting the good fi…,Thu Nov 28 09:27:17 +0000 2019
glasgow,,Jeremy-Corbyn,"@jay_567885 https://t.co/wrGUc14Enw

Ok boomer",Thu Nov 28 09:24:42 +0000 2019
glasgow,,Jeremy-Corbyn,RT @JaneyGodley: Either Jeremy Corbyn is an absolute racist monster hiding in plain sight or a mild mannered socialist fighting the good fi…,Thu Nov 28 09:16:56 +0000 2019
glasgow,,Jeremy-Corbyn,RT @JaneyGodley: Either Jeremy Corbyn is an absolute racist monster hiding in plain sight or a mild mannered socialist fighting the good fi…,Thu Nov 28 09:10:21 +0000 2019
glasgow,,Jeremy-Corbyn,RT @JaneyGodley: Either Jeremy Corbyn is an absolute racist monster hiding in plain sight or a mild mannered socialist fighting the good fi…,Thu Nov 28 09:05:34 +0000 2019
glasgow,,Jeremy-Corbyn,RT @JaneyGodley: Either Jeremy Corbyn is an absolute racist monster hiding in plain sight or a mild mannered socialist fighting the good fi…,Thu Nov 28 08:56:55 +0000 2019
glasgow,,Jeremy-Corbyn,RT @JaneyGodley: Either Jeremy Corbyn is an absolute racist monster hiding in plain sight or a mild mannered socialist fighting the good fi…,Thu Nov 28 08:55:22 +0000 2019
glasgow,,Jeremy-Corbyn,RT @JaneyGodley: Either Jeremy Corbyn is an absolute racist monster hiding in plain sight or a mild mannered socialist fighting the good fi…,Thu Nov 28 08:45:46 +0000 2019
glasgow,,Jeremy-Corbyn,"@chiefrabbi The strange actions of an anti semite!
https://t.co/zT6V3cAYYT",Thu Nov 28 08:40:44 +0000 2019
glasgow,,Jeremy-Corbyn,"The actions of an anti Semite?
https://t.co/zT6V3cAYYT",Thu Nov 28 08:35:19 +0000 2019
glasgow,,Jeremy-Corbyn,"RT @DanPattersons: @IainDale Reasons given for defeat will include:
- Jewish conspiracy
- Donald Trump
- Jeremy Corbyn is just too nice
- E…",Thu Nov 28 08:31:23 +0000 2019
glasgow,,Jeremy-Corbyn,"RT @DanPattersons: @IainDale Reasons given for defeat will include:
- Jewish conspiracy
- Donald Trump
- Jeremy Corbyn is just too nice
- E…",Thu Nov 28 08:29:14 +0000 2019
glasgow,,Jeremy-Corbyn,RT @JaneyGodley: Either Jeremy Corbyn is an absolute racist monster hiding in plain sight or a mild mannered socialist fighting the good fi…,Thu Nov 28 08:22:23 +0000 2019
glasgow,,Jeremy-Corbyn,RT @JaneyGodley: Either Jeremy Corbyn is an absolute racist monster hiding in plain sight or a mild mannered socialist fighting the good fi…,Thu Nov 28 08:20:04 +0000 2019
glasgow,,Jeremy-Corbyn,RT @JaneyGodley: Either Jeremy Corbyn is an absolute racist monster hiding in plain sight or a mild mannered socialist fighting the good fi…,Thu Nov 28 08:05:58 +0000 2019
glasgow,,Jeremy-Corbyn,RT @JaneyGodley: Either Jeremy Corbyn is an absolute racist monster hiding in plain sight or a mild mannered socialist fighting the good fi…,Thu Nov 28 08:05:04 +0000 2019
glasgow,,Jeremy-Corbyn,RT @JaneyGodley: Either Jeremy Corbyn is an absolute racist monster hiding in plain sight or a mild mannered socialist fighting the good fi…,Thu Nov 28 07:57:17 +0000 2019
glasgow,,Jeremy-Corbyn,RT @JaneyGodley: Either Jeremy Corbyn is an absolute racist monster hiding in plain sight or a mild mannered socialist fighting the good fi…,Thu Nov 28 07:56:54 +0000 2019
