city,party,leader,tweet,tweet_time
liverpool,Conservative-Party,,"@happyjack1981 They all work for the lying biased BBC, the Conservative party mouthpiece .",Thu Nov 28 13:43:23 +0000 2019
liverpool,Conservative-Party,,"RT @WirralLibDems: #RT @LibDems: This is the nasty party at its nastiest, whipping up anti-immigrant sentiment in a desperate attempt to wi…",Thu Nov 28 12:05:41 +0000 2019
liverpool,Conservative-Party,,"RT @krueger_nan: journalism/Broadcasting is reporting the news. The facts. I can make my own mind up. No need for opinions, or what you thi…",Thu Nov 28 12:02:10 +0000 2019
liverpool,Conservative-Party,,"journalism/Broadcasting is reporting the news. The facts. I can make my own mind up. No need for opinions, or what… https://t.co/BA76j6w449",Thu Nov 28 11:48:05 +0000 2019
liverpool,Conservative-Party,,@BBCPolitics NHS sell off? Islamophobia within the conservative party? Nicky morgans lack of understanding of the d… https://t.co/jyqlc7lr40,Thu Nov 28 11:28:25 +0000 2019
liverpool,Conservative-Party,,WHAT THE FUCK is wrong with people? How can anyone with half a brain look at the Conservative Party and think it’s… https://t.co/KeT2J2VSRp,Thu Nov 28 11:23:34 +0000 2019
liverpool,Conservative-Party,,"@Velocentric @thecoureur @davemacladd no, I'm not making claims about the BBC being a wing of the conservative part… https://t.co/CcwCSDaL00",Thu Nov 28 11:05:16 +0000 2019
liverpool,Conservative-Party,,"RT @Joel_Dowler: If you are a Conservative or Labour remain voter, please join the biggest and strongest party of remain - the Liberal Demo…",Thu Nov 28 10:46:26 +0000 2019
liverpool,Conservative-Party,,@ProfTimBale . . . and a problem with anti-semitism as well as islamophobia in the Conservative party.  Candidates… https://t.co/nGLWDV707c,Thu Nov 28 10:37:17 +0000 2019
liverpool,Conservative-Party,,@BBCPolitics I’ve cancelled my licence fee. I cannot in good conscience continue to pay for you bastards to be the… https://t.co/e1sfIVNL5T,Thu Nov 28 09:51:39 +0000 2019
liverpool,Conservative-Party,,"#RT @LibDems: This is the nasty party at its nastiest, whipping up anti-immigrant sentiment in a desperate attempt… https://t.co/XsPbPkDarf",Thu Nov 28 08:22:21 +0000 2019
liverpool,Conservative-Party,,@thetimes Is that the same You Gov Poll set up by former #tory party candidate and Conservative pollster Stephen Shakespeare?,Thu Nov 28 08:11:06 +0000 2019
liverpool,Conservative-Party,,"RT @jackguyanderton: Wow, if the Conservative Party begin to think they can win seats like Leigh, the Labour Party is in serious trouble. h…",Thu Nov 28 07:52:33 +0000 2019
liverpool,Conservative-Party,,RT @Knox_Harrington: John right here in a number of ways but key is the fact that the Conservative And Unionist Party are massive shithouse…,Thu Nov 28 07:09:48 +0000 2019
liverpool,Conservative-Party,,"RT @LabourPartySup1: To those voting Conservative or Brexit Party, is this really the society you want to live in? https://t.co/UrXFruL4h5…",Thu Nov 28 06:18:25 +0000 2019
liverpool,Conservative-Party,,"To those voting Conservative or Brexit Party, is this really the society you want to live in?… https://t.co/sV989OuZUd",Thu Nov 28 05:22:40 +0000 2019
liverpool,Conservative-Party,,@OwenJones84 Sums up corbyns leadership. A hung parliament against the worst conservative government in history is… https://t.co/xRTpXFVrAp,Thu Nov 28 01:39:38 +0000 2019
liverpool,Conservative-Party,,Election: Jo Swinson accuses Boris Johnson of dragging Downing Street 'through the mud' https://t.co/GbSgrf5roh https://t.co/DjBo9DMR0l,Thu Nov 28 01:33:33 +0000 2019
liverpool,Conservative-Party,,John right here in a number of ways but key is the fact that the Conservative And Unionist Party are massive shitho… https://t.co/2kQcMXBDZj,Thu Nov 28 00:30:00 +0000 2019
liverpool,Conservative-Party,,"Wow, if the Conservative Party begin to think they can win seats like Leigh, the Labour Party is in serious trouble. https://t.co/cTbgxv85i1",Thu Nov 28 00:03:08 +0000 2019
liverpool,Conservative-Party,,@BBCPolitics Why did the BBC donate 20k to the Conservative party in 2017?? Corrupt as fuck,Wed Nov 27 23:51:43 +0000 2019
liverpool,Conservative-Party,,Election: Tories accused of 'dog-whistle anti-migrant' politics over £4bn welfare bill claim https://t.co/TjX56DSEof https://t.co/ZM9H3bA436,Wed Nov 27 23:50:34 +0000 2019
liverpool,Conservative-Party,,RT @NWkidUK: I am loving the way people have taken up the fight on Facebook to mercilessly troll the Conservative party page and all subsid…,Wed Nov 27 22:47:30 +0000 2019
liverpool,Conservative-Party,,RT @NWkidUK: I am loving the way people have taken up the fight on Facebook to mercilessly troll the Conservative party page and all subsid…,Wed Nov 27 22:45:21 +0000 2019
liverpool,Conservative-Party,,RT @NWkidUK: I am loving the way people have taken up the fight on Facebook to mercilessly troll the Conservative party page and all subsid…,Wed Nov 27 22:45:19 +0000 2019
liverpool,Conservative-Party,,I am loving the way people have taken up the fight on Facebook to mercilessly troll the Conservative party page and… https://t.co/rsbu5CHkQz,Wed Nov 27 22:41:25 +0000 2019
liverpool,Conservative-Party,,2 of 2 one of the tactical voting tools I find trustworthy so far is this one: https://t.co/B3pEFElx8t using data f… https://t.co/Xsk1ZfEgNS,Wed Nov 27 22:38:39 +0000 2019
liverpool,Conservative-Party,,RT @LythgoeLee: To clear Slander tweet. 1 of the audience members accused @Nigel_Farage of disliking the disabled not the candidates. Conse…,Wed Nov 27 22:19:50 +0000 2019
liverpool,Conservative-Party,,RT @LythgoeLee: To clear Slander tweet. 1 of the audience members accused @Nigel_Farage of disliking the disabled not the candidates. Conse…,Wed Nov 27 21:10:39 +0000 2019
liverpool,Conservative-Party,,RT @LythgoeLee: To clear Slander tweet. 1 of the audience members accused @Nigel_Farage of disliking the disabled not the candidates. Conse…,Wed Nov 27 21:03:49 +0000 2019
liverpool,Conservative-Party,,RT @LythgoeLee: To clear Slander tweet. 1 of the audience members accused @Nigel_Farage of disliking the disabled not the candidates. Conse…,Wed Nov 27 21:01:09 +0000 2019
liverpool,Conservative-Party,,"If it is true, and I say if, that the @BBC has been making donations to the conservative party, then I will serious… https://t.co/n28L8JBvBf",Wed Nov 27 21:00:04 +0000 2019
liverpool,Conservative-Party,,"This doesn't get talked about enough. In a 2017 survey, two in five Conservative supporters polled endorsed at leas… https://t.co/rZchrEO1yo",Wed Nov 27 19:46:23 +0000 2019
liverpool,Conservative-Party,,Antisemitism👏is👏more👏abundant👏in👏the👏Conservative👏Party👏,Wed Nov 27 19:45:25 +0000 2019
liverpool,Conservative-Party,,RT @tinyrockgirl: I Was a Labour supporter now  I vote conservative . THAT MAN IS NOT FIT TO RUN OUR COUNTRY.  HE HAS A MOMEMTUM PARTY THAT…,Wed Nov 27 19:18:09 +0000 2019
liverpool,Conservative-Party,,@syhawkes Only says it is printed by Alan Mabbutt on behalf of the conservative party. You can nearly read it.,Wed Nov 27 18:19:00 +0000 2019
liverpool,Conservative-Party,,Today’s poll of polls. The Labour Party says our NHS will be part of post Brexit negotiations with America for a tr… https://t.co/oyOhPayXYv,Wed Nov 27 18:11:06 +0000 2019
liverpool,Conservative-Party,,"RT @jonlfc1: This looks like a free 4 page ""newspaper"" which has been posted through the door in homes in Worcester today. The impossible t…",Wed Nov 27 18:01:02 +0000 2019
liverpool,Conservative-Party,,"RT @jonlfc1: This looks like a free 4 page ""newspaper"" which has been posted through the door in homes in Worcester today. The impossible t…",Wed Nov 27 18:00:47 +0000 2019
liverpool,Conservative-Party,,"RT @jonlfc1: This looks like a free 4 page ""newspaper"" which has been posted through the door in homes in Worcester today. The impossible t…",Wed Nov 27 17:59:23 +0000 2019
liverpool,Conservative-Party,,@efcjw A vote for brexit party is basically a vote for conservative,Wed Nov 27 17:54:55 +0000 2019
liverpool,Conservative-Party,,"Dominic Cummings has blogged. My favourite line is: 
“I know why many are tempted to vote for Corbyn.” My 2nd favou… https://t.co/LC1PBhDBIr",Wed Nov 27 17:53:44 +0000 2019
liverpool,,Nigel-Farage,"@PaulMIL87122911 @Eddystone506 @JamesCleverly Morons and bots like you, get very upset by this.

Worth remembering… https://t.co/rsbr6UEVWx",Thu Nov 28 13:39:41 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage @DPJHodges https://t.co/t1nRAhmX5x,Thu Nov 28 13:29:44 +0000 2019
liverpool,,Nigel-Farage,@BassiouniMorris @DouglasUnwin @Keir_Starmer @Channel4News @BorisJohnson @Nigel_Farage Not to be questioned by Bias… https://t.co/ITgulzWwxq,Thu Nov 28 13:01:45 +0000 2019
liverpool,,Nigel-Farage,"@Nigel_Farage @june_mummery @Michael_Heaver Thought Brexit was about taking on elite, your going to put the most el… https://t.co/u9PLPJ0JNO",Thu Nov 28 13:01:36 +0000 2019
liverpool,,Nigel-Farage,@Michael_Heaver @Nigel_Farage @june_mummery You are seriously deluded...,Thu Nov 28 12:58:39 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage And we are supposed to believe you,Thu Nov 28 12:39:39 +0000 2019
liverpool,,Nigel-Farage,"@Nigel_Farage @DPJHodges Insurance based health care, US style. That's what Farage wants.

https://t.co/j87Gtz9iGW",Thu Nov 28 12:22:32 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage They lied about Brexit last time saying they would honour the referendum but now they are trying to a… https://t.co/NO52EMBGNs,Thu Nov 28 12:10:23 +0000 2019
liverpool,,Nigel-Farage,"@gullfrazie @Nigel_Farage I haven't been neglected by the Tory's,I get to keep more of my pension because tax thres… https://t.co/nnogMBs464",Thu Nov 28 12:06:17 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage No Nigel! Your desperate for the limelight,Thu Nov 28 11:00:31 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage Thats what happens when your educated in Wales they are fucking not fooling anybody,Thu Nov 28 10:37:24 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage You are a self serving knob that should have a nise that goes round the globe the lies and hate you spout,Thu Nov 28 10:04:26 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage 3% proof . . .,Thu Nov 28 10:01:59 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage Rather than you you Trump Puppet what's it like a man who has no Manifesto laughs at his own jokes an… https://t.co/ZPRXcGYIBW,Thu Nov 28 09:25:57 +0000 2019
liverpool,,Nigel-Farage,@KernowEmbassy @Nigel_Farage Don’t think you should blame others for that,Thu Nov 28 09:08:57 +0000 2019
liverpool,,Nigel-Farage,"@Nigel_Farage That's it, then...it MUST be true. If this fucker says it isn't.",Thu Nov 28 09:06:31 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage Gobshite,Thu Nov 28 08:32:28 +0000 2019
liverpool,,Nigel-Farage,"#RT @LibDems: Boris Johnson, Donald Trump and Nigel Farage think Brexit's good for them, but is it for you?

You ca… https://t.co/OmhcFMZ8MV",Thu Nov 28 08:22:16 +0000 2019
liverpool,,Nigel-Farage,"#RT @LibDems: ❌Boris Johnson &amp; his backers Nigel Farage &amp; Donald Trump may stand to benefit from Brexit, but it is… https://t.co/oTC24IsgJa",Thu Nov 28 08:22:16 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage Can you not find any UK wine you hypocrite,Thu Nov 28 07:36:59 +0000 2019
liverpool,,Nigel-Farage,@Lynneth1000000 @chelleryn99 @JDenebe So was Nigel Farage 🙄,Thu Nov 28 06:01:48 +0000 2019
liverpool,,Nigel-Farage,@itsallymcmental @Nigel_Farage Loving the badly photoshopped comment on the nhs,Thu Nov 28 04:30:57 +0000 2019
liverpool,,Nigel-Farage,"RT @TonyCowin: @Nigel_Farage Yes, we should not listen to facts and listen to the liars like Boris and Farage. Selling the country to fill…",Thu Nov 28 01:06:19 +0000 2019
liverpool,,Nigel-Farage,"RT @TonyCowin: @Nigel_Farage Yes, we should not listen to facts and listen to the liars like Boris and Farage. Selling the country to fill…",Thu Nov 28 01:06:04 +0000 2019
liverpool,,Nigel-Farage,"@Nigel_Farage Once a Clown always a Clown..
CORBYN had proof with regards the NHS..",Thu Nov 28 01:01:24 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage The pressure got to much for you.. you’ve retorted to Alcohol..,Thu Nov 28 00:59:53 +0000 2019
liverpool,,Nigel-Farage,"Nigel Farage is a Jeremy Corbyn enabler, a vote for the #brexitparty is a vote for Jeremy @jo_marney",Thu Nov 28 00:59:01 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage The brass never turned up?,Thu Nov 28 00:48:44 +0000 2019
liverpool,,Nigel-Farage,@YouGov @Nigel_Farage please see this and start to have discussions with the candidates and local activists to see… https://t.co/x7AXSrLKg5,Wed Nov 27 23:53:56 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage Bet you didnt  pay for that youself did you parker,Wed Nov 27 23:48:32 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage What about the wine?,Wed Nov 27 23:42:41 +0000 2019
liverpool,,Nigel-Farage,Sources close to Nigel Farage and Boris Johnson say talks of an electoral pact are at an advanced stage resulting i… https://t.co/ajigl3hrba,Wed Nov 27 23:00:22 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage 🤣👍🏻,Wed Nov 27 22:37:56 +0000 2019
liverpool,,Nigel-Farage,RT @LythgoeLee: To clear Slander tweet. 1 of the audience members accused @Nigel_Farage of disliking the disabled not the candidates. Conse…,Wed Nov 27 22:19:50 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage This about the wine or a new party slogan,Wed Nov 27 22:11:47 +0000 2019
liverpool,,Nigel-Farage,"@Nigel_Farage Enough about you, how was the wine?",Wed Nov 27 22:06:38 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage Yeah we should trust you. Hahahaha,Wed Nov 27 21:43:25 +0000 2019
liverpool,,Nigel-Farage,"@Nigel_Farage Is that a DJ nigel?
Is he spinning your propaganda for you? https://t.co/qCy6919N0U",Wed Nov 27 21:26:45 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage Is that a #bustedflush ???,Wed Nov 27 21:24:18 +0000 2019
liverpool,,Nigel-Farage,"@Nigel_Farage Why do the left have no sense of humour? 
I want know the science behind it.",Wed Nov 27 21:19:51 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage You are a #bustedflush,Wed Nov 27 21:19:24 +0000 2019
liverpool,,Nigel-Farage,@andywigmore @Nigel_Farage ...#CORRUPTION https://t.co/7udJHSTcYz,Wed Nov 27 21:12:31 +0000 2019
liverpool,,Nigel-Farage,RT @LythgoeLee: To clear Slander tweet. 1 of the audience members accused @Nigel_Farage of disliking the disabled not the candidates. Conse…,Wed Nov 27 21:10:39 +0000 2019
liverpool,,Nigel-Farage,@andywigmore @realSi_jeff @Arron_banks @Nigel_Farage 🤣🤣🤣🤣🤣🤣😋 https://t.co/HmD3CnT1AI,Wed Nov 27 21:09:35 +0000 2019
liverpool,,Nigel-Farage,RT @LythgoeLee: To clear Slander tweet. 1 of the audience members accused @Nigel_Farage of disliking the disabled not the candidates. Conse…,Wed Nov 27 21:03:49 +0000 2019
liverpool,,Nigel-Farage,RT @LythgoeLee: To clear Slander tweet. 1 of the audience members accused @Nigel_Farage of disliking the disabled not the candidates. Conse…,Wed Nov 27 21:01:09 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage Liar,Wed Nov 27 19:47:27 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage I would believe anyone ahead of you. Literally anyone.,Wed Nov 27 19:28:52 +0000 2019
liverpool,,Nigel-Farage,@OliviaERJackson @ardfarna51 @Akelman47 @MK_1997som @Nigel_Farage You'd think so wouldn't you,Wed Nov 27 19:27:14 +0000 2019
liverpool,,Nigel-Farage,RT @LythgoeLee: Liverpool in Europe Hustings last night. Could not believe a accusation made. Accused @Nigel_Farage of disliking disabled p…,Wed Nov 27 19:06:10 +0000 2019
liverpool,,Nigel-Farage,RT @LythgoeLee: Liverpool in Europe Hustings last night. Could not believe a accusation made. Accused @Nigel_Farage of disliking disabled p…,Wed Nov 27 19:03:22 +0000 2019
liverpool,,Nigel-Farage,RT @LythgoeLee: Liverpool in Europe Hustings last night. Could not believe a accusation made. Accused @Nigel_Farage of disliking disabled p…,Wed Nov 27 19:00:22 +0000 2019
liverpool,,Nigel-Farage,I looked in to the eyes of Nigel Farage the other day. It was a very greasy experience. #brexit,Wed Nov 27 18:59:02 +0000 2019
liverpool,,Nigel-Farage,@AceedoDomingo @scarborian3 @Nigel_Farage Sold our fishing right quotas to mainly the Spanish. The remaining fisher… https://t.co/4OYbq3ql8k,Wed Nov 27 18:36:03 +0000 2019
liverpool,,Nigel-Farage,Fuck off @BBCNews giving Nigel Farage air time....he’s a fucking idiot https://t.co/SyRtFhB9UL,Wed Nov 27 17:52:40 +0000 2019
liverpool,,Nigel-Farage,@politicabot @Nigel_Farage It says absolutely nowhere in those documents that the US plans to take over the NHS. Th… https://t.co/s3Pz8mIlhx,Wed Nov 27 17:45:16 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage Nige is desperate. All falling about around you. They'll dump you Nige. You have been played by those eho we cannot name.,Wed Nov 27 17:40:06 +0000 2019
liverpool,,Nigel-Farage,RT @LythgoeLee: Liverpool in Europe Hustings last night. Could not believe a accusation made. Accused @Nigel_Farage of disliking disabled p…,Wed Nov 27 17:19:36 +0000 2019
liverpool,,Nigel-Farage,RT @LythgoeLee: Liverpool in Europe Hustings last night. Could not believe a accusation made. Accused @Nigel_Farage of disliking disabled p…,Wed Nov 27 17:17:08 +0000 2019
liverpool,,Nigel-Farage,RT @LythgoeLee: @alfrededington @Nigel_Farage No actually Conservative candidate was shocked 2. It was 1 of the audience members. Really wa…,Wed Nov 27 17:09:47 +0000 2019
liverpool,,Nigel-Farage,RT @LythgoeLee: To clear Slander tweet. 1 of the audience members accused @Nigel_Farage of disliking the disabled not the candidates. Conse…,Wed Nov 27 17:09:09 +0000 2019
liverpool,,Nigel-Farage,To clear Slander tweet. 1 of the audience members accused @Nigel_Farage of disliking the disabled not the candidate… https://t.co/wmDECRhziB,Wed Nov 27 17:08:38 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage Its fantastic when these people still try to claim lies when it's in black and white!,Wed Nov 27 17:08:26 +0000 2019
liverpool,,Nigel-Farage,@alfrededington @Nigel_Farage No actually Conservative candidate was shocked 2. It was 1 of the audience members. R… https://t.co/QFIr7AX5hT,Wed Nov 27 17:03:21 +0000 2019
liverpool,,Nigel-Farage,"@Nigel_Farage Yes, we should not listen to facts and listen to the liars like Boris and Farage. Selling the country… https://t.co/Ioq4UHYt89",Wed Nov 27 16:57:14 +0000 2019
liverpool,,Nigel-Farage,RT @LythgoeLee: Liverpool in Europe Hustings last night. Could not believe a accusation made. Accused @Nigel_Farage of disliking disabled p…,Wed Nov 27 16:54:53 +0000 2019
liverpool,,Nigel-Farage,"@Nigel_Farage Oooo, who to believe? Trustworthy, activist, campaigner against racism, or dodgy, lying, racist, ex-t… https://t.co/RIgeIhrfJr",Wed Nov 27 16:54:48 +0000 2019
liverpool,,Nigel-Farage,RT @LythgoeLee: Liverpool in Europe Hustings last night. Could not believe a accusation made. Accused @Nigel_Farage of disliking disabled p…,Wed Nov 27 16:52:34 +0000 2019
liverpool,,Nigel-Farage,"@drdavidbull Am I right in saying that if there's no trade deal by 31st Dec 2020, then we leave on WTO terms? Brexi… https://t.co/IbrSQcyo7f",Wed Nov 27 16:46:57 +0000 2019
liverpool,,Nigel-Farage,RT @LythgoeLee: Liverpool in Europe Hustings last night. Could not believe a accusation made. Accused @Nigel_Farage of disliking disabled p…,Wed Nov 27 16:46:53 +0000 2019
liverpool,,Nigel-Farage,RT @LythgoeLee: Liverpool in Europe Hustings last night. Could not believe a accusation made. Accused @Nigel_Farage of disliking disabled p…,Wed Nov 27 16:39:41 +0000 2019
liverpool,,Nigel-Farage,@parliamentview @Nigel_Farage Farage cant look at the black only the white ... history shows.,Wed Nov 27 16:20:24 +0000 2019
liverpool,,Nigel-Farage,RT @LythgoeLee: Liverpool in Europe Hustings last night. Could not believe a accusation made. Accused @Nigel_Farage of disliking disabled p…,Wed Nov 27 15:56:11 +0000 2019
liverpool,,Nigel-Farage,RT @LythgoeLee: Liverpool in Europe Hustings last night. Could not believe a accusation made. Accused @Nigel_Farage of disliking disabled p…,Wed Nov 27 15:54:48 +0000 2019
liverpool,,Nigel-Farage,Liverpool in Europe Hustings last night. Could not believe a accusation made. Accused @Nigel_Farage of disliking di… https://t.co/Y0qlb0zxdL,Wed Nov 27 15:49:34 +0000 2019
liverpool,,Nigel-Farage,@brexitparty_uk @Nigel_Farage Bull #### Policies Bull ####Leader you'll go far!,Wed Nov 27 15:38:29 +0000 2019
liverpool,,Nigel-Farage,@lisabutler587 @Nigel_Farage @jeremycorbyn https://t.co/C6gu0j0AmB,Wed Nov 27 15:37:01 +0000 2019
liverpool,,Nigel-Farage,@lisabutler587 @Nigel_Farage @jeremycorbyn https://t.co/bKJbGe7sLJ,Wed Nov 27 15:36:46 +0000 2019
liverpool,,Nigel-Farage,@Nigel_Farage Says the man who has spent many hours rimming the  hocalate starfish of trump,Wed Nov 27 15:35:54 +0000 2019
