city,party,leader,tweet,tweet_time
swansea,Labour-Party,,@MatherWallace No I haven’t and the Tory party haven’t had the seat in my area since 1929 after that it’s been labour seat,Thu Nov 28 13:18:53 +0000 2019
swansea,Labour-Party,,Just seen this @theipaper article which lists Pros and Cons of each party's policies for LGBTQ+ rights. The… https://t.co/zOBDdgkTJL,Thu Nov 28 12:31:22 +0000 2019
swansea,Labour-Party,,Labour Party Campaign event about to start on the Parliament Channel! #JC4PM,Thu Nov 28 11:08:13 +0000 2019
swansea,Labour-Party,,@Freedland Therein lay the roots of what might be an unprecedented catastrophe. For those former Labour members fro… https://t.co/VtQUPNETlZ,Thu Nov 28 10:23:32 +0000 2019
swansea,Labour-Party,,@ajsislington @mgt_ross @jonlis1 Yes perhaps this is the case. I should say then that I have never seen anything ex… https://t.co/2Rf3gn1r9D,Wed Nov 27 23:03:39 +0000 2019
swansea,Labour-Party,,Oh dear! This man is lying through his teeth and been caught out. Is there anyone in the Labour Party capable of te… https://t.co/dTrX2ZjtxI,Wed Nov 27 22:43:21 +0000 2019
swansea,Labour-Party,,@BreesAnna It does indicate the real state of Labour when a left leaning son of a Labour peer takes a stand against the Labour party,Wed Nov 27 17:57:11 +0000 2019
swansea,Labour-Party,,@afneil I hope you will be asking a question about Labour Party involvement in vote fraud in Plymouth. https://t.co/IzMgHQt3Er,Wed Nov 27 15:23:35 +0000 2019
swansea,Labour-Party,,@JonnieIlly @UKLabour I think that calling out dirty politics on the Labour party without acknowledging that it hap… https://t.co/tYwItZ1Rls,Wed Nov 27 15:07:54 +0000 2019
swansea,Labour-Party,,"Not usually political but may I clarify, for 9 of the last 20 years, we’ve had a Conservative PM. How are the Labou… https://t.co/g7hnRE4oiK",Wed Nov 27 14:33:44 +0000 2019
swansea,Labour-Party,,"If there's a hung parliament, here's my contribution to making negotiations easier: at least 5 party manifestos (Pl… https://t.co/UTnagQeeed",Wed Nov 27 11:54:17 +0000 2019
swansea,Labour-Party,,@bbclaurak Having read many if your tweets I detect a bias against the labour party. A fan but more nuetrallity please.,Wed Nov 27 09:00:59 +0000 2019
swansea,Labour-Party,,RT @phenagen: @RaeAnon @suohuu @OrtaineDevian @go4itbas @DepolableDuck @1k_kilgore @JohnWHuber @michaeljohns @cummings2020 @zeusFanHouse @B…,Wed Nov 27 08:53:57 +0000 2019
swansea,Labour-Party,,RT @phenagen: @RaeAnon @suohuu @OrtaineDevian @go4itbas @DepolableDuck @1k_kilgore @JohnWHuber @michaeljohns @cummings2020 @zeusFanHouse @B…,Wed Nov 27 06:58:18 +0000 2019
swansea,Labour-Party,,RT @phenagen: @RaeAnon @suohuu @OrtaineDevian @go4itbas @DepolableDuck @1k_kilgore @JohnWHuber @michaeljohns @cummings2020 @zeusFanHouse @B…,Wed Nov 27 03:35:35 +0000 2019
swansea,Labour-Party,,RT @phenagen: @RaeAnon @suohuu @OrtaineDevian @go4itbas @DepolableDuck @1k_kilgore @JohnWHuber @michaeljohns @cummings2020 @zeusFanHouse @B…,Wed Nov 27 01:23:21 +0000 2019
swansea,Labour-Party,,RT @phenagen: @RaeAnon @suohuu @OrtaineDevian @go4itbas @DepolableDuck @1k_kilgore @JohnWHuber @michaeljohns @cummings2020 @zeusFanHouse @B…,Wed Nov 27 00:20:04 +0000 2019
swansea,Labour-Party,,@RaeAnon @suohuu @OrtaineDevian @go4itbas @DepolableDuck @1k_kilgore @JohnWHuber @michaeljohns @cummings2020… https://t.co/iCnhHR1aWE,Wed Nov 27 00:18:31 +0000 2019
swansea,Labour-Party,,Foreign Secretary Dominic Raab and Labour's Andy McDonald face off after Sky News interview https://t.co/iRdpoofYYN… https://t.co/12LYnPrerj,Wed Nov 27 00:08:48 +0000 2019
swansea,Labour-Party,,"RT @diesel1981: @KarenPollock100 @chiefrabbi proof? Im Tory blue in the face from saying it, Rabbi Tory has chucked his dollies out the pra…",Tue Nov 26 23:28:05 +0000 2019
swansea,Labour-Party,,@ajsislington @mgt_ross @jonlis1 I honestly don't think it is prevalent. I've been a Labour Party member for 30 yea… https://t.co/1LTOQMW8mg,Tue Nov 26 22:33:31 +0000 2019
swansea,Labour-Party,,@MainstreamUk Who are you mainstreamuk. Your Twitter is solely dedicated to giving labour bad PR. You claim to be a… https://t.co/P77wxE2DZH,Tue Nov 26 19:44:34 +0000 2019
swansea,Labour-Party,,Will Labour Party Properties Ltd start paying tax? 👇 https://t.co/mDiDYrqlXZ https://t.co/7J54QttuMH,Tue Nov 26 19:29:59 +0000 2019
swansea,Labour-Party,,@sarahlostctrl The Tory donors are speaking. Mr rabbi is a personal friend of @theresa_may I’m not against an inves… https://t.co/AWd3miUXpl,Tue Nov 26 19:01:11 +0000 2019
swansea,Labour-Party,,"@BBCPolitics Loving all the racist cultists demanding to know what he has to apologise for, how about enabling anti… https://t.co/VZpkyMP0U3",Tue Nov 26 18:53:44 +0000 2019
swansea,Labour-Party,,@joswinson What people? I see a billboard that you’ve put up and a bus that you travel in? How dare you comment on… https://t.co/P76zNJPq87,Tue Nov 26 18:08:25 +0000 2019
swansea,Labour-Party,,"@KarenPollock100 @chiefrabbi proof? Im Tory blue in the face from saying it, Rabbi Tory has chucked his dollies out… https://t.co/tIwOQ6dbAA",Tue Nov 26 18:04:10 +0000 2019
swansea,Labour-Party,,"RT @Y_Marrw: The Welsh Labour MP candidate, Christina Rees did not attend a hustings nor did the party send anyone in her place and refused…",Tue Nov 26 17:39:03 +0000 2019
swansea,Labour-Party,,@Richie_K143 I live in a Labour area. Tories would never get in here so I'm voting for the Brexit Party.,Tue Nov 26 14:02:05 +0000 2019
swansea,Labour-Party,,@rmintram89 @Lord_Sugar No The Labour Party for everyone. I highly suggest you turn off Bbc,Tue Nov 26 13:50:23 +0000 2019
swansea,Labour-Party,,"@rmintram89 @Lord_Sugar He’s best labour leader there’s been since I was born in 96, If you want Blair tell him to… https://t.co/mnJ7V1Wb9V",Tue Nov 26 13:38:52 +0000 2019
swansea,Labour-Party,,"The Welsh Labour MP candidate, Christina Rees did not attend a hustings nor did the party send anyone in her place… https://t.co/a4iVaGnzsG",Tue Nov 26 13:22:00 +0000 2019
swansea,Labour-Party,,"RT @JayneDWales: Chief Rabbi Ephraim Mirvis advises the Jewish Community to ""vote with their conscience"" during a scathing attack in The Ti…",Tue Nov 26 11:53:52 +0000 2019
swansea,Labour-Party,,RT @gowerswan: @daviesneil275 @chiefrabbi I hate to say this but looks like Jewish rabbi Tory promoting his party through Tory press. Who i…,Tue Nov 26 11:36:02 +0000 2019
swansea,Labour-Party,,RT @JayneDWales: I'm sorry but I don't understand your reasoning. You're saying that despite the fact that Corbyn is an anti-semitic leader…,Tue Nov 26 11:29:12 +0000 2019
