city,party,leader,tweet,tweet_time
aberdeen,,Boris-Johnson,RT @AidenMacmillan: Boris johnson YOUUU'RE FIIIIIRED https://t.co/T4gSonFmNo,Sat Nov 16 20:05:20 +0000 2019
aberdeen,,Boris-Johnson,@YagudMiriam I am presuming these public figures will be signing a similar letter to say how the won't vote for the… https://t.co/cw7EDvyRg0,Sat Nov 16 19:30:30 +0000 2019
aberdeen,,Boris-Johnson,Boris johnson YOUUU'RE FIIIIIRED https://t.co/T4gSonFmNo,Sat Nov 16 18:07:36 +0000 2019
aberdeen,,Boris-Johnson,"@jrclarkbf800 I’m having a great day, 2 canvassing sessions, most folk voting SNP, nobody wants to vote for Boris Johnson.",Sat Nov 16 16:54:09 +0000 2019
aberdeen,,Boris-Johnson,Boris Johnson owes our NHS £60.38 billion. Hold him and his friends to their promises. via @BorisOwes,Sat Nov 16 16:47:51 +0000 2019
aberdeen,,Boris-Johnson,@finnyofthenorth @LBC I'm trying to imagine Boris Johnson or Corbyn giving a monkeys about NorthSea Fishing.  Even… https://t.co/i508Dp9j9w,Sat Nov 16 12:40:40 +0000 2019
aberdeen,,Boris-Johnson,"LOL. Sturgeon hates the Tories and Boris Johnson  and will do anything to get him out of power 😂😂

This has all tur… https://t.co/5iRqICdHx1",Sat Nov 16 11:56:20 +0000 2019
aberdeen,,Boris-Johnson,@RyanJHoughton Boris Johnson is a known liar. Why should he be believed now?,Sat Nov 16 11:04:32 +0000 2019
aberdeen,,Boris-Johnson,@DeborahFSussex @michaelgove Don’t you remember the 1990 EU Directive Banning all tree planting? It came out the sa… https://t.co/Z3sTgqn9I9,Sat Nov 16 10:38:36 +0000 2019
aberdeen,,Boris-Johnson,"For questionable read lies. A feature of this Tory campaign.

Boris Johnson under fire for inaccurate claims in int… https://t.co/7gWafx8U4v",Sat Nov 16 09:55:04 +0000 2019
aberdeen,,Boris-Johnson,"@tradasro @Bob55492332 Left on the beach!
Boris Johnson said he ""loves to eat fish and chips, on a cold night, on a… https://t.co/F8RCH4SxLG",Sat Nov 16 09:38:14 +0000 2019
aberdeen,,Boris-Johnson,"And there we have it. Boris Johnson’s Tories endorsed by the Tommy Robinson, Nigel Farage and the far right in UK.… https://t.co/Iw72MOkcRv",Sat Nov 16 08:49:43 +0000 2019
aberdeen,,Boris-Johnson,Boris backs off his Russia-bashing rhetoric when it comes to discussing Tory Party donors https://t.co/2UEGASSpjs,Sat Nov 16 07:39:34 +0000 2019
