city,party,leader,tweet,tweet_time
belfast,,Boris-Johnson,"RT @ToryFibs: Grenfell fire was 885 days ago. Tonight, 17,000 people will go to sleep in residential blocks with flammable cladding attache…",Sun Nov 17 01:30:44 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: The most important seat at this General Election is Crewe &amp; Nantwich. If @LauraSmithMP holds it, Boris Johnson's career as PM…",Sun Nov 17 01:28:53 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: The most important seat at this General Election is Crewe &amp; Nantwich. If @LauraSmithMP holds it, Boris Johnson's career as PM…",Sun Nov 17 01:28:08 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: The most important seat at this General Election is Crewe &amp; Nantwich. If @LauraSmithMP holds it, Boris Johnson's career as PM…",Sun Nov 17 01:27:23 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: Grenfell fire was 885 days ago. Tonight, 17,000 people will go to sleep in residential blocks with flammable cladding attache…",Sun Nov 17 01:21:36 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: Grenfell fire was 885 days ago. Tonight, 17,000 people will go to sleep in residential blocks with flammable cladding attache…",Sun Nov 17 01:17:28 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: Grenfell fire was 885 days ago. Tonight, 17,000 people will go to sleep in residential blocks with flammable cladding attache…",Sun Nov 17 01:14:22 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: Grenfell fire was 885 days ago. Tonight, 17,000 people will go to sleep in residential blocks with flammable cladding attache…",Sun Nov 17 01:13:32 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: The most important seat at this General Election is Crewe &amp; Nantwich. If @LauraSmithMP holds it, Boris Johnson's career as PM…",Sun Nov 17 01:12:58 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: The most important seat at this General Election is Crewe &amp; Nantwich. If @LauraSmithMP holds it, Boris Johnson's career as PM…",Sun Nov 17 01:08:32 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: The most important seat at this General Election is Crewe &amp; Nantwich. If @LauraSmithMP holds it, Boris Johnson's career as PM…",Sun Nov 17 01:00:48 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: Grenfell fire was 885 days ago. Tonight, 17,000 people will go to sleep in residential blocks with flammable cladding attache…",Sun Nov 17 00:59:23 +0000 2019
belfast,,Boris-Johnson,RT @ToryFibs: 23 seconds of Boris Johnson's interview this morning that every working class person should see. And when Labour bring in Fre…,Sun Nov 17 00:55:33 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: Grenfell fire was 885 days ago. Tonight, 17,000 people will go to sleep in residential blocks with flammable cladding attache…",Sun Nov 17 00:54:11 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: The most important seat at this General Election is Crewe &amp; Nantwich. If @LauraSmithMP holds it, Boris Johnson's career as PM…",Sun Nov 17 00:52:35 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: Grenfell fire was 885 days ago. Tonight, 17,000 people will go to sleep in residential blocks with flammable cladding attache…",Sun Nov 17 00:48:46 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: 3 important facts on Cladding Controversy

1. Only 1 of 184 dangerous tower blocks has had its funding approved to removed cl…",Sun Nov 17 00:48:43 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: The most important seat at this General Election is Crewe &amp; Nantwich. If @LauraSmithMP holds it, Boris Johnson's career as PM…",Sun Nov 17 00:46:08 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: Grenfell fire was 885 days ago. Tonight, 17,000 people will go to sleep in residential blocks with flammable cladding attache…",Sun Nov 17 00:42:32 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: The most important seat at this General Election is Crewe &amp; Nantwich. If @LauraSmithMP holds it, Boris Johnson's career as PM…",Sun Nov 17 00:40:50 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: The most important seat at this General Election is Crewe &amp; Nantwich. If @LauraSmithMP holds it, Boris Johnson's career as PM…",Sun Nov 17 00:38:11 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: Grenfell fire was 885 days ago. Tonight, 17,000 people will go to sleep in residential blocks with flammable cladding attache…",Sun Nov 17 00:37:06 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: Grenfell fire was 885 days ago. Tonight, 17,000 people will go to sleep in residential blocks with flammable cladding attache…",Sun Nov 17 00:33:46 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: Grenfell fire was 885 days ago. Tonight, 17,000 people will go to sleep in residential blocks with flammable cladding attache…",Sun Nov 17 00:33:03 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: Grenfell fire was 885 days ago. Tonight, 17,000 people will go to sleep in residential blocks with flammable cladding attache…",Sun Nov 17 00:31:08 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: Grenfell fire was 885 days ago. Tonight, 17,000 people will go to sleep in residential blocks with flammable cladding attache…",Sun Nov 17 00:31:08 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: Grenfell fire was 885 days ago. Tonight, 17,000 people will go to sleep in residential blocks with flammable cladding attache…",Sun Nov 17 00:29:27 +0000 2019
belfast,,Boris-Johnson,"RT @sooobsessed: Boris Johnson's 'four-year affair' with model: In a bombshell TV interview, the Prime ... https://t.co/xF9y36NwdD via @Mai…",Sun Nov 17 00:28:14 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: Grenfell fire was 885 days ago. Tonight, 17,000 people will go to sleep in residential blocks with flammable cladding attache…",Sun Nov 17 00:28:09 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: Grenfell fire was 885 days ago. Tonight, 17,000 people will go to sleep in residential blocks with flammable cladding attache…",Sun Nov 17 00:26:58 +0000 2019
belfast,,Boris-Johnson,"Boris Johnson's 'four-year affair' with model: In a bombshell TV interview, the Prime ... https://t.co/xF9y36NwdD via @MailOnline",Sun Nov 17 00:26:46 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: Grenfell fire was 885 days ago. Tonight, 17,000 people will go to sleep in residential blocks with flammable cladding attache…",Sun Nov 17 00:23:52 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: The most important seat at this General Election is Crewe &amp; Nantwich. If @LauraSmithMP holds it, Boris Johnson's career as PM…",Sun Nov 17 00:23:16 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: Grenfell fire was 885 days ago. Tonight, 17,000 people will go to sleep in residential blocks with flammable cladding attache…",Sun Nov 17 00:20:44 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: Grenfell fire was 885 days ago. Tonight, 17,000 people will go to sleep in residential blocks with flammable cladding attache…",Sun Nov 17 00:18:49 +0000 2019
belfast,,Boris-Johnson,"RT @ToryFibs: The most important seat at this General Election is Crewe &amp; Nantwich. If @LauraSmithMP holds it, Boris Johnson's career as PM…",Sun Nov 17 00:18:38 +0000 2019
