city,party,leader,tweet,tweet_time
birmingham,,Boris-Johnson,RT @dadge: Jennifer Arcuri: ‘I’ve kept Boris Johnson’s secrets – now he’s cast me aside like a one-night stand’ https://t.co/NyNPZ5ULnJ,Sun Nov 17 01:25:34 +0000 2019
birmingham,,Boris-Johnson,Jennifer Arcuri: ‘I’ve kept Boris Johnson’s secrets – now he’s cast me aside like a one-night stand’ https://t.co/NyNPZ5ULnJ,Sun Nov 17 01:19:50 +0000 2019
birmingham,,Boris-Johnson,"RT @Iancoll94354676: The tories are absolutely determined to safeguard against further floods. The response, plan to build nearly 10,000 ho…",Sun Nov 17 01:14:18 +0000 2019
birmingham,,Boris-Johnson,RT @TheBirmingham6: These intelligent and articulate young ladies were too young to vote in 2017 but will be able to vote in 2019. They can…,Sun Nov 17 00:54:52 +0000 2019
birmingham,,Boris-Johnson,RT @TheBirmingham6: These intelligent and articulate young ladies were too young to vote in 2017 but will be able to vote in 2019. They can…,Sun Nov 17 00:48:51 +0000 2019
birmingham,,Boris-Johnson,RT @TheBirmingham6: These intelligent and articulate young ladies were too young to vote in 2017 but will be able to vote in 2019. They can…,Sun Nov 17 00:45:01 +0000 2019
birmingham,,Boris-Johnson,RT @TheBirmingham6: These intelligent and articulate young ladies were too young to vote in 2017 but will be able to vote in 2019. They can…,Sun Nov 17 00:44:39 +0000 2019
birmingham,,Boris-Johnson,RT @TheBirmingham6: These intelligent and articulate young ladies were too young to vote in 2017 but will be able to vote in 2019. They can…,Sun Nov 17 00:37:49 +0000 2019
birmingham,,Boris-Johnson,Boris Johnson's Teabag is still stewing in a very cold mug https://t.co/PHy7754U2I  #borisjohnson #tea,Sun Nov 17 00:30:02 +0000 2019
birmingham,,Boris-Johnson,RT @TheBirmingham6: These intelligent and articulate young ladies were too young to vote in 2017 but will be able to vote in 2019. They can…,Sun Nov 17 00:29:07 +0000 2019
birmingham,,Boris-Johnson,"RT @TDBbirmingham: HS2 - Update
Further to the news that the HS2 review is expected to recommend that HS2 should go ahead, the @MailOnline…",Sun Nov 17 00:18:00 +0000 2019
birmingham,,Boris-Johnson,"RT @Iancoll94354676: The tories are absolutely determined to safeguard against further floods. The response, plan to build nearly 10,000 ho…",Sun Nov 17 00:03:02 +0000 2019
birmingham,,Boris-Johnson,"RT @Iancoll94354676: The tories are absolutely determined to safeguard against further floods. The response, plan to build nearly 10,000 ho…",Sun Nov 17 00:02:42 +0000 2019
birmingham,,Boris-Johnson,"RT @TheBirmingham6: Lying racist Boris Johnson vs anti-racist band The Clash
https://t.co/9miZpoLWAI",Sun Nov 17 00:02:29 +0000 2019
birmingham,,Boris-Johnson,"RT @Iancoll94354676: The tories are absolutely determined to safeguard against further floods. The response, plan to build nearly 10,000 ho…",Sat Nov 16 23:59:16 +0000 2019
birmingham,,Boris-Johnson,"RT @Iancoll94354676: The tories are absolutely determined to safeguard against further floods. The response, plan to build nearly 10,000 ho…",Sat Nov 16 23:47:49 +0000 2019
birmingham,,Boris-Johnson,@JimmySecUK @MaajidNawaz @joswinson In this election either Boris Johnson  becomes PM and our country be shaped by… https://t.co/4p7itgZI82,Sat Nov 16 23:47:18 +0000 2019
birmingham,,Boris-Johnson,"RT @Iancoll94354676: The tories are absolutely determined to safeguard against further floods. The response, plan to build nearly 10,000 ho…",Sat Nov 16 23:46:46 +0000 2019
birmingham,,Boris-Johnson,"RT @Iancoll94354676: The tories are absolutely determined to safeguard against further floods. The response, plan to build nearly 10,000 ho…",Sat Nov 16 23:46:20 +0000 2019
birmingham,,Boris-Johnson,"RT @TDBbirmingham: HS2 - Update
Further to the news that the HS2 review is expected to recommend that HS2 should go ahead, the @MailOnline…",Sat Nov 16 23:40:06 +0000 2019
birmingham,,Boris-Johnson,"@MoggMentum My 5 year old sings oh Jeremy Corbyn while shouting clowny at Boris Johnson unprompted, think it's more… https://t.co/bojyt2UuQi",Sat Nov 16 23:35:33 +0000 2019
birmingham,,Boris-Johnson,RT @TheBirmingham6: These intelligent and articulate young ladies were too young to vote in 2017 but will be able to vote in 2019. They can…,Sat Nov 16 23:30:08 +0000 2019
birmingham,,Boris-Johnson,"HS2 - Update
Further to the news that the HS2 review is expected to recommend that HS2 should go ahead, the… https://t.co/riWpQJGYhG",Sat Nov 16 23:27:36 +0000 2019
birmingham,,Boris-Johnson,"RT @Iancoll94354676: The tories are absolutely determined to safeguard against further floods. The response, plan to build nearly 10,000 ho…",Sat Nov 16 23:20:58 +0000 2019
birmingham,,Boris-Johnson,RT @TheBirmingham6: These intelligent and articulate young ladies were too young to vote in 2017 but will be able to vote in 2019. They can…,Sat Nov 16 23:18:25 +0000 2019
birmingham,,Boris-Johnson,"RT @Iancoll94354676: The tories are absolutely determined to safeguard against further floods. The response, plan to build nearly 10,000 ho…",Sat Nov 16 23:16:27 +0000 2019
birmingham,,Boris-Johnson,"RT @Iancoll94354676: The tories are absolutely determined to safeguard against further floods. The response, plan to build nearly 10,000 ho…",Sat Nov 16 23:13:50 +0000 2019
birmingham,,Boris-Johnson,"RT @Iancoll94354676: The tories are absolutely determined to safeguard against further floods. The response, plan to build nearly 10,000 ho…",Sat Nov 16 22:55:45 +0000 2019
birmingham,,Boris-Johnson,RT @TheBirmingham6: These intelligent and articulate young ladies were too young to vote in 2017 but will be able to vote in 2019. They can…,Sat Nov 16 22:55:43 +0000 2019
