city,party,leader,tweet,tweet_time
cardiff,,Boris-Johnson,@Newsweek Marvellous ... Merry Christmas America!! Hopefully Britain will have a Conservative/ Boris Johnson free Christmas present!,Sat Nov 16 23:58:24 +0000 2019
cardiff,,Boris-Johnson,@ThrowbackLib @MarkRuffalo @BernieSanders @jeremycorbyn That's fake lol. And Boris Johnson is a fascist.,Sat Nov 16 23:53:43 +0000 2019
cardiff,,Boris-Johnson,"Ok............ something to think about. 

Tommy Robinson endorses Boris Johnson to be prime minister | Metro News https://t.co/FEOvL7zqfh",Sat Nov 16 20:41:51 +0000 2019
cardiff,,Boris-Johnson,"Realistically we're looking at ten solid years of absolute mayhem under a Boris Johnson government, that's what's h… https://t.co/H6BWmcBdBR",Sat Nov 16 20:20:42 +0000 2019
cardiff,,Boris-Johnson,"#ToryMenace 

Bolton flats fire: Housing chief attacks 'cladding lottery' as pressure turns on Boris Johnson

There… https://t.co/1xXMl10vnw",Sat Nov 16 19:57:13 +0000 2019
cardiff,,Boris-Johnson,"The Independent: For nine extraordinary minutes, Boris Johnson stood next to his bus and lied and lied and lied wit… https://t.co/xxjJNPYHbT",Sat Nov 16 19:53:03 +0000 2019
cardiff,,Boris-Johnson,@DBanksy @theJeremyVine Just what I was thinking! But aren't we supposed to liken brains to Texas? Anyway I stop li… https://t.co/FEGe5btBnj,Sat Nov 16 19:45:20 +0000 2019
cardiff,,Boris-Johnson,I’m sure man-child Boris Johnson won’t be this magnanimous when he gets slapped out of office. https://t.co/M0AkkQoWJ2,Sat Nov 16 19:10:23 +0000 2019
cardiff,,Boris-Johnson,RT @KevinBrennanMP: If Jacob Rees-Mogg is as confident as he says he is that Boris Johnson has secured a great #BrexitDeal then why doesn't…,Sat Nov 16 19:08:01 +0000 2019
cardiff,,Boris-Johnson,"people who see Boris Johnson as anything other than a privileged entitled bafoon truly baffle me, do you really thi… https://t.co/s4zz8NIgo2",Sat Nov 16 16:49:21 +0000 2019
cardiff,,Boris-Johnson,What an endorsement from none other than Mr. Stephen Christopher Yaxley Lennon himself! #GoBoris - just the leg up… https://t.co/cYgdgLRJm5,Sat Nov 16 15:09:34 +0000 2019
cardiff,,Boris-Johnson,RT @Gastro_Celtic: Anyone trust a word that comes out this creeps mouth? I only became aware of her when I saw that Frankie Boyle clip wher…,Sat Nov 16 14:41:13 +0000 2019
cardiff,,Boris-Johnson,Boris defends Duke of York because ‘He’s done a lot for UK business’ Should this be a reason to excuse him from the… https://t.co/EBfnEtnlsI,Sat Nov 16 14:20:02 +0000 2019
cardiff,,Boris-Johnson,Crowd of students to march on Boris Johnson's constituency in campaign to unseat prime minister https://t.co/ZPXRRnVizJ,Sat Nov 16 14:15:04 +0000 2019
cardiff,,Boris-Johnson,@MattHancock We really have to give Boris Johnson credit on doing the impossible and somehow negotiating backwards… https://t.co/j8RaUZq9fY,Sat Nov 16 12:42:32 +0000 2019
cardiff,,Boris-Johnson,"@BronLlewellyn Yeah it's so wrong to use kids like this, this is obviously an adult pushing their agenda, I bet tha… https://t.co/8giVevkmbv",Sat Nov 16 12:29:52 +0000 2019
cardiff,,Boris-Johnson,RT @CliveCounsell: BBC accused of 'covering up' Boris Johnson Remembrance Day gaffes by using 2016 footage | Evolve Politics https://t.co/S…,Sat Nov 16 11:45:40 +0000 2019
cardiff,,Boris-Johnson,RT @DafyddTrystan: Boris Johnson may actually be worse in the heat of the campaign than Theresa May - rhyfeddol! https://t.co/9MslKWyLJX,Sat Nov 16 11:31:07 +0000 2019
cardiff,,Boris-Johnson,RT @brookebay21: Boris Johnson's special advisor publicly thanks the media for uniting against Jeremy Corbyn | The Canary https://t.co/u5O3…,Sat Nov 16 11:03:09 +0000 2019
cardiff,,Boris-Johnson,BBC accused of 'covering up' Boris Johnson Remembrance Day gaffes by using 2016 footage | Evolve Politics https://t.co/SyOSxcGTmD,Sat Nov 16 10:58:23 +0000 2019
cardiff,,Boris-Johnson,RT @DafyddTrystan: Boris Johnson may actually be worse in the heat of the campaign than Theresa May - rhyfeddol! https://t.co/9MslKWyLJX,Sat Nov 16 10:54:49 +0000 2019
cardiff,,Boris-Johnson,RT @brookebay21: Boris Johnson's special advisor publicly thanks the media for uniting against Jeremy Corbyn | The Canary https://t.co/u5O3…,Sat Nov 16 10:52:21 +0000 2019
cardiff,,Boris-Johnson,Boris Johnson's special advisor publicly thanks the media for uniting against Jeremy Corbyn | The Canary https://t.co/u5O31zePWj,Sat Nov 16 10:51:16 +0000 2019
cardiff,,Boris-Johnson,"Boris ""unrelatable"" Johnson https://t.co/r9Y5oa6LV6",Sat Nov 16 10:48:37 +0000 2019
cardiff,,Boris-Johnson,RT @DafyddTrystan: Boris Johnson may actually be worse in the heat of the campaign than Theresa May - rhyfeddol! https://t.co/9MslKWyLJX,Sat Nov 16 10:32:31 +0000 2019
cardiff,,Boris-Johnson,RT @AWeltch: Tories are good at creating jobs: Fact-checking and correcting our prime minister’s lies has become a major industry.  https:/…,Sat Nov 16 09:31:43 +0000 2019
cardiff,,Boris-Johnson,Tories are good at creating jobs: Fact-checking and correcting our prime minister’s lies has become a major industr… https://t.co/duNAUdNUQX,Sat Nov 16 09:26:24 +0000 2019
cardiff,,Boris-Johnson,@TeunissenHerman @Doozy_45 Surely it should be put your skills to the test ... spot when Boris Johnson is telling the truth?,Sat Nov 16 09:23:17 +0000 2019
cardiff,,Boris-Johnson,RT @DafyddTrystan: Boris Johnson may actually be worse in the heat of the campaign than Theresa May - rhyfeddol! https://t.co/9MslKWyLJX,Sat Nov 16 09:21:33 +0000 2019
cardiff,,Boris-Johnson,"@RealityCheckout I know it's your wet dream to unseat Boris Johnson but I like him so no thanks, BXP can stay out 😝",Sat Nov 16 09:20:46 +0000 2019
cardiff,,Boris-Johnson,The wheels on the Boris bus go round and round ... and then come off? | Marina Hyde https://t.co/msUK2msihQ Judging… https://t.co/q9wc3VPnQH,Sat Nov 16 09:04:34 +0000 2019
cardiff,,Boris-Johnson,@BBC how distasteful NagaManchet’s interview of Boris Johnson she was so rude and totally disrespectful of his posi… https://t.co/vpUMtnNTu0,Sat Nov 16 08:30:06 +0000 2019
cardiff,,Boris-Johnson,RT @sararobinson81: “What is regarded as good-for-nothing and disgraceful and evidence of unforgivable moral turpitude in working-class peo…,Sat Nov 16 07:52:21 +0000 2019
