city,party,leader,tweet,tweet_time
cardiff,,Jo-Swinson,RT @CooperKentfield: Jo Swinson (Liberal Democrats) just looks like she’s voting for whatever is most controversial 😂 fucking bonkers woman…,Sat Nov 23 16:43:13 +0000 2019
cardiff,,Jo-Swinson,Yes. I totally agree. She really isn’t doing herself nor democracy any favours in this way. Badly thought out plan… https://t.co/CbYLJVSePp,Sat Nov 23 15:31:03 +0000 2019
cardiff,,Jo-Swinson,Jo Swinson as she unleashes her nuclear bombs https://t.co/RheuxttHBu,Sat Nov 23 13:49:21 +0000 2019
cardiff,,Jo-Swinson,"@jeremycorbyn Drive that bus off a cliff and solve most of the UKs problems, if you can run Jo Swinson over on the way that would help.",Sat Nov 23 12:26:29 +0000 2019
cardiff,,Jo-Swinson,@TomWho4 Throw Jo Swinson on top of him.,Sat Nov 23 12:19:35 +0000 2019
cardiff,,Jo-Swinson,Jo Swinson (Liberal Democrats) just looks like she’s voting for whatever is most controversial 😂 fucking bonkers wo… https://t.co/ovmBiW8ESs,Sat Nov 23 11:56:31 +0000 2019
cardiff,,Jo-Swinson,"RT @neiljmcevoy: Jo Swinson, Leader of the Lib Dems, voted AGAINST devolving tax raising &amp; borrowing powers to the Welsh Government &amp; she v…",Sat Nov 23 10:12:26 +0000 2019
cardiff,,Jo-Swinson,RT @jmsbrrt: I will happily vote for Jo Swinson if she pledges that the target of her nuclear strikes will be me,Sat Nov 23 08:59:56 +0000 2019
cardiff,,Jo-Swinson,I will happily vote for Jo Swinson if she pledges that the target of her nuclear strikes will be me,Sat Nov 23 08:59:26 +0000 2019
cardiff,,Jo-Swinson,"Jo Swinson has the exact energy of the girl in your sixth form who was made ""Co-Head Girl"" by the teachers because… https://t.co/VP5y9jCDwZ",Sat Nov 23 08:20:26 +0000 2019
cardiff,,Jo-Swinson,"@markjhooper How about "" jo swinson is a disgrace so vote Plaid"" Mark?
Your a plaid councillor ffs 🙄",Sat Nov 23 02:39:16 +0000 2019
cardiff,,Jo-Swinson,"RT @neeilroberts: Just watched the debates and it's clear that:

1) the best was Nicola Sturgeon
2) the worst was by far Jo Swinson
3) the…",Sat Nov 23 01:30:32 +0000 2019
cardiff,,Jo-Swinson,"RT @neeilroberts: Just watched the debates and it's clear that:

1) the best was Nicola Sturgeon
2) the worst was by far Jo Swinson
3) the…",Sat Nov 23 01:23:02 +0000 2019
cardiff,,Jo-Swinson,"Just watched the debates and it's clear that:

1) the best was Nicola Sturgeon
2) the worst was by far Jo Swinson
3… https://t.co/p32E5KFBZz",Sat Nov 23 01:22:26 +0000 2019
cardiff,,Jo-Swinson,"Jo Swinson’s performance tonight has made me never want to vote Lib Dem in my lifetime, thanks for clearing that up",Sat Nov 23 00:12:39 +0000 2019
cardiff,,Jo-Swinson,"RT @DigiDean: @bbcquestiontime Fiona, after the pile-on Jo Swinson was put through you did not get Boris to answer the question re Fact Che…",Fri Nov 22 22:38:14 +0000 2019
cardiff,,Jo-Swinson,RT @Kerry_Loo: Jo Swinson on #QuestionTimeLeadersSpecial is painful to watch. She clearly has nothing to offer apart from revoking Article…,Fri Nov 22 22:35:58 +0000 2019
cardiff,,Jo-Swinson,@IsabelHardman @BBCRadio4 Corbyn gave the most assured performance regardless of your politics. He appeared to have… https://t.co/BAgrEsSCYF,Fri Nov 22 22:17:05 +0000 2019
cardiff,,Jo-Swinson,Can’t believe Jo Swinson did a shit on the stage during question time 💩,Fri Nov 22 22:17:02 +0000 2019
cardiff,,Jo-Swinson,"Playing catch up with leaders on Question Time.  Its true the audience didn't like Jo Swinson but, until she got on… https://t.co/lPxEtgp1sX",Fri Nov 22 22:07:54 +0000 2019
cardiff,,Jo-Swinson,So I think we just witnessed the end of Jo Swinson's LibDems.,Fri Nov 22 21:31:45 +0000 2019
cardiff,,Jo-Swinson,#bbcqt Poor Jo Swinson.,Fri Nov 22 21:28:27 +0000 2019
cardiff,,Jo-Swinson,"@timfarron It was perhaps the most career destroying political half since Frost/Nixon.  
Jo Swinson's LidDems days are pretty much finished.",Fri Nov 22 21:27:32 +0000 2019
