city,party,leader,tweet,tweet_time
edinburgh,Conservative-Party,,"@plazmuh111 Russia bought the Conservative party a few years ago, I'm surprised they're selling it now.",Sat Nov 23 18:48:26 +0000 2019
edinburgh,Conservative-Party,,"""The guy who had a go at Corbyn and claimed to be afraid for his family? He’s been invited to ask a question on QT… https://t.co/DpNHbTUXUR",Sat Nov 23 14:38:46 +0000 2019
edinburgh,Conservative-Party,,"@AnnieWellsMSP @ScotTories No bigger traitor to Scotland, England, Wales and Northern Ireland than the Conservative… https://t.co/L2kmaj7Ah2",Sat Nov 23 12:28:39 +0000 2019
edinburgh,Conservative-Party,,@BrianBengal We the undersigned fully concur as we also watched it again and therefore fully APPROVE &amp; ENDORSE THIS… https://t.co/Be47xjuRgF,Sat Nov 23 10:36:19 +0000 2019
edinburgh,Conservative-Party,,"RT @weeMar80: ‘State sponsored misinformation’

Vote the lying,cheating Tories out  on 12th Dec ...
#VoteLabour2019 🌹✊ 

https://t.co/hKUJP…",Sat Nov 23 09:29:51 +0000 2019
edinburgh,Conservative-Party,,"RT @alanferrier: This is a targeted Facebook advert paid for by the Conservative Party.
It's not been sent to any voters in Scotland - only…",Sat Nov 23 09:23:31 +0000 2019
edinburgh,Conservative-Party,,"RT @weeMar80: ‘State sponsored misinformation’

Vote the lying,cheating Tories out  on 12th Dec ...
#VoteLabour2019 🌹✊ 

https://t.co/hKUJP…",Sat Nov 23 08:12:54 +0000 2019
edinburgh,Conservative-Party,,"RT @arthistorynews: I've voted for, worked for, been a member of, and even a historian of, the Conservative Party. It is time now to destro…",Sat Nov 23 07:33:45 +0000 2019
edinburgh,Conservative-Party,,"RT @weeMar80: ‘State sponsored misinformation’

Vote the lying,cheating Tories out  on 12th Dec ...
#VoteLabour2019 🌹✊ 

https://t.co/hKUJP…",Sat Nov 23 07:07:11 +0000 2019
edinburgh,Conservative-Party,,"RT @weeMar80: ‘State sponsored misinformation’

Vote the lying,cheating Tories out  on 12th Dec ...
#VoteLabour2019 🌹✊ 

https://t.co/hKUJP…",Sat Nov 23 06:41:12 +0000 2019
edinburgh,Conservative-Party,,"RT @arthistorynews: I've voted for, worked for, been a member of, and even a historian of, the Conservative Party. It is time now to destro…",Fri Nov 22 23:54:30 +0000 2019
edinburgh,Conservative-Party,,"@timothy_stanley Is it not rather snide to do so using such racist terms?

It indicates, that as a Conservative, wh… https://t.co/jOiCvU1Zm1",Fri Nov 22 20:51:37 +0000 2019
edinburgh,Conservative-Party,,"At the #Con game again, the Conservative party misleadingly edit video of Jess Phillips https://t.co/WHTQzdun4d via @FullFact",Fri Nov 22 20:45:27 +0000 2019
edinburgh,Conservative-Party,,"3 weeks on from this tweet, the withdrawing of Brexit party from Con seats makes 40%+ for Conservatives very likely… https://t.co/UrFYYCYB6a",Fri Nov 22 20:40:19 +0000 2019
edinburgh,Conservative-Party,,@christopherhope @bbcquestiontime I can't vote for the Conservative party as they are arseholes. Lots of other peop… https://t.co/vOTBtDhFwc,Fri Nov 22 20:02:24 +0000 2019
edinburgh,Conservative-Party,,"RT @arthistorynews: I've voted for, worked for, been a member of, and even a historian of, the Conservative Party. It is time now to destro…",Fri Nov 22 18:10:51 +0000 2019
edinburgh,Conservative-Party,,"RT @weeMar80: ‘State sponsored misinformation’

Vote the lying,cheating Tories out  on 12th Dec ...
#VoteLabour2019 🌹✊ 

https://t.co/hKUJP…",Fri Nov 22 17:33:26 +0000 2019
edinburgh,Conservative-Party,,"‘State sponsored misinformation’

Vote the lying,cheating Tories out  on 12th Dec ...
#VoteLabour2019 🌹✊ 

https://t.co/hKUJP2u1Xd",Fri Nov 22 15:58:33 +0000 2019
edinburgh,Conservative-Party,,"Tory party accused of ""state-sponsored misinformation"" on fact checking https://t.co/D2Wflwn9Hu via @ferretscot",Fri Nov 22 15:26:08 +0000 2019
edinburgh,Conservative-Party,,"@duckrabbitblog And assuming you have, any thoughts on this? https://t.co/SZmBDXYnts",Fri Nov 22 14:44:00 +0000 2019
edinburgh,Conservative-Party,,Yes but it’s not as much of a two horse race nationally as it used to be - Lib Dem and Labour support easily outwei… https://t.co/fezJJMycC2,Fri Nov 22 13:14:48 +0000 2019
edinburgh,Conservative-Party,,UK Parliament: Hold the Conservative Party accountable for misinformation tactics. - Sign the Petition!… https://t.co/mKrvCjaNui,Fri Nov 22 13:11:17 +0000 2019
edinburgh,Conservative-Party,,"Edinburgh Airport Watch... https://t.co/lIRf0zf0lf The Labour, LibDem and Green party manifestos (Conservative not… https://t.co/puurbnQ7Hc",Fri Nov 22 11:44:46 +0000 2019
edinburgh,Conservative-Party,,"@CllrKathleen is this more misinformation published by the Conservative Party?
""Labour and Lib Dems are just too we… https://t.co/0jFkgdHDCS",Fri Nov 22 11:13:50 +0000 2019
edinburgh,Conservative-Party,,Tories slammed for ‘quietly reinstating Islamophobic councillor' https://t.co/SdiIAVOaBn via @MetroUK,Fri Nov 22 11:05:27 +0000 2019
edinburgh,Conservative-Party,,@RuthDavidsonMSP The very worst thing about the Labour party is they have implemented the 27% Conservative governme… https://t.co/kxlKzPeHMd,Fri Nov 22 10:46:40 +0000 2019
edinburgh,Conservative-Party,,@KristyChampion1 @StanleyMcMulle5 @BorisJohnson @NHSuk @NHSMillion https://t.co/XJyNGmJQm9,Fri Nov 22 09:05:52 +0000 2019
edinburgh,Conservative-Party,,"RT @RabbieSnrub: Do you care about the Conservative Party using their Twitter profile to impersonate a fact-checking account?

Can I get so…",Fri Nov 22 08:24:51 +0000 2019
edinburgh,Conservative-Party,,"Do you care about the Conservative Party using their Twitter profile to impersonate a fact-checking account?

Can I… https://t.co/PCSY3YJJ5F",Fri Nov 22 08:24:46 +0000 2019
edinburgh,Conservative-Party,,@IcelandFoods so upset about finding out you donated money to the Conservative party. I cannot longer buy your vega… https://t.co/1cInvwNzby,Fri Nov 22 08:23:46 +0000 2019
edinburgh,Conservative-Party,,Boris Johnson's Conservative Party election campaign funded by wife of former Putin ally https://t.co/RMLvNuwejP via @businessinsider,Fri Nov 22 08:13:46 +0000 2019
edinburgh,Conservative-Party,,RT @Winnfrith1: @OxfordDiplomat Justice is only available for the wealthy under the Conservative party... Remember that on election day.,Fri Nov 22 07:59:33 +0000 2019
edinburgh,Conservative-Party,,Absolutely ridiculous that the Conservative party believe a further increase in the NHS surcharge from £400 to £625… https://t.co/gYeWFGDhpY,Fri Nov 22 07:52:05 +0000 2019
edinburgh,Conservative-Party,,"The UK Conservative Party has gone full Animal Farm. This undermines truth in politics, and they wouldn't seek to d… https://t.co/cH7lsKB1UR",Fri Nov 22 06:21:59 +0000 2019
edinburgh,Conservative-Party,,"RT @2351onthelist: Come on, pro-union voters in Dunfermline east! Settle on one party to support. You seriously want the SNP to win with a…",Fri Nov 22 04:00:01 +0000 2019
edinburgh,Conservative-Party,,@A50Challenge It’s hard to see how any self-respecting conservative could vote for The Conservative party.,Fri Nov 22 00:27:03 +0000 2019
edinburgh,Conservative-Party,,@Independent What a fuss about nothing! It said it was a Conservative post. I saw it was a party post. So I ignored… https://t.co/IuRTyIibIz,Fri Nov 22 00:15:03 +0000 2019
edinburgh,Conservative-Party,,"RT @arthistorynews: I've voted for, worked for, been a member of, and even a historian of, the Conservative Party. It is time now to destro…",Thu Nov 21 22:46:03 +0000 2019
edinburgh,Conservative-Party,,RT @Deposit_return: In line with the proposed deposit return scheme (DRS) outlined in the Conservative Government’s 2018 Resources and Wast…,Thu Nov 21 22:27:15 +0000 2019
edinburgh,Conservative-Party,,"RT @2351onthelist: Come on, pro-union voters in Dunfermline east! Settle on one party to support. You seriously want the SNP to win with a…",Thu Nov 21 22:08:05 +0000 2019
edinburgh,Conservative-Party,,"The Conservative Party was destroyed in the Euro elections. The difference now is a PM who believes in Brexit, who… https://t.co/gIJN9eox9F",Thu Nov 21 21:43:25 +0000 2019
edinburgh,Conservative-Party,,"RT @2351onthelist: Come on, pro-union voters in Dunfermline east! Settle on one party to support. You seriously want the SNP to win with a…",Thu Nov 21 21:26:04 +0000 2019
edinburgh,Conservative-Party,,"@DrAshrafChohan @Conservatives @Medics4Labour ""He is a supporter of Conservative Party in the UK and has campaigned… https://t.co/sZ3KWf7VFx",Thu Nov 21 21:03:47 +0000 2019
edinburgh,Conservative-Party,,"RT @2351onthelist: Come on, pro-union voters in Dunfermline east! Settle on one party to support. You seriously want the SNP to win with a…",Thu Nov 21 20:54:06 +0000 2019
edinburgh,Conservative-Party,,"RT @arthistorynews: I've voted for, worked for, been a member of, and even a historian of, the Conservative Party. It is time now to destro…",Thu Nov 21 20:47:09 +0000 2019
edinburgh,Conservative-Party,,"RT @arthistorynews: I've voted for, worked for, been a member of, and even a historian of, the Conservative Party. It is time now to destro…",Thu Nov 21 20:42:55 +0000 2019
edinburgh,Conservative-Party,,"RT @arthistorynews: I've voted for, worked for, been a member of, and even a historian of, the Conservative Party. It is time now to destro…",Thu Nov 21 20:38:42 +0000 2019
edinburgh,Conservative-Party,,"RT @arthistorynews: I've voted for, worked for, been a member of, and even a historian of, the Conservative Party. It is time now to destro…",Thu Nov 21 20:37:05 +0000 2019
edinburgh,Conservative-Party,,"UK Depression,  the insidious conservative party",Thu Nov 21 20:29:07 +0000 2019
edinburgh,Conservative-Party,,"RT @arthistorynews: I've voted for, worked for, been a member of, and even a historian of, the Conservative Party. It is time now to destro…",Thu Nov 21 18:55:39 +0000 2019
edinburgh,Conservative-Party,,"RT @arthistorynews: I've voted for, worked for, been a member of, and even a historian of, the Conservative Party. It is time now to destro…",Thu Nov 21 18:53:26 +0000 2019
edinburgh,Conservative-Party,,"RT @2351onthelist: Come on, pro-union voters in Dunfermline east! Settle on one party to support. You seriously want the SNP to win with a…",Thu Nov 21 18:06:52 +0000 2019
edinburgh,Conservative-Party,,"RT @arthistorynews: I've voted for, worked for, been a member of, and even a historian of, the Conservative Party. It is time now to destro…",Thu Nov 21 18:04:21 +0000 2019
edinburgh,Conservative-Party,,"RT @arthistorynews: I've voted for, worked for, been a member of, and even a historian of, the Conservative Party. It is time now to destro…",Thu Nov 21 17:49:36 +0000 2019
edinburgh,Conservative-Party,,"RT @2351onthelist: Come on, pro-union voters in Dunfermline east! Settle on one party to support. You seriously want the SNP to win with a…",Thu Nov 21 17:45:03 +0000 2019
edinburgh,Conservative-Party,,"RT @arthistorynews: I've voted for, worked for, been a member of, and even a historian of, the Conservative Party. It is time now to destro…",Thu Nov 21 17:37:14 +0000 2019
edinburgh,Conservative-Party,,RT @Winnfrith1: @Jacob_Rees_Mogg How the Conservative party welcomes you home! https://t.co/LKOhzH2g1y,Thu Nov 21 17:30:58 +0000 2019
edinburgh,Conservative-Party,,"RT @2351onthelist: Come on, pro-union voters in Dunfermline east! Settle on one party to support. You seriously want the SNP to win with a…",Thu Nov 21 17:30:55 +0000 2019
edinburgh,Conservative-Party,,"RT @arthistorynews: I've voted for, worked for, been a member of, and even a historian of, the Conservative Party. It is time now to destro…",Thu Nov 21 17:27:30 +0000 2019
edinburgh,Conservative-Party,,"RT @2351onthelist: Come on, pro-union voters in Dunfermline east! Settle on one party to support. You seriously want the SNP to win with a…",Thu Nov 21 17:07:23 +0000 2019
edinburgh,Conservative-Party,,"RT @2351onthelist: Come on, pro-union voters in Dunfermline east! Settle on one party to support. You seriously want the SNP to win with a…",Thu Nov 21 17:03:30 +0000 2019
edinburgh,Conservative-Party,,RT @Winnfrith1: @Jacob_Rees_Mogg How the Conservative party welcomes you home! https://t.co/LKOhzH2g1y,Thu Nov 21 16:54:52 +0000 2019
edinburgh,Conservative-Party,,@ElectoralCommUK  This is the second time in two days that the Conservative Party are trying to hoodwink voters by… https://t.co/uTXghEBqmy,Thu Nov 21 16:50:29 +0000 2019
edinburgh,Conservative-Party,,"RT @2351onthelist: Come on, pro-union voters in Dunfermline east! Settle on one party to support. You seriously want the SNP to win with a…",Thu Nov 21 16:49:14 +0000 2019
edinburgh,Conservative-Party,,RT @Winnfrith1: @Jacob_Rees_Mogg How the Conservative party welcomes you home! https://t.co/LKOhzH2g1y,Thu Nov 21 16:47:41 +0000 2019
edinburgh,Conservative-Party,,"RT @2351onthelist: Come on, pro-union voters in Dunfermline east! Settle on one party to support. You seriously want the SNP to win with a…",Thu Nov 21 16:43:18 +0000 2019
edinburgh,Conservative-Party,,"RT @2351onthelist: Come on, pro-union voters in Dunfermline east! Settle on one party to support. You seriously want the SNP to win with a…",Thu Nov 21 16:32:36 +0000 2019
edinburgh,Conservative-Party,,"RT @2351onthelist: Come on, pro-union voters in Dunfermline east! Settle on one party to support. You seriously want the SNP to win with a…",Thu Nov 21 16:20:39 +0000 2019
edinburgh,Conservative-Party,,The Conservative donor list makes interesting reading. Some whoppers in there. https://t.co/ZEg7Ni2aN2 #GE2019 https://t.co/xycP9O7byy,Thu Nov 21 16:00:15 +0000 2019
edinburgh,Conservative-Party,,"@GJMunro26 @scottishlabour Indeed, independence would be a good start. Independent from the one and only 'British'… https://t.co/4cfgpU8kkY",Thu Nov 21 15:47:47 +0000 2019
edinburgh,Conservative-Party,,"RT @2351onthelist: Come on, pro-union voters in Dunfermline east! Settle on one party to support. You seriously want the SNP to win with a…",Thu Nov 21 15:47:14 +0000 2019
edinburgh,Conservative-Party,,like its fundamentally an environment where.. basic norms break down? where political parties cant function? that t… https://t.co/DtOBT8RHpR,Thu Nov 21 15:40:23 +0000 2019
edinburgh,Conservative-Party,,"RT @2351onthelist: Come on, pro-union voters in Dunfermline east! Settle on one party to support. You seriously want the SNP to win with a…",Thu Nov 21 15:39:57 +0000 2019
edinburgh,Conservative-Party,,"RT @2351onthelist: Come on, pro-union voters in Dunfermline east! Settle on one party to support. You seriously want the SNP to win with a…",Thu Nov 21 15:39:08 +0000 2019
edinburgh,Conservative-Party,,Does anybody know why mega rich people flood money in to the Conservative party.....? https://t.co/eW5fIWHQmc,Thu Nov 21 15:36:43 +0000 2019
edinburgh,Conservative-Party,,"RT @2351onthelist: Come on, pro-union voters in Dunfermline east! Settle on one party to support. You seriously want the SNP to win with a…",Thu Nov 21 15:33:02 +0000 2019
edinburgh,Conservative-Party,,"RT @2351onthelist: Come on, pro-union voters in Dunfermline east! Settle on one party to support. You seriously want the SNP to win with a…",Thu Nov 21 15:26:17 +0000 2019
edinburgh,Conservative-Party,,"Come on, pro-union voters in Dunfermline east! Settle on one party to support. You seriously want the SNP to win wi… https://t.co/8yCxOo739k",Thu Nov 21 15:25:04 +0000 2019
edinburgh,Conservative-Party,,RT @Winnfrith1: @OxfordDiplomat Justice is only available for the wealthy under the Conservative party... Remember that on election day.,Thu Nov 21 15:14:49 +0000 2019
edinburgh,Conservative-Party,,RT @Winnfrith1: @Jacob_Rees_Mogg How the Conservative party welcomes you home! https://t.co/LKOhzH2g1y,Thu Nov 21 14:59:15 +0000 2019
edinburgh,Conservative-Party,,RT @Winnfrith1: @OxfordDiplomat Justice is only available for the wealthy under the Conservative party... Remember that on election day.,Thu Nov 21 14:35:17 +0000 2019
edinburgh,Conservative-Party,,RT @Winnfrith1: @Jacob_Rees_Mogg How the Conservative party welcomes you home! https://t.co/LKOhzH2g1y,Thu Nov 21 14:11:34 +0000 2019
edinburgh,Conservative-Party,,@RachelRileyRR What are your thoughts on Islamophobia within the Conservative Party? And please with the photoshops,Thu Nov 21 14:01:17 +0000 2019
edinburgh,Conservative-Party,,RT @Winnfrith1: @Jacob_Rees_Mogg How the Conservative party welcomes you home! https://t.co/LKOhzH2g1y,Thu Nov 21 13:43:10 +0000 2019
edinburgh,Conservative-Party,,RT @Winnfrith1: @Jacob_Rees_Mogg How the Conservative party welcomes you home! https://t.co/LKOhzH2g1y,Thu Nov 21 13:16:58 +0000 2019
edinburgh,Conservative-Party,,@Jacob_Rees_Mogg How the Conservative party welcomes you home! https://t.co/LKOhzH2g1y,Thu Nov 21 12:30:11 +0000 2019
edinburgh,Conservative-Party,,"@Jacob_Rees_Mogg The cost to our democracy of the Conservative party fake Tory fact checking, fake opposition party… https://t.co/kXhRMKHadL",Thu Nov 21 12:26:24 +0000 2019
edinburgh,Conservative-Party,,"@HichamYezza @JosieLong To be fair, the site does say 'A WEBSITE BY THE CONSERVATIVE PARTY' on the main page, and t… https://t.co/nfAoBTTv4x",Thu Nov 21 11:56:38 +0000 2019
edinburgh,Conservative-Party,,RT @AuntieStuds: .@jamescleverly The Conservative Party is not a fact-checking service and it shouldn’t pretend to be one. This was a dirty…,Thu Nov 21 11:36:50 +0000 2019
edinburgh,Conservative-Party,,.@jamescleverly The Conservative Party is not a fact-checking service and it shouldn’t pretend to be one. This was… https://t.co/IZ0c3ZN21B,Thu Nov 21 11:36:19 +0000 2019
edinburgh,Conservative-Party,,@Peston The Lib Dems have finally put up a real Lib Dem MP instead of one of the Conservative or Labour defectors w… https://t.co/LYBp5dkU9q,Thu Nov 21 11:12:03 +0000 2019
edinburgh,Conservative-Party,,RT @Winnfrith1: @OxfordDiplomat Justice is only available for the wealthy under the Conservative party... Remember that on election day.,Thu Nov 21 11:10:58 +0000 2019
edinburgh,Conservative-Party,,"@_RJ1872 Not a single party from down south cares about Scotland. Between conservative, labour and libdem they are… https://t.co/lJit0HLH7C",Thu Nov 21 10:33:02 +0000 2019
edinburgh,Conservative-Party,,In line with the proposed deposit return scheme (DRS) outlined in the Conservative Government’s 2018 Resources and… https://t.co/pVpyfto9aa,Thu Nov 21 10:03:28 +0000 2019
edinburgh,Conservative-Party,,@OxfordDiplomat Justice is only available for the wealthy under the Conservative party... Remember that on election day.,Thu Nov 21 09:15:42 +0000 2019
edinburgh,Conservative-Party,,"RT @mattgemmell: Here in the UK, while we have the so-called leaders’ debate in preparation for a General Election next month, the Conserva…",Thu Nov 21 03:00:21 +0000 2019
edinburgh,Conservative-Party,,‘Act with honesty and probity and in a manner which upholds the reputation and values of the Conservative Party. Su… https://t.co/D8v4mL6ZpB,Wed Nov 20 21:38:47 +0000 2019
edinburgh,Conservative-Party,,RT @RunsWritesCode: I reported the Conservative Party Twitter account for masquerading as #factcheckuk. Looks like Twitter got confused by…,Wed Nov 20 21:05:07 +0000 2019
edinburgh,Conservative-Party,,I reported the Conservative Party Twitter account for masquerading as #factcheckuk. Looks like Twitter got confused… https://t.co/M5U8Lcdhv2,Wed Nov 20 20:52:17 +0000 2019
edinburgh,Conservative-Party,,"RT @arthistorynews: I've voted for, worked for, been a member of, and even a historian of, the Conservative Party. It is time now to destro…",Wed Nov 20 20:40:15 +0000 2019
edinburgh,,Boris-Johnson,RT @ashleyannotate: “And the winner is … the one we can’t vote for as UK prime minister. Nicola Sturgeon showed how it should be done. For…,Sat Nov 23 21:20:20 +0000 2019
edinburgh,,Boris-Johnson,RT @ashleyannotate: “And the winner is … the one we can’t vote for as UK prime minister. Nicola Sturgeon showed how it should be done. For…,Sat Nov 23 21:16:04 +0000 2019
edinburgh,,Boris-Johnson,RT @ashleyannotate: “And the winner is … the one we can’t vote for as UK prime minister. Nicola Sturgeon showed how it should be done. For…,Sat Nov 23 21:10:33 +0000 2019
edinburgh,,Boris-Johnson,RT @ashleyannotate: “And the winner is … the one we can’t vote for as UK prime minister. Nicola Sturgeon showed how it should be done. For…,Sat Nov 23 21:03:18 +0000 2019
edinburgh,,Boris-Johnson,RT @ashleyannotate: “And the winner is … the one we can’t vote for as UK prime minister. Nicola Sturgeon showed how it should be done. For…,Sat Nov 23 21:00:41 +0000 2019
edinburgh,,Boris-Johnson,RT @iamthelastlaw: Boris Johnson permanently looks like he’s just been shooken awake after falling asleep in a bush.,Sat Nov 23 20:51:51 +0000 2019
edinburgh,,Boris-Johnson,Boris Johnson permanently looks like he’s just been shooken awake after falling asleep in a bush.,Sat Nov 23 20:51:43 +0000 2019
edinburgh,,Boris-Johnson,"RT @kat_cary: YOU CAN’T JUST TAKE WHAT YOU WANT FROM SCOTLAND BECAUSE IT’S BETTER THAN WHAT YOU HAVE. 😡🥵🥵
#voteSNP #GE2019
#indyref2020 htt…",Sat Nov 23 20:51:09 +0000 2019
edinburgh,,Boris-Johnson,@MotherwellFC As deluded a post as I’ve seen on Twitter. Absolute Boris Johnson esk levels of delusion and pish here 😂,Sat Nov 23 20:50:51 +0000 2019
