city,party,leader,tweet,tweet_time
newport,Liberal-Democrats,,Liberal Democrats pledge to plant 60m trees a year  https://t.co/Pw656RH6uX,Sat Nov 16 13:26:36 +0000 2019
newport,,Jeremy-Corbyn,RT @lyndon_chaney: So I watched the leaders debate and yes the only one talking with sense and passion it was Jeremy Corbyn 🌹🌹🏴󠁧󠁢󠁷󠁬󠁳󠁿👍,Sat Nov 23 21:05:23 +0000 2019
newport,,Jeremy-Corbyn,RT @lyndon_chaney: So I watched the leaders debate and yes the only one talking with sense and passion it was Jeremy Corbyn 🌹🌹🏴󠁧󠁢󠁷󠁬󠁳󠁿👍,Sat Nov 23 20:50:45 +0000 2019
newport,,Jeremy-Corbyn,So I watched the leaders debate and yes the only one talking with sense and passion it was Jeremy Corbyn 🌹🌹🏴󠁧󠁢󠁷󠁬󠁳󠁿👍,Sat Nov 23 20:49:45 +0000 2019
newport,,Jeremy-Corbyn,"@JamesMelville Like jeremy corbyn n his Lost n Found Glasses,,",Sat Nov 23 14:23:16 +0000 2019
newport,,Jeremy-Corbyn,"And the first party leader in tonight's dance off is @JoSwinson 😂 

The Question Time leaders’ special: our panel’s… https://t.co/ztUNTAhdCH",Sat Nov 23 05:39:18 +0000 2019
newport,,Jeremy-Corbyn,RT @StevenJDenton: Fence sitting is now official ⁦@UKLabour⁩ policy as ⁦@jeremycorbyn⁩  says he will be neutral in a new referendum. What a…,Fri Nov 22 23:38:46 +0000 2019
newport,,Jeremy-Corbyn,RT @StevenJDenton: Fence sitting is now official ⁦@UKLabour⁩ policy as ⁦@jeremycorbyn⁩  says he will be neutral in a new referendum. What a…,Fri Nov 22 23:13:50 +0000 2019
newport,,Jeremy-Corbyn,RT @StevenJDenton: Fence sitting is now official ⁦@UKLabour⁩ policy as ⁦@jeremycorbyn⁩  says he will be neutral in a new referendum. What a…,Fri Nov 22 23:12:37 +0000 2019
newport,,Jeremy-Corbyn,Fence sitting is now official ⁦@UKLabour⁩ policy as ⁦@jeremycorbyn⁩  says he will be neutral in a new referendum. W… https://t.co/4E7Xh7RhIO,Fri Nov 22 22:11:20 +0000 2019
newport,,Jeremy-Corbyn,"I am not a Jeremy Corbyn fan in any, in fact I detest the man, but this election we only have a two-horse race, in… https://t.co/ZJb6CaqLiX",Fri Nov 22 08:49:24 +0000 2019
newport,,Jeremy-Corbyn,"Well, I’m still waiting for the Italians to pay reparations for the Roman Invasion, and the French for the Norman i… https://t.co/bvJUrLxPfY",Wed Nov 20 20:09:13 +0000 2019
newport,,Jeremy-Corbyn,"@GuidoFawkes Anything goes, Jeremy Corbyn even self identifies as a leader of a political party.",Wed Nov 20 18:32:45 +0000 2019
newport,,Jeremy-Corbyn,"Well done #JeremyCorbyn. This is good news, that did not come as surprising. You were miles ahead on all issues bro… https://t.co/NRy6Cdqcp6",Wed Nov 20 15:19:34 +0000 2019
newport,,Jeremy-Corbyn,RT @StevenJDenton: The Corbynistas Corbynista is on a Twitter meltdown praising her funder. Bet she’d like to get her hands on Corbyn’s mon…,Tue Nov 19 20:52:01 +0000 2019
newport,,Jeremy-Corbyn,The Corbynistas Corbynista is on a Twitter meltdown praising her funder. Bet she’d like to get her hands on Corbyn’… https://t.co/KaigN3z16h,Tue Nov 19 20:50:32 +0000 2019
newport,,Jeremy-Corbyn,#LeadersDebate. then why is jeremy corbyn on it.....!? ///🙄😊,Tue Nov 19 18:33:27 +0000 2019
newport,,Jeremy-Corbyn,Boris Johnson and Jeremy Corbyn to go head-to-head in TV debate https://t.co/YQFkPoF0QC https://t.co/eSMAmX68JW,Tue Nov 19 12:19:05 +0000 2019
