city,party,leader,tweet,tweet_time
aberdeen,,Boris-Johnson,RT @Stand_Free1980: anyone think @afneil will hold Boris Johnson personally responsible for the daily deaths in england hospitals due to er…,Mon Nov 25 23:56:03 +0000 2019
aberdeen,,Boris-Johnson,RT @Stand_Free1980: anyone think @afneil will hold Boris Johnson personally responsible for the daily deaths in england hospitals due to er…,Mon Nov 25 22:48:38 +0000 2019
aberdeen,,Boris-Johnson,RT @Stand_Free1980: anyone think @afneil will hold Boris Johnson personally responsible for the daily deaths in england hospitals due to er…,Mon Nov 25 22:47:52 +0000 2019
aberdeen,,Boris-Johnson,RT @Stand_Free1980: anyone think @afneil will hold Boris Johnson personally responsible for the daily deaths in england hospitals due to er…,Mon Nov 25 22:39:34 +0000 2019
aberdeen,,Boris-Johnson,RT @Stand_Free1980: anyone think @afneil will hold Boris Johnson personally responsible for the daily deaths in england hospitals due to er…,Mon Nov 25 22:29:02 +0000 2019
aberdeen,,Boris-Johnson,RT @Stand_Free1980: anyone think @afneil will hold Boris Johnson personally responsible for the daily deaths in england hospitals due to er…,Mon Nov 25 22:24:32 +0000 2019
aberdeen,,Boris-Johnson,RT @Stand_Free1980: anyone think @afneil will hold Boris Johnson personally responsible for the daily deaths in england hospitals due to er…,Mon Nov 25 22:13:17 +0000 2019
aberdeen,,Boris-Johnson,RT @Stand_Free1980: anyone think @afneil will hold Boris Johnson personally responsible for the daily deaths in england hospitals due to er…,Mon Nov 25 21:40:35 +0000 2019
aberdeen,,Boris-Johnson,RT @Stand_Free1980: anyone think @afneil will hold Boris Johnson personally responsible for the daily deaths in england hospitals due to er…,Mon Nov 25 21:38:50 +0000 2019
aberdeen,,Boris-Johnson,RT @Stand_Free1980: anyone think @afneil will hold Boris Johnson personally responsible for the daily deaths in england hospitals due to er…,Mon Nov 25 21:23:57 +0000 2019
aberdeen,,Boris-Johnson,RT @Stand_Free1980: anyone think @afneil will hold Boris Johnson personally responsible for the daily deaths in england hospitals due to er…,Mon Nov 25 21:18:24 +0000 2019
aberdeen,,Boris-Johnson,@AllanRankine @RobBurl @afneil You are honestly talking about detail when your leader is Boris Johnson?,Mon Nov 25 21:18:09 +0000 2019
aberdeen,,Boris-Johnson,RT @Stand_Free1980: anyone think @afneil will hold Boris Johnson personally responsible for the daily deaths in england hospitals due to er…,Mon Nov 25 21:17:42 +0000 2019
aberdeen,,Boris-Johnson,RT @Stand_Free1980: anyone think @afneil will hold Boris Johnson personally responsible for the daily deaths in england hospitals due to er…,Mon Nov 25 21:14:17 +0000 2019
aberdeen,,Boris-Johnson,RT @Stand_Free1980: anyone think @afneil will hold Boris Johnson personally responsible for the daily deaths in england hospitals due to er…,Mon Nov 25 21:08:51 +0000 2019
aberdeen,,Boris-Johnson,RT @Stand_Free1980: anyone think @afneil will hold Boris Johnson personally responsible for the daily deaths in england hospitals due to er…,Mon Nov 25 21:08:50 +0000 2019
aberdeen,,Boris-Johnson,RT @Stand_Free1980: anyone think @afneil will hold Boris Johnson personally responsible for the daily deaths in england hospitals due to er…,Mon Nov 25 21:06:49 +0000 2019
aberdeen,,Boris-Johnson,Boris Johnson ‘to curb legal challenges over #Brexit’ in extraordinary attack on the courts | The Independent… https://t.co/lJr3FEEmQf,Mon Nov 25 21:00:08 +0000 2019
aberdeen,,Boris-Johnson,Election: Tory peer Michael Heseltine urges Conservatives to reject Johnson's 'grand delusion' and back Lib Dems |… https://t.co/FloGMGuJdi,Mon Nov 25 20:57:56 +0000 2019
aberdeen,,Boris-Johnson,RT @Stand_Free1980: anyone think @afneil will hold Boris Johnson personally responsible for the daily deaths in england hospitals due to er…,Mon Nov 25 20:57:38 +0000 2019
aberdeen,,Boris-Johnson,RT @Stand_Free1980: anyone think @afneil will hold Boris Johnson personally responsible for the daily deaths in england hospitals due to er…,Mon Nov 25 20:57:25 +0000 2019
