city,party,leader,tweet,tweet_time
swansea,,Boris-Johnson,"RT @carolynharris24: 🗣️ One of the many fearless #1950sWomen: ""But are you going to take any action?"" 

🗣️ Boris Johnson: ""I cannot promise…",Mon Nov 25 23:44:31 +0000 2019
swansea,,Boris-Johnson,Boris Johnson sounds like he was brought up at Eton. He looks like he was eaten and brought up,Mon Nov 25 22:38:25 +0000 2019
swansea,,Boris-Johnson,"Also, just a reminder that if you vote for any party other than Labour, you’ll end up with Boris Johnson as your Pr… https://t.co/NDFooUIwd5",Mon Nov 25 21:32:05 +0000 2019
swansea,,Boris-Johnson,UK Conservative Party launch manifesto vowing to ‘get Brexit done’ but sideline LGBT+ rights near entirely https://t.co/uY5HdZ1ArW,Mon Nov 25 19:49:11 +0000 2019
swansea,,Boris-Johnson,"RT @brexitanic: #conservatives #BorisJohnson #VoteConservative2019 #VoteConservative 
https://t.co/Hlo6LKWDMy
DON'T believe the Tory lies.…",Mon Nov 25 18:50:38 +0000 2019
swansea,,Boris-Johnson,"RT @brexitanic: #conservatives #BorisJohnson #VoteConservative2019 #VoteConservative 
https://t.co/Hlo6LKWDMy
DON'T believe the Tory lies.…",Mon Nov 25 18:45:54 +0000 2019
swansea,,Boris-Johnson,"#conservatives #BorisJohnson #VoteConservative2019 #VoteConservative 
https://t.co/Hlo6LKWDMy
DON'T believe the Tory lies. #brexit #leave",Mon Nov 25 18:22:57 +0000 2019
swansea,,Boris-Johnson,"@WiredUK Including Boris Johnson,  born in USA 
#GTTO 
#VoteLabour2019",Mon Nov 25 16:40:39 +0000 2019
swansea,,Boris-Johnson,Boris Johnson wrongly says Telford A&amp;E will be 'kept open' at manifesto launch https://t.co/RpD4P9UC64,Mon Nov 25 15:53:53 +0000 2019
swansea,,Boris-Johnson,Fact checking the Tory manifesto: Boris Johnson's claims examined https://t.co/mUPGQUvmyC,Mon Nov 25 14:51:28 +0000 2019
swansea,,Boris-Johnson,"Typical of @BorisJohnson, the people want to see &amp; hear you questioned, or are you above that?

Boris Johnson is in… https://t.co/ghk5RCJ0vX",Mon Nov 25 13:54:45 +0000 2019
swansea,,Boris-Johnson,"Boris Johnson is hanging himself out to dry, I hope voters do not vote #Tory. 

Please vote @UKLabour and your guar… https://t.co/511mEGzqZ4",Mon Nov 25 13:45:32 +0000 2019
swansea,,Boris-Johnson,"RT @carolynharris24: 🗣️ One of the many fearless #1950sWomen: ""But are you going to take any action?"" 

🗣️ Boris Johnson: ""I cannot promise…",Mon Nov 25 08:30:39 +0000 2019
swansea,,Boris-Johnson,Are there really people out there ok with this kind of crappy person????  Shame!  🔔 https://t.co/5i4IE30Bvx,Mon Nov 25 08:03:00 +0000 2019
swansea,,Boris-Johnson,"Tory pledge to recruit 50,000 new nurses exposed as 'fake' after manifesto launch https://t.co/QOx0PfZbb1",Mon Nov 25 02:04:31 +0000 2019
swansea,,Boris-Johnson,"RT @carolynharris24: 🗣️ One of the many fearless #1950sWomen: ""But are you going to take any action?"" 

🗣️ Boris Johnson: ""I cannot promise…",Sun Nov 24 23:09:22 +0000 2019
swansea,,Boris-Johnson,"@stiptop1 @klovewell1 @mojos55 @mac123_m Rein in the power of the financial sector, which will muscle its way to th… https://t.co/I5vv8LEjER",Sun Nov 24 22:49:26 +0000 2019
swansea,,Boris-Johnson,Boris Johnson's main election pledge debunked within minutes of his manifesto launch https://t.co/UiyNvckBEA,Sun Nov 24 21:15:12 +0000 2019
swansea,,Boris-Johnson,"RT @carolynharris24: 🗣️ One of the many fearless #1950sWomen: ""But are you going to take any action?"" 

🗣️ Boris Johnson: ""I cannot promise…",Sun Nov 24 20:20:05 +0000 2019
swansea,,Boris-Johnson,Boris Johnson flounders as he fails to defend Tories' fake fact checker at manifesto launch https://t.co/QYhoFIqlI2,Sun Nov 24 18:58:13 +0000 2019
swansea,,Boris-Johnson,Who's backing Boris Johnson? 😈 https://t.co/yERnN2JjWG,Sun Nov 24 17:56:31 +0000 2019
swansea,,Boris-Johnson,"Tory pledge to recruit 50,000 new nurses exposed as 'fake' after manifesto launch https://t.co/uelwL6Ubeg",Sun Nov 24 17:46:22 +0000 2019
swansea,,Boris-Johnson,RT @LeightonLewis4: Boris Johnson's tax cuts set to 'cost billions and benefit the highest earners most' https://t.co/7xSjbTnwUk via @Yahoo…,Sun Nov 24 16:49:14 +0000 2019
swansea,,Boris-Johnson,Boris Johnson's tax cuts set to 'cost billions and benefit the highest earners most' https://t.co/7xSjbTnwUk via @YahooFinanceUK,Sun Nov 24 16:12:49 +0000 2019
swansea,,Boris-Johnson,@KTHopkins @jaelmolew I agree that @MayorofLondon should be seen to be doing more. What religion or belief he follo… https://t.co/W2NIM7tBa1,Sun Nov 24 14:25:30 +0000 2019
swansea,,Boris-Johnson,RT @carolynharris24: Boris Johnson has just made one thing crystal clear: the Conservatives will continue to deny the #1950sWomen the justi…,Sun Nov 24 13:10:01 +0000 2019
swansea,,Boris-Johnson,RT @carolynharris24: Boris Johnson has just made one thing crystal clear: the Conservatives will continue to deny the #1950sWomen the justi…,Sun Nov 24 12:58:01 +0000 2019
swansea,,Boris-Johnson,"RT @carolynharris24: 🗣️ One of the many fearless #1950sWomen: ""But are you going to take any action?"" 

🗣️ Boris Johnson: ""I cannot promise…",Sun Nov 24 11:48:05 +0000 2019
swansea,,Boris-Johnson,Boris Johnson is relatable?? What planet is she living on?? The man used to go round dressed in a suit burning £20… https://t.co/o82MOTRWzf,Sun Nov 24 11:10:44 +0000 2019
swansea,,Boris-Johnson,RT @carolynharris24: Boris Johnson has just made one thing crystal clear: the Conservatives will continue to deny the #1950sWomen the justi…,Sun Nov 24 10:45:25 +0000 2019
swansea,,Boris-Johnson,"RT @carolynharris24: 🗣️ One of the many fearless #1950sWomen: ""But are you going to take any action?"" 

🗣️ Boris Johnson: ""I cannot promise…",Sun Nov 24 10:41:21 +0000 2019
swansea,,Boris-Johnson,RT @carolynharris24: Boris Johnson has just made one thing crystal clear: the Conservatives will continue to deny the #1950sWomen the justi…,Sun Nov 24 10:28:07 +0000 2019
swansea,,Boris-Johnson,@simon_schama Boris Johnson the batmans joker on the run labour attacks 😂😂,Sun Nov 24 10:27:56 +0000 2019
swansea,,Boris-Johnson,"RT @carolynharris24: 🗣️ One of the many fearless #1950sWomen: ""But are you going to take any action?"" 

🗣️ Boris Johnson: ""I cannot promise…",Sun Nov 24 10:26:25 +0000 2019
swansea,,Boris-Johnson,RT @carolynharris24: Boris Johnson has just made one thing crystal clear: the Conservatives will continue to deny the #1950sWomen the justi…,Sun Nov 24 09:34:36 +0000 2019
swansea,,Boris-Johnson,RT @carolynharris24: Boris Johnson has just made one thing crystal clear: the Conservatives will continue to deny the #1950sWomen the justi…,Sun Nov 24 09:00:35 +0000 2019
swansea,,Boris-Johnson,"RT @carolynharris24: 🗣️ One of the many fearless #1950sWomen: ""But are you going to take any action?"" 

🗣️ Boris Johnson: ""I cannot promise…",Sun Nov 24 08:58:47 +0000 2019
swansea,,Boris-Johnson,RT @carolynharris24: Boris Johnson has just made one thing crystal clear: the Conservatives will continue to deny the #1950sWomen the justi…,Sun Nov 24 08:29:40 +0000 2019
swansea,,Boris-Johnson,RT @carolynharris24: Boris Johnson has just made one thing crystal clear: the Conservatives will continue to deny the #1950sWomen the justi…,Sun Nov 24 07:21:23 +0000 2019
