city,party,leader,tweet,tweet_time
london,Brexit-Party,,@AngelaHaggerty Brexit Party: Burn it all down/[Candidate Withdrawn],Wed Nov 27 14:59:56 +0000 2019
london,Brexit-Party,,RT @Edthejazzman: Great to have the support of @Jacob_Rees_Mogg who’s fought hard for Brexit for many years. Only @BorisJohnson &amp; I can get…,Wed Nov 27 14:59:18 +0000 2019
london,Brexit-Party,,If you are a Brexiteer you need to vote BREXIT PARTY  the Tories could possibly accept open borders and fishing gro… https://t.co/F6egx5UFnv,Wed Nov 27 14:58:20 +0000 2019
london,Brexit-Party,,"RT @BBCNewsPR: As part of our series of leaders' interviews, we have dates for two more next week. Andrew Neil will interview Liberal Democ…",Wed Nov 27 14:58:03 +0000 2019
london,Brexit-Party,,"RT @BBCNewsPR: As part of our series of leaders' interviews, we have dates for two more next week. Andrew Neil will interview Liberal Democ…",Wed Nov 27 14:57:36 +0000 2019
london,Brexit-Party,,RT @Otto_English: Chloe Westley deleted this tweet around the time she was appointed Boris Johnson's digital adviser. Anne Marie Waters is…,Wed Nov 27 14:57:27 +0000 2019
london,Brexit-Party,,RT @Edthejazzman: Great to have the support of @Jacob_Rees_Mogg who’s fought hard for Brexit for many years. Only @BorisJohnson &amp; I can get…,Wed Nov 27 14:57:10 +0000 2019
london,Brexit-Party,,"RT @StevePeers: Brexit party MEP: why listen to you, what do you know about economics 

@MollyMEP: actually I am an economics professor htt…",Wed Nov 27 14:56:30 +0000 2019
london,Brexit-Party,,RT @Edthejazzman: Great to have the support of @Jacob_Rees_Mogg who’s fought hard for Brexit for many years. Only @BorisJohnson &amp; I can get…,Wed Nov 27 14:56:10 +0000 2019
london,Brexit-Party,,@DeborahMeaden @LibDems Do they have the best shot in your constituency? Do you recommend voting for them regardles… https://t.co/1geygNsfuX,Wed Nov 27 14:55:43 +0000 2019
london,Brexit-Party,,"RT @BBCNewsPR: As part of our series of leaders' interviews, we have dates for two more next week. Andrew Neil will interview Liberal Democ…",Wed Nov 27 14:55:22 +0000 2019
london,Brexit-Party,,"RT @BBCNewsPR: As part of our series of leaders' interviews, we have dates for two more next week. Andrew Neil will interview Liberal Democ…",Wed Nov 27 14:55:13 +0000 2019
london,Brexit-Party,,RT @SkyNewsBreak: Labour leader Jeremy Corbyn says he has 451 pages of unredacted documents that confirm the NHS will be on the table in po…,Wed Nov 27 14:54:28 +0000 2019
london,Brexit-Party,,"RT @HelenTBracken: 🚨You’ve been found out #LiarJohnson ‼️

👉We DO NOT WANT your Brextremist ERG government‼️

👉We DO NOT WANT Brexit, which…",Wed Nov 27 14:54:15 +0000 2019
london,Brexit-Party,,"RT @BBCNewsPR: As part of our series of leaders' interviews, we have dates for two more next week. Andrew Neil will interview Liberal Democ…",Wed Nov 27 14:54:14 +0000 2019
london,Brexit-Party,,RT @nickreeves9876: The Tory party has not 'failed' on Islamophobia. Islamophobia forms a key part of the real 'Project Fear' that won the…,Wed Nov 27 14:53:54 +0000 2019
london,Brexit-Party,,RT @Edthejazzman: Great to have the support of @Jacob_Rees_Mogg who’s fought hard for Brexit for many years. Only @BorisJohnson &amp; I can get…,Wed Nov 27 14:53:37 +0000 2019
london,Brexit-Party,,RT @CliveWismayer: I don’t give a fuck about anti-semitism in the Labour party. The election is about kicking out the Tories &amp; stopping Bre…,Wed Nov 27 14:53:20 +0000 2019
london,Brexit-Party,,RT @CliveWismayer: I don’t give a fuck about anti-semitism in the Labour party. The election is about kicking out the Tories &amp; stopping Bre…,Wed Nov 27 14:53:14 +0000 2019
london,Brexit-Party,,"RT @GoodwinMJ: New.

-11 pt lead for Cons 

Conservatives 43% (+1)
Labour 32% (+2)
LibDem 13% (-3)
#Brexit Party 4% (+1)
Green 2% (-2)

You…",Wed Nov 27 14:53:13 +0000 2019
london,Brexit-Party,,"RT @BBCNewsPR: As part of our series of leaders' interviews, we have dates for two more next week. Andrew Neil will interview Liberal Democ…",Wed Nov 27 14:52:33 +0000 2019
london,Brexit-Party,,RT @OperaCreep: Imagine being the xenophobes that elected that Brexit Party moron to the European Parliament watching this and yet not bein…,Wed Nov 27 14:52:28 +0000 2019
london,Brexit-Party,,RT @CliveWismayer: I don’t give a fuck about anti-semitism in the Labour party. The election is about kicking out the Tories &amp; stopping Bre…,Wed Nov 27 14:52:01 +0000 2019
london,Brexit-Party,,RT @Edthejazzman: Great to have the support of @Jacob_Rees_Mogg who’s fought hard for Brexit for many years. Only @BorisJohnson &amp; I can get…,Wed Nov 27 14:51:28 +0000 2019
london,Brexit-Party,,@HannaPrytherch The Labour Party of the 70’s and 80’s started the Brexit discussion and was part of their manifesto… https://t.co/9rV0dtCS0Z,Wed Nov 27 14:51:13 +0000 2019
london,Brexit-Party,,RT @Otto_English: Brexit Party abstained on vote calling for international action against child abuse - Dan Hannan voted against. Rule Brif…,Wed Nov 27 14:50:48 +0000 2019
london,Brexit-Party,,"RT @MFoxEastHam: Just last night was on Revive FM warning of the risks that Brexit poses to the NHS - including drug prices going up. 

The…",Wed Nov 27 14:50:48 +0000 2019
london,Brexit-Party,,"RT @City_Livery_SM: Now this is VERY funny...

See what happens when Robert Rowland
(a rather dim #Brexit Party MEP)
challenges Molly Scott…",Wed Nov 27 14:49:58 +0000 2019
london,Brexit-Party,,"RT @City_Livery_SM: Now this is VERY funny...

See what happens when Robert Rowland
(a rather dim #Brexit Party MEP)
challenges Molly Scott…",Wed Nov 27 14:49:50 +0000 2019
london,Brexit-Party,,"RT @BBCNewsPR: As part of our series of leaders' interviews, we have dates for two more next week. Andrew Neil will interview Liberal Democ…",Wed Nov 27 14:49:32 +0000 2019
london,Brexit-Party,,RT @VMaledew: You know i wonder if these party leaders realise the hatred their inflicting on their party's when they make their speeches u…,Wed Nov 27 14:49:30 +0000 2019
london,Brexit-Party,,RT @Otto_English: Brexit Party abstained on vote calling for international action against child abuse - Dan Hannan voted against. Rule Brif…,Wed Nov 27 14:48:07 +0000 2019
london,Brexit-Party,,"RT @BBCNewsPR: As part of our series of leaders' interviews, we have dates for two more next week. Andrew Neil will interview Liberal Democ…",Wed Nov 27 14:47:42 +0000 2019
