city,party,leader,tweet,tweet_time
belfast,Brexit-Party,,RT @markdevenport: . @DUPleader says a vote for her party is a vote for leaving the EU as one UK - but can @duponline  change the Johnson B…,Thu Nov 28 13:09:02 +0000 2019
belfast,Brexit-Party,,RT @markdevenport: . @DUPleader says a vote for her party is a vote for leaving the EU as one UK - but can @duponline  change the Johnson B…,Thu Nov 28 13:01:37 +0000 2019
belfast,Brexit-Party,,@Nigel_Farage Good brexit party slogan. Thinking out of the box 👍👏👏👏👏👏,Thu Nov 28 12:30:54 +0000 2019
belfast,Brexit-Party,,RT @markdevenport: . @DUPleader says a vote for her party is a vote for leaving the EU as one UK - but can @duponline  change the Johnson B…,Thu Nov 28 12:09:43 +0000 2019
belfast,Brexit-Party,,RT @markdevenport: . @DUPleader says a vote for her party is a vote for leaving the EU as one UK - but can @duponline  change the Johnson B…,Thu Nov 28 12:05:41 +0000 2019
belfast,Brexit-Party,,"@Nath__007 @Beany_1 No, you should vote for the result you want not the person.
If you want to stop brexit, eject a… https://t.co/Wwtrb4OJzY",Thu Nov 28 11:44:35 +0000 2019
belfast,Brexit-Party,,@naomi_long @BartLad69 The only interference in brexit was party's like your to totally stop the democratic vote shocking 👍🇬🇧,Thu Nov 28 11:40:02 +0000 2019
belfast,Brexit-Party,,RT @markdevenport: . @DUPleader says a vote for her party is a vote for leaving the EU as one UK - but can @duponline  change the Johnson B…,Thu Nov 28 11:33:58 +0000 2019
belfast,Brexit-Party,,@ToryMemo @ExCllrWarren @charlywoodsy You’ve got a real shot. Just carry on squeezing that Brexit Party vote.,Thu Nov 28 11:24:46 +0000 2019
belfast,Brexit-Party,,RT @markdevenport: . @DUPleader says a vote for her party is a vote for leaving the EU as one UK - but can @duponline  change the Johnson B…,Thu Nov 28 11:15:33 +0000 2019
belfast,Brexit-Party,,RT @markdevenport: . @DUPleader says a vote for her party is a vote for leaving the EU as one UK - but can @duponline  change the Johnson B…,Thu Nov 28 11:14:57 +0000 2019
belfast,Brexit-Party,,. @DUPleader says a vote for her party is a vote for leaving the EU as one UK - but can @duponline  change the John… https://t.co/03ANo8I5fI,Thu Nov 28 11:10:34 +0000 2019
belfast,Brexit-Party,,RT @robinwilson250: The UK is going down the path of Brexit-induced self-harm because the Tory party has been transformed--Thatcher having…,Thu Nov 28 09:40:14 +0000 2019
belfast,Brexit-Party,,"@tony49 @BBCRadioManc @brexitparty_uk Do they share the pro-IRA views of Brexit Party MEP Claire Fox, and continue… https://t.co/Qz1Z5YJpv9",Thu Nov 28 09:17:58 +0000 2019
belfast,Brexit-Party,,RT @TOMunro: @grahambsi @lancewalton @LibDems @TheGreenParty @Plaid_Cymru @UKLabour Rising Tory prospects coincide with Brexit party pact/v…,Thu Nov 28 09:02:15 +0000 2019
belfast,Brexit-Party,,RT @TOMunro: @grahambsi @lancewalton @LibDems @TheGreenParty @Plaid_Cymru @UKLabour Rising Tory prospects coincide with Brexit party pact/v…,Thu Nov 28 09:00:15 +0000 2019
belfast,Brexit-Party,,"RT @chek16chek: @Panda_Chronicle @HelenTBracken Blindly voting Lib Dem does't automatically get that result.

If a Labour MP can replace a…",Thu Nov 28 08:38:39 +0000 2019
belfast,Brexit-Party,,"RT @chek16chek: @Panda_Chronicle @HelenTBracken Blindly voting Lib Dem does't automatically get that result.

If a Labour MP can replace a…",Thu Nov 28 08:35:33 +0000 2019
belfast,Brexit-Party,,"RT @chek16chek: @Panda_Chronicle @HelenTBracken Blindly voting Lib Dem does't automatically get that result.

If a Labour MP can replace a…",Thu Nov 28 08:35:12 +0000 2019
belfast,Brexit-Party,,@grahambsi @lancewalton @LibDems @TheGreenParty @Plaid_Cymru @UKLabour Rising Tory prospects coincide with Brexit p… https://t.co/2kA7904H21,Thu Nov 28 08:06:01 +0000 2019
belfast,Brexit-Party,,"@Panda_Chronicle @HelenTBracken Blindly voting Lib Dem does't automatically get that result.

If a Labour MP can re… https://t.co/ax4r0omrnw",Thu Nov 28 01:18:34 +0000 2019
belfast,Brexit-Party,,@CromwellStuff @LusbyNigel @Ickleflutterby @jailed_o If brexit party lived up to their  word that would be brillian… https://t.co/SzSoo8WQX3,Thu Nov 28 00:24:27 +0000 2019
belfast,Brexit-Party,,@keepcalm_change But the Brexit Party will prop up the Tories. Would be pretty stupid.,Wed Nov 27 23:06:30 +0000 2019
belfast,Brexit-Party,,@DarrenLoucaides @PeterKGeoghegan This tactic predates the Brexit party so it's likely that the learning was the other way around.,Wed Nov 27 19:44:15 +0000 2019
belfast,Brexit-Party,,"RT @nornirishfella: @SJAMcBride @DavidYoungPA All well &amp; good, but yet again the DUP is over-valuing themselves. No party in their right mi…",Wed Nov 27 19:16:46 +0000 2019
belfast,Brexit-Party,,Conservatives 'only party to push Brexit forward' https://t.co/SFhXEC5XGR,Wed Nov 27 19:04:38 +0000 2019
belfast,Brexit-Party,,RT @SJAMcBride: The position UUP leader Steve Aiken outlines in this interview with @patrickkmaguire seems to be that he would support simp…,Wed Nov 27 18:53:49 +0000 2019
belfast,Brexit-Party,,RT @MichaelAodhan: This is the moment @RowlandBrexitSE a Brexit Party MEP tries to put @MollyMEP  a Green MEP down.... Only to get his arse…,Wed Nov 27 18:25:12 +0000 2019
belfast,Brexit-Party,,"So there is, in fact, one political party in Northern Ireland which likes Johnston's catastrophic brexit deal ... w… https://t.co/ppGjcLlNC6",Wed Nov 27 17:00:18 +0000 2019
belfast,Brexit-Party,,"Boris Johnson on track to win a majority with 366 MPs after Brexit Party stood aside in Tory seats, poll reveals https://t.co/EpybiHq7HE",Wed Nov 27 16:36:46 +0000 2019
belfast,Brexit-Party,,"@Conservatives @JamesCleverly @JulianSmithUK, why are you pushing Brexit in Northern Ireland? We voted remain. We d… https://t.co/aazWV6o9Ce",Wed Nov 27 16:10:35 +0000 2019
