city,party,leader,tweet,tweet_time
derry,,Jeremy-Corbyn,Jesus I'd love to see Jeremy Corbyn as next PM not only for his policies but just to see the fumeeee from the likes… https://t.co/Qkz7PavHEr,Fri Nov 29 13:19:52 +0000 2019
derry,,Jeremy-Corbyn,"@jamescoe07 @AntigoneMarkTwo @bbcquestiontime This is NOT I repeat NOT Jeremy Corbyn at the funeral of a Volunteer,… https://t.co/ZBrhilm6HU",Fri Nov 29 13:03:06 +0000 2019
derry,,Jeremy-Corbyn,"WWJCD? 
What Would Jeremy Corbyn Do?",Thu Nov 28 23:03:08 +0000 2019
derry,,Jeremy-Corbyn,@RTUKnews @afneil Not at all . An apology given means you did something wrong . Jeremy Corbyn is the victim of a sm… https://t.co/xuWU9lRy4x,Wed Nov 27 18:20:38 +0000 2019
derry,,Jeremy-Corbyn,"@FranS199 Instead of this Anti Semitism Smear campaign against the labour party &amp; Jeremy Corbyn. let,s stamp out Th… https://t.co/cLGoxcBa9A",Tue Nov 26 22:52:41 +0000 2019
derry,,Jeremy-Corbyn,This is the man criticising Jeremy Corbyn. Israel has the right to exist and defend itself but not kill thousands o… https://t.co/1Nz9dZUVKs,Tue Nov 26 12:34:53 +0000 2019
derry,,Jeremy-Corbyn,@PetronellaWyatt This really has absolutely no bearing on Jeremy Corbyn’s record as a politician. Does it matter ho… https://t.co/GGeglcGApn,Mon Nov 25 18:25:32 +0000 2019
derry,,Jeremy-Corbyn,"British broadband now Waspi Womens recompense,things looking brighter despite the best efforts of MSM &amp; Tabloid Pre… https://t.co/TJARbgtMCf",Sun Nov 24 16:35:43 +0000 2019
derry,,Jeremy-Corbyn,"Worthy RT,Swinson &amp; Johnson are being Led when they should be leading like Jeremy Corbyn https://t.co/wk7xR4oDYj",Sat Nov 23 19:28:03 +0000 2019
derry,,Jeremy-Corbyn,"@Hepworthclare Pragmatism from Jeremy Corbyn, unlike Swinson &amp; Johnson who are devoid of Leadership quality,s simply pandering to their base",Sat Nov 23 19:10:35 +0000 2019
derry,,Jeremy-Corbyn,“Oooh Jeremy Corbyn” 🥀🥀🥀 https://t.co/8Tzt8fodnQ https://t.co/edOXIbq8sS,Sat Nov 23 18:29:22 +0000 2019
derry,,Jeremy-Corbyn,"@TraceWoolf @cleggy261 @jeremycorbyn @UKLabour Yet to see from the MSM &amp; Tabloids examples of Jeremy Corbyn,s Anti… https://t.co/Sab1664Bu4",Sat Nov 23 10:07:54 +0000 2019
derry,,Jeremy-Corbyn,@MattHancock You seem to have forgotten your brain on Sophie ridge she asks is no deal definitely off the table you… https://t.co/MDRKm8RjWf,Sat Nov 23 09:18:59 +0000 2019
derry,,Jeremy-Corbyn,@draintheswampp @drongo123uk @marg1888 @StanCollymore Yes your naive . Jeremy Corbyn did not collude  with them the way the Tories have .,Fri Nov 22 17:32:59 +0000 2019
derry,,Jeremy-Corbyn,"RT @billingtoni: @SocialistVoice Never a word from this Lady about the Vile  Racist/Apartheid/Genocide policys of the Israeli regime,could…",Fri Nov 22 16:29:47 +0000 2019
derry,,Jeremy-Corbyn,@Antonineone1 Will they have an Empty lectern for him ? or chair? thats what he deserves unable to face Public scru… https://t.co/5oomMENbe7,Fri Nov 22 11:42:14 +0000 2019
derry,,Jeremy-Corbyn,"RT @billingtoni: @SocialistVoice Never a word from this Lady about the Vile  Racist/Apartheid/Genocide policys of the Israeli regime,could…",Fri Nov 22 10:45:03 +0000 2019
derry,,Jeremy-Corbyn,@SocialistVoice Never a word from this Lady about the Vile  Racist/Apartheid/Genocide policys of the Israeli regime… https://t.co/MZMBQMzT1X,Fri Nov 22 10:29:31 +0000 2019
derry,,Jeremy-Corbyn,"@duponline He did, in 1994.
Nice try by the pathetic DUP. 
https://t.co/Bf3TPAepeM",Fri Nov 22 09:14:09 +0000 2019
derry,,Jeremy-Corbyn,@RachelRileyRR You are supposed to be an intelligent person. Yet in your ignorance you removed the part where Jerem… https://t.co/7ta4Z2xYBA,Thu Nov 21 21:45:33 +0000 2019
derry,,Jeremy-Corbyn,why rachel Riley fully photoshopping an image of Jeremy Corbyn with an anti racist sign out and putting in “Jeremy Corbyn is racist”,Thu Nov 21 18:08:05 +0000 2019
derry,,Jeremy-Corbyn,"@Indranil1019 @yonatanb @dionysia_ex @IanDunt Relax, Right Wingers voting for Jeremy Corbyn. 

Might be the Stuff o… https://t.co/aclp3Xk3e5",Wed Nov 20 22:03:49 +0000 2019
derry,,Jeremy-Corbyn,@britainelects @SavantaComRes “Oooh Jeremy Corbyn” #AbsoluteBoy,Wed Nov 20 21:47:03 +0000 2019
derry,,Jeremy-Corbyn,"@Hepworthclare Johnston accused Jeremy Corbyn of failing to answer  Brexit question 9 times,at least they are givin… https://t.co/zuVwJPZ2qB",Wed Nov 20 19:42:45 +0000 2019
derry,Labour-Party,,@SocialM85897394 I never seen a party and support with so much hate as labour.,Thu Nov 28 15:19:16 +0000 2019
derry,Labour-Party,,British Labour Party puts ban on selling arms to Israel on election platform 👏 https://t.co/3YtFyUI55c #ToriesOut #JC4PM,Thu Nov 28 13:55:20 +0000 2019
derry,Labour-Party,,RT @StuartC93: Shameful. The current crop of Labour candidates have really dragged the party into the gutter with their disinformation camp…,Thu Nov 28 13:52:00 +0000 2019
derry,Labour-Party,,RT @StuartC93: Shameful. The current crop of Labour candidates have really dragged the party into the gutter with their disinformation camp…,Thu Nov 28 13:32:17 +0000 2019
derry,Labour-Party,,RT @StuartC93: Shameful. The current crop of Labour candidates have really dragged the party into the gutter with their disinformation camp…,Thu Nov 28 13:31:27 +0000 2019
derry,Labour-Party,,Shameful. The current crop of Labour candidates have really dragged the party into the gutter with their disinforma… https://t.co/P8BJGYFFiY,Thu Nov 28 13:30:22 +0000 2019
derry,Labour-Party,,@oaashy @GaryHynds @tomhfh @JamesCleverly @AndyEMorrison Shameful. The current crop of Labour candidates have reall… https://t.co/s61hJiYCq8,Thu Nov 28 13:25:08 +0000 2019
derry,Labour-Party,,"@prethero @LivEchoLFC Yep and what, how anyone votes for this labour party with a terrorists supporting scumbag as its leader.",Thu Nov 28 11:52:15 +0000 2019
derry,Labour-Party,,@ajfuzz1 @l_attfield @jfuzz1 spoken like a true racist. @l_attfield is trying to help Labour out of its current mes… https://t.co/RqGpXnvN4D,Thu Nov 28 02:43:30 +0000 2019
derry,Labour-Party,,@JamesMelville How any Labour party is so far behind this looney neo nazi gov is remarkable and shows how big a liability Corbyn is,Wed Nov 27 23:28:24 +0000 2019
derry,Labour-Party,,The Labour party deserves to form the next UK government https://t.co/SaQKL8Jfc7,Wed Nov 27 13:56:57 +0000 2019
derry,Labour-Party,,@James0000987 @Apologist21 @LeaveEUOfficial Shameful trying to defend this labour party and its antisemitic marxist… https://t.co/ElrrgmVcaf,Wed Nov 27 11:34:51 +0000 2019
derry,Labour-Party,,RT @Richard92873571: @LeaveEUOfficial He's not sorry for being antisemitic or supporting hamas the IRA etc. The people that vote for this l…,Wed Nov 27 09:08:26 +0000 2019
derry,Labour-Party,,@LeaveEUOfficial He's not sorry for being antisemitic or supporting hamas the IRA etc. The people that vote for thi… https://t.co/UB31R4EYZH,Wed Nov 27 09:01:53 +0000 2019
derry,Labour-Party,,"@FranS199 Instead of this Anti Semitism Smear campaign against the labour party &amp; Jeremy Corbyn. let,s stamp out Th… https://t.co/cLGoxcBa9A",Tue Nov 26 22:52:41 +0000 2019
derry,Labour-Party,,#bbcpolitics whats the point in having Corbyn on BBCpolitics if you want let him speak fully to answer his question… https://t.co/JHBLwu4GEf,Tue Nov 26 19:12:07 +0000 2019
derry,Labour-Party,,RT @arthereanynames: More Jews support labour  the chief rabbi only speaks for 1 quarter if Jews if that as for Julia beuberger well dies s…,Tue Nov 26 14:44:16 +0000 2019
derry,Labour-Party,,@txtpf @iggigg @Awarddas1349 @RTSquires @Peymasad @GnasherJew Reference to ‘as someone who calls out antisemitism in the Labour party’,Tue Nov 26 13:57:09 +0000 2019
derry,Labour-Party,,More Jews support labour  the chief rabbi only speaks for 1 quarter if Jews if that as for Julia beuberger well die… https://t.co/EOiM3VGYpM,Tue Nov 26 13:35:44 +0000 2019
derry,Labour-Party,,"RT @KearneyDominic: Tory MP candidate caught getting friend to pose as anti-Labour voter, as party's disinformation c... https://t.co/GR3NZ…",Tue Nov 26 08:00:31 +0000 2019
derry,Labour-Party,,"RT @KearneyDominic: Tory MP candidate caught getting friend to pose as anti-Labour voter, as party's disinformation c... https://t.co/GR3NZ…",Tue Nov 26 07:44:32 +0000 2019
derry,Labour-Party,,Good morning. Coming up after 7 - we're talking #Ge2019 with @Laura_K_Hughes as the Chief Rabbi strongly criticises… https://t.co/6E6A11nIrI,Tue Nov 26 06:57:06 +0000 2019
