city,party,leader,tweet,tweet_time
derry,,Boris-Johnson,RT @billingtoni: 7 times Boris Johnson didn't tell the whole truth in today's BBC interviews https://t.co/01uTAFSEB4,Sat Nov 16 18:01:42 +0000 2019
derry,,Boris-Johnson,7 times Boris Johnson didn't tell the whole truth in today's BBC interviews https://t.co/01uTAFSEB4,Sat Nov 16 17:57:18 +0000 2019
derry,,Boris-Johnson,"UK to get control of 60% of UK FISHERIES with Brexit.
But who gets the 40%?..... WHY? 

https://t.co/TizTsNfBsZ",Sat Nov 16 16:43:45 +0000 2019
derry,,Boris-Johnson,The door squeaks and Holmes thinks nationalists are behind it. Truth is Boris Johnson and the English Tories will p… https://t.co/JoJAMfdSIH,Sat Nov 16 11:13:24 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Thu Nov 14 10:16:14 +0000 2019
derry,,Boris-Johnson,RT @renee_harley_: Imma just lie to my grandkids and be like this is Boris Johnson this is when I locked him up https://t.co/hPvJZdBrEf,Tue Nov 12 21:21:58 +0000 2019
derry,,Boris-Johnson,Imma just lie to my grandkids and be like this is Boris Johnson this is when I locked him up https://t.co/hPvJZdBrEf,Tue Nov 12 21:20:18 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Tue Nov 12 07:04:15 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Tue Nov 12 00:21:03 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Tue Nov 12 00:12:27 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Tue Nov 12 00:04:06 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Tue Nov 12 00:01:58 +0000 2019
derry,,Boris-Johnson,"I don't get it. So, Boris Johnson wants to amend lengthy court cases made against British military personnel...FUCK… https://t.co/irr3xZhVhc",Mon Nov 11 22:57:36 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 21:27:36 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 20:33:17 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 19:57:52 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 19:23:43 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 18:28:45 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 18:12:47 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 14:36:18 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 13:41:58 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 13:30:10 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 13:24:55 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 13:24:43 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 13:22:33 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 13:14:14 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 12:15:10 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 12:11:28 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 11:53:20 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 11:47:39 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 11:44:09 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 11:33:38 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 11:29:26 +0000 2019
derry,,Boris-Johnson,RT @KateNash64: https://t.co/rj7ZzQVOcJ  This is effectively a license to kill. A 'get out of jail card' or a blanket amnesty for killers i…,Mon Nov 11 11:25:18 +0000 2019
