city,party,leader,tweet,tweet_time
glasgow,,Jeremy-Corbyn,@mikecoulson48 @Simon360cyclin1 @Tom3608 @HHMU_Banksia @RandolphTrent @WoodwarddianneJ @2018Tsalagi @lynnpotter11… https://t.co/f2axmn0CfN,Sun Nov 17 00:18:37 +0000 2019
glasgow,,Jeremy-Corbyn,@Tom3608 @Nigel_Farage Now why would we vote for a bunch of Big Girls Blouses 🎼🎼🎤OH JEREMY CORBYN 🎼🎼🎤🎼,Sat Nov 16 23:36:06 +0000 2019
glasgow,,Jeremy-Corbyn,@Simon360cyclin1 @Smileygirl19681 The only SCUM I see is yourself your the lowest form of life 🎼🎼🎤🎤OH JEREMY CORBYN 🎼🎼🎤🎼🎤,Sat Nov 16 23:32:17 +0000 2019
glasgow,,Jeremy-Corbyn,"For nine extraordinary minutes, Boris Johnson stood next to his bus and lied and lied without stopping | Tom Peck https://t.co/Jj6oybgnKS",Sat Nov 16 22:35:08 +0000 2019
glasgow,,Jeremy-Corbyn,RT @DaftLimmy: I'll tell you what Jeremy Corbyn needs to do to win this. He needs to have a drink. He needs to always have two pints in him…,Sat Nov 16 22:22:58 +0000 2019
glasgow,,Jeremy-Corbyn,Vote Jeremy Corbyn and free Jim Broadbent https://t.co/9d7squWNQt,Sat Nov 16 22:20:16 +0000 2019
glasgow,,Jeremy-Corbyn,RT @NicolaSturgeon: To be clear - @theSNP remains willing to work across party lines and explore all options to stop a no deal Brexit. Jere…,Sat Nov 16 22:15:29 +0000 2019
glasgow,,Jeremy-Corbyn,RT @kmckenna63: It defies belief that any authentic Labour person could ever favour Boris Johnson over Jeremy Corbyn: my column in The Hera…,Sat Nov 16 21:20:55 +0000 2019
glasgow,,Jeremy-Corbyn,"@jeremycorbyn Says the Anti British ,IRA sympathiser, Jeremy Corbyn who is friends with Terrorists who blew up Brit… https://t.co/5rzFXTmqwm",Sat Nov 16 20:29:37 +0000 2019
glasgow,,Jeremy-Corbyn,RT @kmckenna63: It defies belief that any authentic Labour person could ever favour Boris Johnson over Jeremy Corbyn: my column in The Hera…,Sat Nov 16 20:23:58 +0000 2019
glasgow,,Jeremy-Corbyn,@ToryFibs Aye a revolution is coming 🏴󠁧󠁢󠁳󠁣󠁴󠁿👍🏻🏴󠁧󠁢󠁳󠁣󠁴󠁿 Jeremy Corbyn recognises the rights of palestine not Scotland 🤡🤡🤡🤡🤡,Sat Nov 16 20:11:58 +0000 2019
glasgow,,Jeremy-Corbyn,@BoycottsBat But only because they had  already “turned” Jeremy Corbyn,Sat Nov 16 20:10:31 +0000 2019
glasgow,,Jeremy-Corbyn,"An oven ready alligator about to block everything

https://t.co/H2XViLHoCP",Sat Nov 16 19:43:57 +0000 2019
glasgow,,Jeremy-Corbyn,RT @kmckenna63: It defies belief that any authentic Labour person could ever favour Boris Johnson over Jeremy Corbyn: my column in The Hera…,Sat Nov 16 19:30:54 +0000 2019
glasgow,,Jeremy-Corbyn,Its puzzling why Scottish Labour and the SNP spend time attacking eachother. They could do very well together in an… https://t.co/jubSf15NXe,Sat Nov 16 19:19:08 +0000 2019
glasgow,,Jeremy-Corbyn,"Emerging from six hours of talks with senior Labour Party figures, union leaders and others, Mr Corbyn said he ""cou… https://t.co/CcXK8C0lNF",Sat Nov 16 19:01:58 +0000 2019
glasgow,,Jeremy-Corbyn,"RT @DerekMeers: Exclusive: New letter supporting Jeremy Corbyn signed by Roger Waters, Robert Del Naja and more https://t.co/S1CiWDh1P3",Sat Nov 16 19:01:17 +0000 2019
glasgow,,Jeremy-Corbyn,"Exclusive: New letter supporting Jeremy Corbyn signed by Roger Waters, Robert Del Naja and more https://t.co/S1CiWDh1P3",Sat Nov 16 19:00:51 +0000 2019
glasgow,,Jeremy-Corbyn,@Usual_5uspect Aye. Some folk went as far as saying people would be forced to sell their garden. It was mental. Unl… https://t.co/utOmxZTPGd,Sat Nov 16 18:52:54 +0000 2019
glasgow,,Jeremy-Corbyn,"RT @Jagsfan1876otig: For nine extraordinary minutes, Boris Johnson stood next to his bus and lied and lied without stopping | Tom Peck http…",Sat Nov 16 17:26:52 +0000 2019
glasgow,,Jeremy-Corbyn,Seen this the other day. A never imagined that Jeremy Corbyn would steal patter https://t.co/JE0cIONReL,Sat Nov 16 17:25:31 +0000 2019
glasgow,,Jeremy-Corbyn,RT @kmckenna63: It defies belief that any authentic Labour person could ever favour Boris Johnson over Jeremy Corbyn: my column in The Hera…,Sat Nov 16 16:30:51 +0000 2019
glasgow,,Jeremy-Corbyn,"@iainmartin1 "" OH JEREMY CORBYN""",Sat Nov 16 16:12:38 +0000 2019
glasgow,,Jeremy-Corbyn,RT @DaftLimmy: I'll tell you what Jeremy Corbyn needs to do to win this. He needs to have a drink. He needs to always have two pints in him…,Sat Nov 16 16:10:57 +0000 2019
glasgow,,Jeremy-Corbyn,RT @kmckenna63: It defies belief that any authentic Labour person could ever favour Boris Johnson over Jeremy Corbyn: my column in The Hera…,Sat Nov 16 15:38:08 +0000 2019
glasgow,,Jeremy-Corbyn,"RT @Jagsfan1876otig: For nine extraordinary minutes, Boris Johnson stood next to his bus and lied and lied without stopping | Tom Peck http…",Sat Nov 16 14:30:22 +0000 2019
glasgow,,Jeremy-Corbyn,"RT @Jagsfan1876otig: For nine extraordinary minutes, Boris Johnson stood next to his bus and lied and lied without stopping | Tom Peck http…",Sat Nov 16 14:00:01 +0000 2019
glasgow,,Jeremy-Corbyn,"Len McCluskey, the boss of Unite and one of Jeremy Corbyn's biggest fans, seems to have become a recruiting sergean… https://t.co/CqzWwPgqO8",Sat Nov 16 13:59:59 +0000 2019
glasgow,,Jeremy-Corbyn,"RT @Jagsfan1876otig: For nine extraordinary minutes, Boris Johnson stood next to his bus and lied and lied without stopping | Tom Peck http…",Sat Nov 16 13:46:36 +0000 2019
