city,party,leader,tweet,tweet_time
lisburn,,Boris-Johnson,@cowmage It's Boris Johnson. He doesn't have to be drunk to look like an idiot. The smartest thing he ever did was… https://t.co/4MzNk9NUMZ,Mon Nov 11 20:15:23 +0000 2019
lisburn,,Boris-Johnson,"Fucked if we don't, fucked if we do... https://t.co/FUaiayWqe3",Mon Nov 11 18:29:39 +0000 2019
lisburn,,Jeremy-Corbyn,RT @GanglSepp: Jeremy Corbyn has such a positive attitude for someone working his month's notice...,Sat Nov 16 20:42:26 +0000 2019
lisburn,,Jeremy-Corbyn,Jeremy Corbyn has such a positive attitude for someone working his month's notice...,Sat Nov 16 20:14:39 +0000 2019
lisburn,,Jeremy-Corbyn,RT @BrianDavidHigg1: Survivor of Enniskillen Remembrance Day bombing labels Jeremy Corbyn 'sympathiser for terrorism' https://t.co/iMsxQBNI…,Mon Nov 11 12:16:27 +0000 2019
lisburn,,Jeremy-Corbyn,RT @BrianDavidHigg1: Survivor of Enniskillen Remembrance Day bombing labels Jeremy Corbyn 'sympathiser for terrorism' https://t.co/iMsxQBNI…,Mon Nov 11 11:38:24 +0000 2019
lisburn,,Jeremy-Corbyn,RT @BrianDavidHigg1: Survivor of Enniskillen Remembrance Day bombing labels Jeremy Corbyn 'sympathiser for terrorism' https://t.co/iMsxQBNI…,Mon Nov 11 09:05:12 +0000 2019
lisburn,,Jeremy-Corbyn,RT @BrianDavidHigg1: Survivor of Enniskillen Remembrance Day bombing labels Jeremy Corbyn 'sympathiser for terrorism' https://t.co/iMsxQBNI…,Mon Nov 11 07:11:32 +0000 2019
lisburn,,Jeremy-Corbyn,RT @BrianDavidHigg1: Survivor of Enniskillen Remembrance Day bombing labels Jeremy Corbyn 'sympathiser for terrorism' https://t.co/iMsxQBNI…,Mon Nov 11 06:00:18 +0000 2019
lisburn,,Jeremy-Corbyn,Survivor of Enniskillen Remembrance Day bombing labels Jeremy Corbyn 'sympathiser for terrorism' https://t.co/iMsxQBNIo8,Mon Nov 11 05:34:21 +0000 2019
lisburn,Conservative-Party,,"The energy cap was, of course, 'marxism'. Until Theresa may adopted it as Conservative party policy. https://t.co/wJmuLBy7ZM",Fri Nov 15 20:45:03 +0000 2019
lisburn,Conservative-Party,,"@Ginger_Ollie Conservative &amp; Unionist Party is the full name, it is starting to be used more and more in recent years, which is just right.",Fri Nov 15 13:36:29 +0000 2019
lisburn,Conservative-Party,,This is the shit that truly matters to people's lives. I mean.... Fuck me. So what if the UUP *did* run a former ps… https://t.co/inxFqIULGg,Thu Nov 14 23:06:22 +0000 2019
lisburn,Conservative-Party,,"@ALANGRA47094120 The Realistic Way for the United Kingdom of Great Britain, Northern Ireland and Overseas Territori… https://t.co/Ai4cQphVjS",Sat Nov 09 12:03:14 +0000 2019
