city,party,leader,tweet,tweet_time
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sun Nov 17 01:31:32 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sun Nov 17 01:31:31 +0000 2019
liverpool,,Jeremy-Corbyn,Labour will exclude the NHS and medicines from trade deals with the US | Jeremy Corbyn https://t.co/mQEPWcyFnz,Sun Nov 17 01:25:15 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sun Nov 17 01:24:04 +0000 2019
liverpool,,Jeremy-Corbyn,"By choice, I’ve never voted before. But Jeremy Corbyn has changed my mind | Akala https://t.co/bW9UORWURt",Sun Nov 17 01:01:49 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sun Nov 17 00:58:27 +0000 2019
liverpool,,Jeremy-Corbyn,"@nigestweets I used to like Joanna 'Plumley'..... Not anymore! Did you see this though Nige?

https://t.co/eUJs1Evt7Z",Sun Nov 17 00:56:27 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sun Nov 17 00:52:21 +0000 2019
liverpool,,Jeremy-Corbyn,https://t.co/QlXwJdXGH0,Sun Nov 17 00:51:15 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sun Nov 17 00:47:35 +0000 2019
liverpool,,Jeremy-Corbyn,Your smears and lies don't cut it anymore 🇬🇧😡 the majority of decent people are behind Jeremy Corbyn 🇬🇧 💪 especiall… https://t.co/jpQKOPnyed,Sun Nov 17 00:46:37 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @dallo100: ""And I am very, very proud of the contents of it and I can't wait to take those contents and its promise of a better Britain…",Sun Nov 17 00:44:10 +0000 2019
liverpool,,Jeremy-Corbyn,"Exclusive: New letter supporting Jeremy Corbyn signed by Roger Waters, Robert Del Naja and more… https://t.co/7NzyVuor1U",Sun Nov 17 00:42:29 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sun Nov 17 00:37:25 +0000 2019
liverpool,,Jeremy-Corbyn,"Party chairman Ian Lavery told reporters the document for the December 12 General Election was ""more radical"" than… https://t.co/fH0imZwhZy",Sun Nov 17 00:37:03 +0000 2019
liverpool,,Jeremy-Corbyn,"""And I am very, very proud of the contents of it and I can't wait to take those contents and its promise of a bette… https://t.co/pmZ4yKpOAW",Sun Nov 17 00:35:36 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sun Nov 17 00:35:31 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sun Nov 17 00:34:51 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @Alexcl1690: EXCLUSIVE: Jeremy Corbyn is set to press ahead with a review of the practice - as well as phasing out animal testing, tackl…",Sun Nov 17 00:29:18 +0000 2019
liverpool,,Jeremy-Corbyn,Seeing a lot of love on Twitter tonight for Jeremy Corbyn. It feels like that scene in 'Its a Wonderful Life' when… https://t.co/Evs7A61LKI,Sun Nov 17 00:28:46 +0000 2019
liverpool,,Jeremy-Corbyn,"@LuckyHeronSay My top 5.  
1. Jeremy Corbyn 
2. Tax avoidance 
3. Green New Deal 
4. Protecting the vulnerable in o… https://t.co/1kM2M4XYhc",Sun Nov 17 00:24:27 +0000 2019
liverpool,,Jeremy-Corbyn,RT @dallo100: Fifty times Jeremy Corbyn stood with Jewish people https://t.co/jpUQnZd1qD,Sun Nov 17 00:21:59 +0000 2019
liverpool,,Jeremy-Corbyn,RT @dallo100: Fifty times Jeremy Corbyn stood with Jewish people https://t.co/jpUQnZd1qD,Sun Nov 17 00:21:59 +0000 2019
liverpool,,Jeremy-Corbyn,RT @dallo100: Fifty times Jeremy Corbyn stood with Jewish people https://t.co/jpUQnZd1qD,Sun Nov 17 00:21:54 +0000 2019
liverpool,,Jeremy-Corbyn,RT @dallo100: Fifty times Jeremy Corbyn stood with Jewish people https://t.co/jpUQnZd1qD,Sun Nov 17 00:21:21 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sun Nov 17 00:21:16 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sun Nov 17 00:19:30 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sun Nov 17 00:19:28 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sun Nov 17 00:18:56 +0000 2019
liverpool,,Jeremy-Corbyn,Fifty times Jeremy Corbyn stood with Jewish people https://t.co/jpUQnZd1qD,Sun Nov 17 00:15:50 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sun Nov 17 00:15:27 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @Georgie_Patto: Labour manifesto to promise dramatic shift in workers' rights https://t.co/GVju13eB1w. 
This should be classed as a “Cob…",Sun Nov 17 00:14:20 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sun Nov 17 00:14:11 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sun Nov 17 00:10:32 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sat Nov 16 23:57:17 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sat Nov 16 23:54:36 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sat Nov 16 23:50:39 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @tony_shaw: Exclusive: New letter supporting Jeremy Corbyn signed by Roger Waters, Robert Del Naja and more https://t.co/2bblCzJm7R",Sat Nov 16 23:48:52 +0000 2019
liverpool,,Jeremy-Corbyn,"Exclusive: New letter supporting Jeremy Corbyn signed by Roger Waters, Robert Del Naja and more https://t.co/2bblCzJm7R",Sat Nov 16 23:48:43 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sat Nov 16 23:39:16 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sat Nov 16 23:35:48 +0000 2019
liverpool,,Jeremy-Corbyn,@OnnMel And our leader Jeremy Corbyn is being badly let do by you and many PLP members,Sat Nov 16 23:34:44 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sat Nov 16 23:34:08 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @Alexcl1690: Tom London :

Those so-called “moderates” who have relentlessly smeared and lied about Jeremy Corbyn for 4 years, FALSELY d…",Sat Nov 16 23:33:39 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sat Nov 16 23:31:12 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sat Nov 16 23:23:40 +0000 2019
liverpool,,Jeremy-Corbyn,"RT @ScouseGirlMedia: Last week Jeremy Corbyn said this: ""I'll tell you what's common sense - don't put flammable cladding on peoples’ homes…",Sat Nov 16 23:23:07 +0000 2019
