city,party,leader,tweet,tweet_time
london,,Boris-Johnson,RT @gavinesler: Is there anyone else who is beginning to suspect that the more people see of Boris Johnson the more they clock him as an ou…,Sun Nov 17 01:31:26 +0000 2019
london,,Boris-Johnson,"RT @Independent: Tory spending pledges will need tax rises, IFS warns https://t.co/Pz8vm8Ekch",Sun Nov 17 01:31:25 +0000 2019
london,,Boris-Johnson,"RT @peterjukes: So that’s at least FOUR criminal investigations around Boris Johnson and his cabinet.
1. Vote Leave lawbreaking and coverup…",Sun Nov 17 01:30:30 +0000 2019
london,,Boris-Johnson,RT @JohnStealer: Well I’m watching Prince Andrews interview on BBC2. He makes Donald Trump and Boris Johnson look like paragons of truth an…,Sun Nov 17 01:30:19 +0000 2019
london,,Boris-Johnson,"RT @ARMilani_: Boris Johnson is officially standing in Uxbridge &amp; South Ruislip and we need you to defeat him.

Campaign this weekend:
 *Sa…",Sun Nov 17 01:30:09 +0000 2019
london,,Boris-Johnson,"RT @davidschneider: ▪️Broke law with Vote Leave
▪️Acted unlawfully on prorogation
▪️Happy to aid assault on journalist
▪️Under investigatio…",Sun Nov 17 01:29:06 +0000 2019
london,,Boris-Johnson,RT @Hardeep_Matharu: Why is Prince Andrew getting a tougher ride from the #BBC than the Prime Minister? Why can't the public service broadc…,Sun Nov 17 01:29:05 +0000 2019
london,,Boris-Johnson,RT @gavinesler: Is there anyone else who is beginning to suspect that the more people see of Boris Johnson the more they clock him as an ou…,Sun Nov 17 01:28:40 +0000 2019
london,,Boris-Johnson,"RT @PeterStefanovi2: Boris Johnson is now gambling his entire campaign of lies, spin &amp; deliberate misrepresentation of facts on the premise…",Sun Nov 17 01:28:36 +0000 2019
london,,Boris-Johnson,"RT @peterjukes: So that’s at least FOUR criminal investigations around Boris Johnson and his cabinet.
1. Vote Leave lawbreaking and coverup…",Sun Nov 17 01:28:15 +0000 2019
london,,Boris-Johnson,RT @MrDiddy85: The Prime Minister Boris Johnson and The Conservative Party stands up to George Soros by ordering an Investigation into Soro…,Sun Nov 17 01:27:57 +0000 2019
london,,Boris-Johnson,"RT @peterjukes: So that’s at least FOUR criminal investigations around Boris Johnson and his cabinet.
1. Vote Leave lawbreaking and coverup…",Sun Nov 17 01:27:51 +0000 2019
london,,Boris-Johnson,RT @TomJHarper: The ISC report said that the impact of propaganda disseminated by Russian media outlets including RT &amp; Sputnik in the run-u…,Sun Nov 17 01:27:25 +0000 2019
london,,Boris-Johnson,RT @gavinesler: Is there anyone else who is beginning to suspect that the more people see of Boris Johnson the more they clock him as an ou…,Sun Nov 17 01:27:21 +0000 2019
london,,Boris-Johnson,RT @Telegraph: Exclusive – Boris Johnson: 'Every Tory election candidate has pledged to back my Brexit deal' https://t.co/8hmrcwvk5h,Sun Nov 17 01:26:52 +0000 2019
