city,party,leader,tweet,tweet_time
newport,,Boris-Johnson,RT @lyndon_chaney: https://t.co/kjtofyWjSt,Sat Nov 16 20:22:36 +0000 2019
newport,,Boris-Johnson,https://t.co/kjtofyWjSt,Sat Nov 16 20:08:08 +0000 2019
newport,,Boris-Johnson,Boris Johnson says there is ‘no evidence’ of Russia meddling in UK politics https://t.co/s0XmqCBoDp,Sat Nov 16 13:16:56 +0000 2019
newport,,Boris-Johnson,RT @Mark_Whitcutt: The real Boris Johnson can’t articulate how he relates to people because he doesn’t relate to people! He’d prefer not to…,Fri Nov 15 23:21:12 +0000 2019
newport,,Boris-Johnson,The real Boris Johnson can’t articulate how he relates to people because he doesn’t relate to people! He’d prefer n… https://t.co/03yZeYLLW8,Fri Nov 15 20:33:56 +0000 2019
newport,,Boris-Johnson,RT @NewportAd: https://t.co/2xPaLSxdHT,Fri Nov 15 10:59:58 +0000 2019
newport,,Boris-Johnson,https://t.co/2xPaLSxdHT,Fri Nov 15 10:54:09 +0000 2019
newport,,Boris-Johnson,"RT @Joshknapman: Remember that ridiculous (*not* a parody) video that Boris Johnson posted the other day?

@WillHayCardiff breaks it down b…",Thu Nov 14 16:50:54 +0000 2019
newport,,Boris-Johnson,"RT @Joshknapman: Remember that ridiculous (*not* a parody) video that Boris Johnson posted the other day?

@WillHayCardiff breaks it down b…",Thu Nov 14 15:28:32 +0000 2019
newport,,Boris-Johnson,Boris Johnson MP: Boris Johnson: Protect your citizens abroad! - Sign the Petition! https://t.co/Y5G9MDQqls via @UKChange,Thu Nov 14 13:45:47 +0000 2019
newport,,Boris-Johnson,"Boris Johnson Is A Complete Clown Defo Everyone, 🤙👏🏻🏴󠁧󠁢󠁷󠁬󠁳󠁿💯💯💯💯🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡",Thu Nov 14 13:10:33 +0000 2019
newport,,Boris-Johnson,"The floods have exposed Johnson – he is equal parts reckless, careless and useless https://t.co/6gFDV2IJdt",Thu Nov 14 12:59:11 +0000 2019
newport,,Boris-Johnson,"Remember that ridiculous (*not* a parody) video that Boris Johnson posted the other day?

@WillHayCardiff breaks it… https://t.co/gU0aZzKB0r",Thu Nov 14 09:52:20 +0000 2019
newport,,Boris-Johnson,I've just wrote to the candidate in my key seat who's not best placed to beat Boris Johnson's candidate asking them… https://t.co/TM1gbhvya8,Wed Nov 13 21:17:55 +0000 2019
newport,,Boris-Johnson,🔥Act now: South Yorkshire floods to be declared a national emergency. https://t.co/eqkdckSR9l,Wed Nov 13 18:50:24 +0000 2019
newport,,Boris-Johnson,Can you spare a minute to help Pauline Corten? https://t.co/1u9w1Mp2VB,Wed Nov 13 18:49:30 +0000 2019
newport,,Boris-Johnson,Boris Johnson: South Yorkshire floods declared a national emergency to release additional help and funding for vict… https://t.co/bEZGD75cRR,Wed Nov 13 17:47:27 +0000 2019
newport,,Boris-Johnson,How can Boris Johnson stand in front of an audience and say getting Brexit done is the best thing for the British economy?,Wed Nov 13 16:54:02 +0000 2019
newport,,Boris-Johnson,"#VictoriaLIVE Stewart says “I’ve been a Labour Party member for 40 years and I’ll been voting for Boris Johnson”

T… https://t.co/TGDdXGLj2Y",Wed Nov 13 10:51:54 +0000 2019
newport,,Boris-Johnson,This is where all the major parties in the general election stand on women’s issues https://t.co/lEg4mrQJJN,Tue Nov 12 16:50:07 +0000 2019
newport,,Boris-Johnson,"@mikeenea @matthewevansnpt Matthew Evans was vocal in his support of Boris Johnson - a proven liar, homophobe, raci… https://t.co/0BxDhCtlzm",Tue Nov 12 09:39:20 +0000 2019
newport,,Boris-Johnson,CALLING TWITTER. Can we please have an update on whether Farage is for or against Boris Johnson's deal. He flip flo… https://t.co/OHpOFPWrQR,Tue Nov 12 09:16:02 +0000 2019
