city,party,leader,tweet,tweet_time
birmingham,,Nigel-Farage,"RT @SueSuezep: Rees-Mogg, who took up the position of Leader of the House of Commons under Boris Johnson’s administration, was found to hav…",Mon Nov 18 22:33:19 +0000 2019
birmingham,,Nigel-Farage,"RT @SueSuezep: Rees-Mogg, who took up the position of Leader of the House of Commons under Boris Johnson’s administration, was found to hav…",Mon Nov 18 21:46:54 +0000 2019
birmingham,,Nigel-Farage,"RT @SueSuezep: Rees-Mogg, who took up the position of Leader of the House of Commons under Boris Johnson’s administration, was found to hav…",Mon Nov 18 21:43:44 +0000 2019
birmingham,,Nigel-Farage,"RT @SueSuezep: Rees-Mogg, who took up the position of Leader of the House of Commons under Boris Johnson’s administration, was found to hav…",Mon Nov 18 21:39:59 +0000 2019
birmingham,,Nigel-Farage,"RT @SueSuezep: Rees-Mogg, who took up the position of Leader of the House of Commons under Boris Johnson’s administration, was found to hav…",Mon Nov 18 21:39:46 +0000 2019
birmingham,,Nigel-Farage,"RT @SueSuezep: Rees-Mogg, who took up the position of Leader of the House of Commons under Boris Johnson’s administration, was found to hav…",Mon Nov 18 21:39:40 +0000 2019
birmingham,,Nigel-Farage,"RT @SueSuezep: Rees-Mogg, who took up the position of Leader of the House of Commons under Boris Johnson’s administration, was found to hav…",Mon Nov 18 21:38:22 +0000 2019
birmingham,,Nigel-Farage,"RT @SueSuezep: Rees-Mogg, who took up the position of Leader of the House of Commons under Boris Johnson’s administration, was found to hav…",Mon Nov 18 21:36:42 +0000 2019
birmingham,,Nigel-Farage,"RT @SueSuezep: Rees-Mogg, who took up the position of Leader of the House of Commons under Boris Johnson’s administration, was found to hav…",Mon Nov 18 21:33:30 +0000 2019
birmingham,,Nigel-Farage,"RT @SueSuezep: Rees-Mogg, who took up the position of Leader of the House of Commons under Boris Johnson’s administration, was found to hav…",Mon Nov 18 21:31:55 +0000 2019
birmingham,,Nigel-Farage,"RT @SueSuezep: Rees-Mogg, who took up the position of Leader of the House of Commons under Boris Johnson’s administration, was found to hav…",Mon Nov 18 21:28:24 +0000 2019
birmingham,,Nigel-Farage,"Rees-Mogg, who took up the position of Leader of the House of Commons under Boris Johnson’s administration, was fou… https://t.co/REVATX72BK",Mon Nov 18 21:19:50 +0000 2019
birmingham,,Nigel-Farage,"@Kaliclownyuga I follow Iconoclast, love his videos. 

I think the movement or group that actually needs to be dest… https://t.co/rEpCGJ1byp",Mon Nov 18 20:23:23 +0000 2019
birmingham,,Nigel-Farage,@beanie4legs @Nigel_Farage ....don't mention buses.,Mon Nov 18 19:55:39 +0000 2019
birmingham,,Nigel-Farage,"@beanie4legs @Nigel_Farage He promised to eradicate rough sleeping by 2012, only for it to double during his leader… https://t.co/n5dOvrDiKm",Mon Nov 18 19:55:18 +0000 2019
birmingham,,Nigel-Farage,@beanie4legs @Nigel_Farage Howard gave Bojo 2 jobs after becoming leader of the Conservatives in 2003 -party vice-c… https://t.co/LFpnCaJKNO,Mon Nov 18 19:54:33 +0000 2019
birmingham,,Nigel-Farage,@beanie4legs @Nigel_Farage The very man who blamed drunken Liverpool fans for the 1989 Hillsborough disaster and su… https://t.co/3Ap3sYFgGW,Mon Nov 18 19:51:30 +0000 2019
birmingham,,Nigel-Farage,@Nigel_Farage https://t.co/tyyaFirWNd,Mon Nov 18 19:48:40 +0000 2019
birmingham,,Nigel-Farage,@Nigel_Farage 👏🏻👏🏻,Mon Nov 18 19:20:01 +0000 2019
birmingham,,Nigel-Farage,@Nigel_Farage What happens to Brexit party after Brexit?,Mon Nov 18 19:19:54 +0000 2019
birmingham,,Nigel-Farage,@AugusTyme @Nigel_Farage Helps tourism my arse who wants to see blokes in capes and grey wigs when you can go to Be… https://t.co/NFz93VDAW5,Mon Nov 18 19:02:34 +0000 2019
birmingham,,Nigel-Farage,@Nigel_Farage And the royals,Mon Nov 18 18:59:40 +0000 2019
birmingham,,Nigel-Farage,"RT @macabreleon: Nigel Farage is a danger to the NHS 👇
https://t.co/g50xMBUKfB",Mon Nov 18 18:25:53 +0000 2019
birmingham,,Nigel-Farage,"@BRITISH_BEST_ @Nigel_Farage love it BB, Nigal could control the new HoL and charge people to become members, take… https://t.co/LbjEXKs7lK",Mon Nov 18 18:17:20 +0000 2019
birmingham,,Nigel-Farage,@Nigel_Farage I want to vote Brexit party of course but is it just handing this seat to labour? Or will all the lab… https://t.co/34zbz7PrHc,Mon Nov 18 17:56:27 +0000 2019
birmingham,,Nigel-Farage,@Nigel_Farage This is a right quandary. In Erdington labour have held the seat since 1974. Conservatives we’re 1500… https://t.co/AqYr5uApQi,Mon Nov 18 17:53:31 +0000 2019
birmingham,,Nigel-Farage,"RT @Phil_Mattinsley: @martynday @Nigel_Farage And the Brexit Party. It only has three members, in spite of soaking thousands of pounds from…",Mon Nov 18 17:44:11 +0000 2019
birmingham,,Nigel-Farage,@Nigel_Farage How do they benefit?,Mon Nov 18 17:38:36 +0000 2019
birmingham,,Nigel-Farage,Nigel Farage Furious Over Alleged Tory Bribes - Scotland Yard To Investi... https://t.co/6O9SAGhcGY via @YouTube,Mon Nov 18 17:33:39 +0000 2019
birmingham,,Nigel-Farage,"Nigel Farage is a danger to the NHS 👇
https://t.co/g50xMBUKfB",Mon Nov 18 17:26:07 +0000 2019
birmingham,,Nigel-Farage,"@LanceForman @Nigel_Farage Poor regulation equals diesel emission scandal, equals Boeing max crashes, equals building cladding fires etc etc",Mon Nov 18 17:21:51 +0000 2019
birmingham,,Nigel-Farage,A full list of Brexit Party candidates and the constituencies they're running in. https://t.co/YhhkS6SCRz,Mon Nov 18 17:21:29 +0000 2019
birmingham,,Nigel-Farage,@Nigel_Farage Brexit is bad for all businesses big or small apart from your company ‘Brexit party’ which seems to be raking in the roubles,Mon Nov 18 17:20:08 +0000 2019
birmingham,,Nigel-Farage,@clara_cluck32 @Nigel_Farage Formulate a manifesto that people can vote for than I'm afraid it will only have to EU… https://t.co/NZNkhZNVta,Mon Nov 18 17:05:58 +0000 2019
birmingham,,Nigel-Farage,@clara_cluck32 @Nigel_Farage A Brexit party supporter here. Sadly you are right. The way our electoral system works… https://t.co/c7tzKRHVVw,Mon Nov 18 17:02:57 +0000 2019
birmingham,,Nigel-Farage,RT @ChristopherFew5: More evidence of the sinister conspiracy behind the ongoing Brexit campaign. What jumps out is speculator Crispin Odey…,Mon Nov 18 16:58:42 +0000 2019
birmingham,,Nigel-Farage,@Nigel_Farage To abolish the House of corruption would go some way to preserve democracy. After that we need to loo… https://t.co/GQyeECk5xM,Mon Nov 18 16:39:34 +0000 2019
birmingham,,Nigel-Farage,"@QiCatherineCui1 @Nigel_Farage Coming from Shanghai myself, I am all behind you in making history 💪🙏🙏!  Stratford-o… https://t.co/7eqYFC5AZl",Mon Nov 18 16:34:20 +0000 2019
birmingham,,Nigel-Farage,@Nigel_Farage Well you seem to be doing ok having never won an election for parliament.,Mon Nov 18 16:31:18 +0000 2019
