city,party,leader,tweet,tweet_time
swansea,,Jo-Swinson,"Jo Swinson now inviting the public to look at the Lib Dem track record of lies and austerity, bold move, but in thi… https://t.co/EsTERVZS62",Tue Nov 19 22:11:56 +0000 2019
swansea,,Jo-Swinson,Jo Swinson looks a better fighter and that is a match I'd pay to watch!,Tue Nov 19 22:03:59 +0000 2019
swansea,,Jo-Swinson,RT @phased_bemused: Jo Swinson's alt found. https://t.co/xUYzn3dNWA,Tue Nov 19 20:23:30 +0000 2019
swansea,,Jo-Swinson,Jo Swinson's alt found. https://t.co/xUYzn3dNWA,Tue Nov 19 20:17:32 +0000 2019
swansea,,Jo-Swinson,Five Reasons Why Jo Swinson Is The Voice For The Future https://t.co/2YbahmEKdU,Tue Nov 19 14:56:09 +0000 2019
swansea,,Jo-Swinson,RT @RobHumphreys77: Donna Kinnair of @theRCN on @Emmabarnett show on @bbc5live just now referring to ‘Boris’s party’ &amp; ‘Corbyn’s party’.  H…,Tue Nov 19 12:10:20 +0000 2019
swansea,,Jo-Swinson,Donna Kinnair of @theRCN on @Emmabarnett show on @bbc5live just now referring to ‘Boris’s party’ &amp; ‘Corbyn’s party’… https://t.co/sFV1z7ipMK,Tue Nov 19 11:57:56 +0000 2019
swansea,,Jo-Swinson,"RT @MikeEOCarroll: The @LibDems are the party that backs British business. 
🇬🇧🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺
https://t.co/KEiDVyJMnn",Tue Nov 19 00:54:12 +0000 2019
swansea,,Jo-Swinson,"RT @MikeEOCarroll: The @LibDems are the party that backs British business. 
🇬🇧🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺
https://t.co/KEiDVyJMnn",Tue Nov 19 00:51:10 +0000 2019
swansea,,Jo-Swinson,"RT @MikeEOCarroll: The @LibDems are the party that backs British business. 
🇬🇧🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺
https://t.co/KEiDVyJMnn",Tue Nov 19 00:48:18 +0000 2019
swansea,,Jo-Swinson,"RT @MikeEOCarroll: The @LibDems are the party that backs British business. 
🇬🇧🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺
https://t.co/KEiDVyJMnn",Tue Nov 19 00:46:41 +0000 2019
swansea,Liberal-Democrats,,The Liberal Democrats' £35 billion pledge to protect the NHS https://t.co/6FPdKz1GBB,Tue Nov 19 13:56:40 +0000 2019
swansea,Liberal-Democrats,,Seven Ways The Liberal Democrats Will Fight The Climate Crisis https://t.co/RVNY10EnJK,Tue Nov 19 13:56:40 +0000 2019
swansea,Liberal-Democrats,,The Liberal Democrats' £35 billion pledge to protect the NHS https://t.co/6FPdKz1GBB,Tue Nov 19 13:56:40 +0000 2019
swansea,Liberal-Democrats,,Seven Ways The Liberal Democrats Will Fight The Climate Crisis https://t.co/RVNY10EnJK,Tue Nov 19 13:56:40 +0000 2019
swansea,Brexit-Party,,Farage/Brexit Party wants... more referendums? https://t.co/HkD8rljPDy,Tue Nov 19 22:39:00 +0000 2019
swansea,Brexit-Party,,"The Brexit Party don't have the solutions you're looking for.
#ITVinterviews #GE2019
https://t.co/rTKMChMZ0H",Tue Nov 19 22:36:37 +0000 2019
swansea,Brexit-Party,,Brexit Party candidate declares ‘war’ on LGBT+ community and wants to turn ‘Christ-rejecting creatures’ into shoes… https://t.co/anCnpGexNC,Tue Nov 19 19:08:54 +0000 2019
swansea,Brexit-Party,,RT @MuttleySwan: @Byron_Davies I used to vote for you but I can no longer support your hard-right cabal that has no morals. Cummings has ma…,Tue Nov 19 18:46:55 +0000 2019
swansea,Brexit-Party,,Brexit Party candidate declares ‘war’ on LGBT+ community and wants to turn ‘Christ-rejecting creatures’ into shoes… https://t.co/anCnpGexNC,Tue Nov 19 19:08:54 +0000 2019
swansea,Brexit-Party,,RT @MuttleySwan: @Byron_Davies I used to vote for you but I can no longer support your hard-right cabal that has no morals. Cummings has ma…,Tue Nov 19 18:46:55 +0000 2019
swansea,Liberal-Democrats,,The Liberal Democrats' £35 billion pledge to protect the NHS https://t.co/6FPdKz1GBB,Tue Nov 19 13:56:40 +0000 2019
swansea,Liberal-Democrats,,Seven Ways The Liberal Democrats Will Fight The Climate Crisis https://t.co/RVNY10EnJK,Tue Nov 19 13:56:40 +0000 2019
swansea,,Nigel-Farage,"@Nigel_Farage So many people just object to things you say, because YOU say them. I've been saying this for years.… https://t.co/PKeYVmMQiX",Tue Nov 19 01:36:26 +0000 2019
swansea,,Jo-Swinson,"RT @MikeEOCarroll: The @LibDems are the party that backs British business. 
🇬🇧🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺
https://t.co/KEiDVyJMnn",Tue Nov 19 00:54:12 +0000 2019
swansea,,Jo-Swinson,"RT @MikeEOCarroll: The @LibDems are the party that backs British business. 
🇬🇧🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺
https://t.co/KEiDVyJMnn",Tue Nov 19 00:51:10 +0000 2019
swansea,,Jo-Swinson,"RT @MikeEOCarroll: The @LibDems are the party that backs British business. 
🇬🇧🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺
https://t.co/KEiDVyJMnn",Tue Nov 19 00:48:18 +0000 2019
swansea,,Jo-Swinson,"RT @MikeEOCarroll: The @LibDems are the party that backs British business. 
🇬🇧🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺
https://t.co/KEiDVyJMnn",Tue Nov 19 00:46:41 +0000 2019
swansea,Labour-Party,,@elliotleaver92 @BruellaDeville Corbyn went to anti-apartheid demonstrations to keep himself in good standing with… https://t.co/PBKTJvZySY,Tue Nov 19 21:13:02 +0000 2019
swansea,Labour-Party,,@Patricia344130 He's trying to appeal to the virtue signallers. The problem is that although their voices seem to b… https://t.co/LcVmlnFGn0,Tue Nov 19 19:30:06 +0000 2019
swansea,Labour-Party,,@kultofkylie Still less counterproductive than literally everyone else. I am excited to see what Labour might a ach… https://t.co/ReaP6lRB1L,Tue Nov 19 18:06:03 +0000 2019
swansea,Labour-Party,,@vampire_f00d @sephjnr @robsvic @kelwell16 @DEFENDuk_ @theanglican @BorisJohnson I appreciate you're a Labour suppo… https://t.co/10DS2gXSJ0,Tue Nov 19 16:51:42 +0000 2019
swansea,Labour-Party,,"@VRfilmsltd @Leeham94437926 @YorkshireLadHQ @paulwaugh @steve_hawkes Ok, I can answer your criticisms. In what way… https://t.co/UVWk8txOqQ",Tue Nov 19 12:12:56 +0000 2019
swansea,Labour-Party,,@danbloom1 @MirrorPolitics You got 1 Tory candidate denying the holocaust another saying he wants to send people to… https://t.co/QMtRjJV98D,Tue Nov 19 09:07:32 +0000 2019
swansea,,Jeremy-Corbyn,@PaulBrandITV How sad are you Paul. You didn’t like the 78% for Jeremy Corbyn result in your own poll so you tweet… https://t.co/CQzls8JlPp,Tue Nov 19 23:44:47 +0000 2019
swansea,,Jeremy-Corbyn,@LBC Jeremy Corbyn,Tue Nov 19 22:38:31 +0000 2019
