city,party,leader,tweet,tweet_time
glasgow,,Nigel-Farage,RT @geordiejs: Nigel Farage wants to sue LED By Donkeys because they own https://t.co/idTYWTxRo0. He's even using EU law to do it.,Fri Nov 22 23:47:05 +0000 2019
glasgow,,Nigel-Farage,@jemmaforte @Nigel_Farage Yes it is Jemma and Harold Wilson was neutral about Europe in the 70s and was the PM for labour.,Fri Nov 22 23:40:48 +0000 2019
glasgow,,Nigel-Farage,Nigel Farage wants to sue LED By Donkeys because they own https://t.co/idTYWTxRo0. He's even using EU law to do it.,Fri Nov 22 23:28:54 +0000 2019
glasgow,,Nigel-Farage,"@Nigel_Farage You're all fucking up the UK, in all my life I've never seen a worse shower of shite supposedly wanti… https://t.co/nJ0qK13Dix",Fri Nov 22 23:22:48 +0000 2019
glasgow,,Nigel-Farage,@Nigel_Farage Why don't you use EU laws to sue him??,Fri Nov 22 23:07:58 +0000 2019
glasgow,,Nigel-Farage,@IamtommyPatriot @JamesAithie @Nigel_Farage 😂😂🤣😂🤣,Fri Nov 22 22:58:23 +0000 2019
glasgow,,Nigel-Farage,@SunPolitics @Nigel_Farage Let’s have a referendum on immigration. Then if we want it we can decide the numbers.,Fri Nov 22 21:38:08 +0000 2019
glasgow,,Nigel-Farage,@TomLievers @Nigel_Farage Tinfoil hat much?,Fri Nov 22 21:23:26 +0000 2019
glasgow,,Nigel-Farage,@cammerzw @Nigel_Farage Tinfoil hat much?,Fri Nov 22 21:22:49 +0000 2019
glasgow,,Nigel-Farage,@Nigel_Farage Still a little https://t.co/Fx5llNlf1n,Fri Nov 22 21:20:59 +0000 2019
glasgow,,Nigel-Farage,Nigel Farage said we have to do better. Must get rid of toxic in community https://t.co/1K1njYJBUP,Fri Nov 22 21:01:59 +0000 2019
glasgow,,Nigel-Farage,"@Nigel_Farage Dear #NigelFarage 
You're just a https://t.co/f9jbFbo9KW",Fri Nov 22 20:48:51 +0000 2019
glasgow,,Nigel-Farage,"@Mr_rothschild_ @Nigel_Farage Same old! Same old!
Great rhetoric there! 
#indyref2 
#DissolveTheUKUnion",Fri Nov 22 20:17:46 +0000 2019
