city,party,leader,tweet,tweet_time
aberdeen,Brexit-Party,,"Increase in the Tory lead.
Really beginning to wonder if I live on the same planet as these people.
https://t.co/KE5BeeR6p7",Sat Nov 23 21:40:54 +0000 2019
aberdeen,Brexit-Party,,"@The_JamesJordan Have you noticed James, every Party is promising spending which will entail borrowing thereby incu… https://t.co/QVrrV3DetI",Sat Nov 23 17:06:59 +0000 2019
aberdeen,Brexit-Party,,"RT @ruthie_whyte: @christopherhope The irony of “automatic referendums to be held if more than 5m people sign a petition”.

Given that more…",Sat Nov 23 15:35:30 +0000 2019
aberdeen,Brexit-Party,,@SkyeCity_ For rUK it’s got to be stop the disgusting Tory party and their austerity+ suicidal brexit car crash,Sat Nov 23 15:07:25 +0000 2019
aberdeen,Brexit-Party,,Alness High Street Brexit party out canvassing (surely nose bleed material this far north) .. however mad SNP suppo… https://t.co/u0OcjjkIY5,Sat Nov 23 11:56:04 +0000 2019
aberdeen,Brexit-Party,,@theSNP You are a hypocrite &amp; a snakeoil salesman just like your mentor Alex Salmond. And you will work with comrad… https://t.co/l7ksN1Yxdz,Sat Nov 23 10:44:52 +0000 2019
aberdeen,Brexit-Party,,"RT @ruthie_whyte: @christopherhope The irony of “automatic referendums to be held if more than 5m people sign a petition”.

Given that more…",Sat Nov 23 05:15:32 +0000 2019
aberdeen,Brexit-Party,,"RT @ruthie_whyte: @christopherhope The irony of “automatic referendums to be held if more than 5m people sign a petition”.

Given that more…",Sat Nov 23 04:15:56 +0000 2019
aberdeen,Brexit-Party,,"RT @ruthie_whyte: @christopherhope The irony of “automatic referendums to be held if more than 5m people sign a petition”.

Given that more…",Sat Nov 23 04:05:55 +0000 2019
aberdeen,,Jo-Swinson,RT @Stand_Free1980: @CamdenRemainer @mattforde @angelasmithmp Are you seriously telling me that Jo Swinson is on the same intellectual leve…,Sat Nov 23 17:57:00 +0000 2019
aberdeen,,Jo-Swinson,RT @Stand_Free1980: @CamdenRemainer @mattforde @angelasmithmp Are you seriously telling me that Jo Swinson is on the same intellectual leve…,Sat Nov 23 16:03:31 +0000 2019
aberdeen,,Jo-Swinson,"#SturgeonForPM

https://t.co/fuISA8ffYF",Sat Nov 23 15:25:13 +0000 2019
aberdeen,,Jo-Swinson,"@agcolehamilton @joswinson Perfectly understandable that you would say this, but Jo Swinson’s arrogance has been he… https://t.co/qbW0TqfBq6",Sat Nov 23 14:10:29 +0000 2019
aberdeen,,Jo-Swinson,"@drphilhammond @LibDems @EdwardJDavey What is it about Scottish @LibDems?
Both Jo Swinson and her @scotlibdems coun… https://t.co/TqiIaQAiJa",Sat Nov 23 13:03:33 +0000 2019
aberdeen,,Jo-Swinson,"RT @tartanmarvel89: @CraigMurrayOrg My opinion on the question time special 
1.Nicola did great as always 
2.Corbyn was decent
3.BoJo was a…",Sat Nov 23 11:43:03 +0000 2019
aberdeen,,Jo-Swinson,Who do you think won the BBC's Question Time leaders special? https://t.co/s3q6teDihs,Sat Nov 23 07:08:45 +0000 2019
aberdeen,,Jo-Swinson,Who do you think won the BBC's Question Time leaders special? https://t.co/UJKz3nzL6b,Sat Nov 23 03:46:34 +0000 2019
aberdeen,,Jo-Swinson,Who do you think won the BBC's Question Time leaders special? https://t.co/lbEHIVFzxA,Sat Nov 23 02:38:20 +0000 2019
aberdeen,,Jo-Swinson,"@CraigMurrayOrg My opinion on the question time special 
1.Nicola did great as always 
2.Corbyn was decent
3.BoJo w… https://t.co/JH5HFLEfIs",Sat Nov 23 01:03:58 +0000 2019
aberdeen,,Jo-Swinson,RT @Stand_Free1980: @CamdenRemainer @mattforde @angelasmithmp Are you seriously telling me that Jo Swinson is on the same intellectual leve…,Sat Nov 23 00:57:25 +0000 2019
aberdeen,,Jo-Swinson,RT @stitzch: bet jo swinson pronounces 'aberdeen' in a way that would cause me to claw my own flesh from my bones,Sat Nov 23 00:50:41 +0000 2019
aberdeen,,Jo-Swinson,RT @carol_fikry: I thought Jo Swinson was on the BBC not Comedy Central,Sat Nov 23 00:31:08 +0000 2019
aberdeen,,Jo-Swinson,I thought Jo Swinson was on the BBC not Comedy Central,Sat Nov 23 00:19:48 +0000 2019
aberdeen,,Jo-Swinson,RT @RolandS13014285: Who do you think won the BBC's Question Time leaders special? https://t.co/PGyiDarsei,Sat Nov 23 00:01:30 +0000 2019
aberdeen,Liberal-Democrats,,"Brexit = Selling the NHS.

Well, that, and the advancement of Russian forign policy. 

The only option we have now… https://t.co/0A1bffuwh6",Sat Nov 23 19:22:22 +0000 2019
aberdeen,,Nigel-Farage,@Boomera15476385 @Nigel_Farage OK boomer,Sat Nov 23 16:33:02 +0000 2019
aberdeen,,Nigel-Farage,"RT @ruthie_whyte: @christopherhope The irony of “automatic referendums to be held if more than 5m people sign a petition”.

Given that more…",Sat Nov 23 15:35:30 +0000 2019
aberdeen,,Nigel-Farage,"@Jeff_Round @evenoxmyx @joswinson @Nigel_Farage @NicolaSturgeon Totally agree, why was she there? Farage would have… https://t.co/2JNBwdvWbg",Sat Nov 23 07:04:28 +0000 2019
aberdeen,,Nigel-Farage,"RT @ruthie_whyte: @christopherhope The irony of “automatic referendums to be held if more than 5m people sign a petition”.

Given that more…",Sat Nov 23 05:15:32 +0000 2019
aberdeen,,Nigel-Farage,"RT @ruthie_whyte: @christopherhope The irony of “automatic referendums to be held if more than 5m people sign a petition”.

Given that more…",Sat Nov 23 04:15:56 +0000 2019
aberdeen,,Nigel-Farage,"RT @ruthie_whyte: @christopherhope The irony of “automatic referendums to be held if more than 5m people sign a petition”.

Given that more…",Sat Nov 23 04:05:55 +0000 2019
aberdeen,,Nigel-Farage,@adamgarriereal Nigel Farage is almost as sharp as George Galloway.,Sat Nov 23 01:23:03 +0000 2019
aberdeen,,Jeremy-Corbyn,@aliciakearns @anelso157 @jeremycorbyn Jeremy Corbyn signed a motion in the house of commons put forward in Novembe… https://t.co/ZClx2RpRJj,Sat Nov 23 22:13:37 +0000 2019
aberdeen,,Jeremy-Corbyn,"@danbloom1 Has anyone found this video yet? (I cant find it, would love to find out the facts.)

Jeremy Corbyn conf… https://t.co/R8uSiTH6TH",Sat Nov 23 13:33:04 +0000 2019
aberdeen,,Jeremy-Corbyn,Jeremy Corbyn has surprised me a bit - performing considerably better than Bozo. Johnson brutally exposed as a racist.,Sat Nov 23 13:29:22 +0000 2019
aberdeen,,Jeremy-Corbyn,"Jeremy Corbyn would be a hypocrite to not allow our Country a referendum , deals are made all the time in politics… https://t.co/Og4Qsu9kCo",Sat Nov 23 10:29:19 +0000 2019
aberdeen,,Jeremy-Corbyn,"RT @StevieCABZ: Jeremy Corbyn IS NOT RACIST!
(SHARE FAR AND WIDE!)

Rachel Riley is nothing a nasty ""far-right"" internet Troll, who is happ…",Sat Nov 23 08:24:48 +0000 2019
aberdeen,,Jeremy-Corbyn,Who do you think won the BBC's Question Time leaders special? https://t.co/s3q6teDihs,Sat Nov 23 07:08:45 +0000 2019
