city,party,leader,tweet,tweet_time
cardiff,,Nigel-Farage,@brexitparty_uk Launching the BXP Manifesto in Nigel Farage's name is his next strategic mistake. IMHO the BXP shou… https://t.co/gmxPXVCNbB,Sun Nov 24 19:52:46 +0000 2019
cardiff,,Nigel-Farage,@Gemini252868896 @RossLydall @theroyalparks @TfL @CityWestminster @Jacob_Rees_Mogg @wesstreeting @Nigel_Farage So h… https://t.co/KduvA98cH3,Sun Nov 24 19:29:21 +0000 2019
cardiff,,Nigel-Farage,@Nigel_Farage Have you been touching people up?,Sun Nov 24 19:02:19 +0000 2019
cardiff,,Nigel-Farage,@MatthewStadlen @LBC 1st and best choice @Nigel_Farage #wto / #FT 2 @BorisJohnson half /half may deal  best on offer as we voted to leave,Sun Nov 24 01:00:03 +0000 2019
cardiff,,Nigel-Farage,@brexitparty_uk Launching the BXP Manifesto in Nigel Farage's name is his next strategic mistake. IMHO the BXP shou… https://t.co/gmxPXVCNbB,Sun Nov 24 19:52:46 +0000 2019
cardiff,,Nigel-Farage,@Gemini252868896 @RossLydall @theroyalparks @TfL @CityWestminster @Jacob_Rees_Mogg @wesstreeting @Nigel_Farage So h… https://t.co/KduvA98cH3,Sun Nov 24 19:29:21 +0000 2019
cardiff,,Nigel-Farage,@Nigel_Farage Have you been touching people up?,Sun Nov 24 19:02:19 +0000 2019
cardiff,,Nigel-Farage,@MatthewStadlen @LBC 1st and best choice @Nigel_Farage #wto / #FT 2 @BorisJohnson half /half may deal  best on offer as we voted to leave,Sun Nov 24 01:00:03 +0000 2019
cardiff,,Nigel-Farage,@brexitparty_uk Launching the BXP Manifesto in Nigel Farage's name is his next strategic mistake. IMHO the BXP shou… https://t.co/gmxPXVCNbB,Sun Nov 24 19:52:46 +0000 2019
cardiff,,Nigel-Farage,@Gemini252868896 @RossLydall @theroyalparks @TfL @CityWestminster @Jacob_Rees_Mogg @wesstreeting @Nigel_Farage So h… https://t.co/KduvA98cH3,Sun Nov 24 19:29:21 +0000 2019
cardiff,,Nigel-Farage,@Nigel_Farage Have you been touching people up?,Sun Nov 24 19:02:19 +0000 2019
cardiff,,Nigel-Farage,@MatthewStadlen @LBC 1st and best choice @Nigel_Farage #wto / #FT 2 @BorisJohnson half /half may deal  best on offer as we voted to leave,Sun Nov 24 01:00:03 +0000 2019
cardiff,,Boris-Johnson,"Tory pledge to recruit 50,000 new nurses exposed as 'fake' after manifesto launch https://t.co/HQsfvWTjp4",Sun Nov 24 23:36:30 +0000 2019
cardiff,,Boris-Johnson,RT @SDoughtyMP: It was wonderful this morning to join some of the amazing Welsh women who have campaigned for justice for fellow 1950s wome…,Sun Nov 24 23:25:50 +0000 2019
cardiff,,Boris-Johnson,"RT @FromSteveHowell: 1/3 Lie-check: Peter Oborne lists TEN blatant Boris Johnson lies so far.

👎40 NHS hospitals
👎20,000 police
👎£1.2 trill…",Sun Nov 24 23:17:15 +0000 2019
cardiff,,Boris-Johnson,"When I read #GetXDone (with X being Brexit,social care or anything else),whether or not it was intended this way,I’… https://t.co/Wz6qyuS9mQ",Sun Nov 24 23:00:10 +0000 2019
cardiff,,Boris-Johnson,RT @SDoughtyMP: It was wonderful this morning to join some of the amazing Welsh women who have campaigned for justice for fellow 1950s wome…,Sun Nov 24 22:21:10 +0000 2019
cardiff,,Boris-Johnson,It was wonderful this morning to join some of the amazing Welsh women who have campaigned for justice for fellow 19… https://t.co/ErTkWJ6aSO,Sun Nov 24 22:18:44 +0000 2019
cardiff,,Boris-Johnson,RT @Ade_Jones71: #Breaking Boris Johnson - Day 1 of Conservative campaign off to a flying start. Oven ready BREXIT deal is ready to go! #Ov…,Sun Nov 24 22:12:07 +0000 2019
