city,party,leader,tweet,tweet_time
lisburn,Conservative-Party,,RT @StripeyMiata: @dli_odoir @PaulTyredagh81 @LynneCampbell5 Always thought it was weird that the Conservative Party could run candidates h…,Mon Nov 25 15:27:20 +0000 2019
lisburn,Conservative-Party,,@dli_odoir @PaulTyredagh81 @LynneCampbell5 Always thought it was weird that the Conservative Party could run candid… https://t.co/16KXM43zGX,Mon Nov 25 15:26:53 +0000 2019
lisburn,Conservative-Party,,RT @StripeyMiata: @dli_odoir @PaulTyredagh81 @LynneCampbell5 Always thought it was weird that the Conservative Party could run candidates h…,Mon Nov 25 15:27:20 +0000 2019
lisburn,Conservative-Party,,@dli_odoir @PaulTyredagh81 @LynneCampbell5 Always thought it was weird that the Conservative Party could run candid… https://t.co/16KXM43zGX,Mon Nov 25 15:26:53 +0000 2019
lisburn,Brexit-Party,,@sdw163 @Pogopatterson42 @SorchaEastwood I refuse to be fear-mongered into voting for a party that doesn’t work for… https://t.co/GbcMxcbsHS,Mon Nov 25 14:54:01 +0000 2019
lisburn,Brexit-Party,,@sdw163 @Pogopatterson42 @SorchaEastwood I refuse to be fear-mongered into voting for a party that doesn’t work for… https://t.co/GbcMxcbsHS,Mon Nov 25 14:54:01 +0000 2019
lisburn,Brexit-Party,,@sdw163 @Pogopatterson42 @SorchaEastwood I refuse to be fear-mongered into voting for a party that doesn’t work for… https://t.co/GbcMxcbsHS,Mon Nov 25 14:54:01 +0000 2019
lisburn,Brexit-Party,,@sdw163 @Pogopatterson42 @SorchaEastwood I refuse to be fear-mongered into voting for a party that doesn’t work for… https://t.co/GbcMxcbsHS,Mon Nov 25 14:54:01 +0000 2019
lisburn,Conservative-Party,,RT @StripeyMiata: @dli_odoir @PaulTyredagh81 @LynneCampbell5 Always thought it was weird that the Conservative Party could run candidates h…,Mon Nov 25 15:27:20 +0000 2019
lisburn,Conservative-Party,,@dli_odoir @PaulTyredagh81 @LynneCampbell5 Always thought it was weird that the Conservative Party could run candid… https://t.co/16KXM43zGX,Mon Nov 25 15:26:53 +0000 2019
lisburn,Conservative-Party,,RT @StripeyMiata: @dli_odoir @PaulTyredagh81 @LynneCampbell5 Always thought it was weird that the Conservative Party could run candidates h…,Mon Nov 25 15:27:20 +0000 2019
lisburn,Conservative-Party,,@dli_odoir @PaulTyredagh81 @LynneCampbell5 Always thought it was weird that the Conservative Party could run candid… https://t.co/16KXM43zGX,Mon Nov 25 15:26:53 +0000 2019
