city,party,leader,tweet,tweet_time
derry,Labour-Party,,The Labour party deserves to form the next UK government https://t.co/SaQKL8Jfc7,Wed Nov 27 13:56:57 +0000 2019
derry,Labour-Party,,RT @TornadoNewsLink: #Jewish #ArchbishopOfCanterbury  Conveniently Backs #ChiefRabbi's Condemnation Of A Political Party They Do Not Like.…,Wed Nov 27 12:31:15 +0000 2019
derry,Labour-Party,,#Jewish #ArchbishopOfCanterbury  Conveniently Backs #ChiefRabbi's Condemnation Of A Political Party They Do Not Lik… https://t.co/N5AX6jnXIv,Wed Nov 27 12:22:37 +0000 2019
derry,Labour-Party,,@James0000987 @Apologist21 @LeaveEUOfficial Shameful trying to defend this labour party and its antisemitic marxist… https://t.co/ElrrgmVcaf,Wed Nov 27 11:34:51 +0000 2019
derry,Labour-Party,,RT @Richard92873571: @LeaveEUOfficial He's not sorry for being antisemitic or supporting hamas the IRA etc. The people that vote for this l…,Wed Nov 27 09:08:26 +0000 2019
derry,Labour-Party,,@LeaveEUOfficial He's not sorry for being antisemitic or supporting hamas the IRA etc. The people that vote for thi… https://t.co/UB31R4EYZH,Wed Nov 27 09:01:53 +0000 2019
derry,Labour-Party,,"@FranS199 Instead of this Anti Semitism Smear campaign against the labour party &amp; Jeremy Corbyn. let,s stamp out Th… https://t.co/cLGoxcBa9A",Tue Nov 26 22:52:41 +0000 2019
derry,Labour-Party,,RT @TornadoNewsLink: #Jewish #ArchbishopOfCanterbury  Conveniently Backs #ChiefRabbi's Condemnation Of A Political Party They Do Not Like.…,Tue Nov 26 19:25:31 +0000 2019
derry,Labour-Party,,#Jewish #ArchbishopOfCanterbury  Conveniently Backs #ChiefRabbi's Condemnation Of A Political Party They Do Not Lik… https://t.co/bxJLqfxcEG,Tue Nov 26 19:20:42 +0000 2019
derry,Labour-Party,,#bbcpolitics whats the point in having Corbyn on BBCpolitics if you want let him speak fully to answer his question… https://t.co/JHBLwu4GEf,Tue Nov 26 19:12:07 +0000 2019
derry,Labour-Party,,RT @arthereanynames: More Jews support labour  the chief rabbi only speaks for 1 quarter if Jews if that as for Julia beuberger well dies s…,Tue Nov 26 14:44:16 +0000 2019
derry,Labour-Party,,@txtpf @iggigg @Awarddas1349 @RTSquires @Peymasad @GnasherJew Reference to ‘as someone who calls out antisemitism in the Labour party’,Tue Nov 26 13:57:09 +0000 2019
derry,Labour-Party,,More Jews support labour  the chief rabbi only speaks for 1 quarter if Jews if that as for Julia beuberger well die… https://t.co/EOiM3VGYpM,Tue Nov 26 13:35:44 +0000 2019
derry,Labour-Party,,RT @TornadoNewsLink: #Jewish #ArchbishopOfCanterbury  Conveniently Backs #ChiefRabbi's Condemnation Of A Political Party They Do Not Like.…,Tue Nov 26 12:02:25 +0000 2019
derry,Labour-Party,,RT @TornadoNewsLink: #Jewish #ArchbishopOfCanterbury  Conveniently Backs #ChiefRabbi's Condemnation Of A Political Party They Do Not Like.…,Tue Nov 26 11:49:34 +0000 2019
derry,Labour-Party,,#Jewish #ArchbishopOfCanterbury  Conveniently Backs #ChiefRabbi's Condemnation Of A Political Party They Do Not Lik… https://t.co/4EDAjurIxg,Tue Nov 26 11:39:19 +0000 2019
derry,Labour-Party,,"RT @KearneyDominic: Tory MP candidate caught getting friend to pose as anti-Labour voter, as party's disinformation c... https://t.co/GR3NZ…",Tue Nov 26 08:00:31 +0000 2019
derry,Labour-Party,,"RT @KearneyDominic: Tory MP candidate caught getting friend to pose as anti-Labour voter, as party's disinformation c... https://t.co/GR3NZ…",Tue Nov 26 07:44:32 +0000 2019
derry,Labour-Party,,Good morning. Coming up after 7 - we're talking #Ge2019 with @Laura_K_Hughes as the Chief Rabbi strongly criticises… https://t.co/6E6A11nIrI,Tue Nov 26 06:57:06 +0000 2019
derry,Labour-Party,,@Jackiew80333500 @adamlangleben @Pam4HarrowEast @harrowelabour Ah @Jackiew80333500 thanks for your endorsement of… https://t.co/A7DttOwRdN,Mon Nov 25 20:16:21 +0000 2019
derry,Labour-Party,,Her bag is big enough to carry all the pro-business sentiment left in the Labour Party. https://t.co/YDBZqrebiw,Mon Nov 25 18:19:41 +0000 2019
derry,Labour-Party,,"Tory MP candidate caught getting friend to pose as anti-Labour voter, as party's disinformation c... https://t.co/GR3NZ74ovw",Mon Nov 25 16:41:03 +0000 2019
derry,Labour-Party,,@Peymasad @UKLabour Vile antisemite like you will do well in Corbyns Labour Party!! https://t.co/ozZKBMGxBg,Mon Nov 25 14:19:50 +0000 2019
derry,Labour-Party,,"RT @jamesdeens: How could a supposed Christian party do a deal with UK LABOUR PARTY who want Abortion right up to birth?
Next on the Labour…",Sun Nov 24 20:33:24 +0000 2019
derry,Labour-Party,,@CrozierKeir @ChallengesNI Your party is being protested by the pro-Union people of Northern Ireland. The NI Labour Party isn't.,Sun Nov 24 20:31:00 +0000 2019
derry,Labour-Party,,"How could a supposed Christian party do a deal with UK LABOUR PARTY who want Abortion right up to birth?
Next on th… https://t.co/4n1dQRP02F",Sun Nov 24 20:06:00 +0000 2019
derry,Labour-Party,,@mick_wynn67 @pedanticdave @wildtests @aebxo @vinkyw My failings? You have me mixed up with the #Labour party,Sun Nov 24 16:31:36 +0000 2019
derry,Labour-Party,,Labour Party abandoned the British working class years ago and brought in a secret Mass Immigration programme in Se… https://t.co/kUqdsl518F,Sun Nov 24 14:35:43 +0000 2019
derry,Labour-Party,,"No Catholic can support Britain's Labour Party

 https://t.co/cchQKMzEC2",Sun Nov 24 02:50:22 +0000 2019
derry,Labour-Party,,#MaureenLipman So a Jew left the labour party because a Jew was leader now she's leaving again because no one was a… https://t.co/jcitQ4KTrg,Fri Nov 22 10:39:53 +0000 2019
derry,Labour-Party,,"@duponline He did, in 1994.
Nice try by the pathetic DUP. 
https://t.co/Bf3TPAepeM",Fri Nov 22 09:14:09 +0000 2019
derry,Labour-Party,,serious question - what party in NI is the most tactical vote to help Labour,Thu Nov 21 15:22:16 +0000 2019
derry,Labour-Party,,@FabianLeedsNE During the first sentence I thought you were talking about the labour leadership! If I was a labour… https://t.co/A5thXwVxF2,Wed Nov 20 12:25:35 +0000 2019
derry,,Jeremy-Corbyn,"@FranS199 Instead of this Anti Semitism Smear campaign against the labour party &amp; Jeremy Corbyn. let,s stamp out Th… https://t.co/cLGoxcBa9A",Tue Nov 26 22:52:41 +0000 2019
derry,,Jeremy-Corbyn,RT @TornadoNewsLink: #JeremyCorbyn May Not Be Fit To Be #PrimeMinister But This Is Taking VICTIMHOOD To A New Level https://t.co/dwvdiGJLcs…,Tue Nov 26 17:51:37 +0000 2019
derry,,Jeremy-Corbyn,#JeremyCorbyn May Not Be Fit To Be #PrimeMinister But This Is Taking VICTIMHOOD To A New Level… https://t.co/BOoRTFGmv5,Tue Nov 26 16:44:29 +0000 2019
derry,,Jeremy-Corbyn,This is the man criticising Jeremy Corbyn. Israel has the right to exist and defend itself but not kill thousands o… https://t.co/1Nz9dZUVKs,Tue Nov 26 12:34:53 +0000 2019
