city,party,leader,tweet,tweet_time
london,,Jeremy-Corbyn,"RT @SkyNews: ""These uncensored documents leave Boris Johnson's denials in tatters."" 

Jeremy Corbyn says he has documents which ""confirm"" u…",Thu Nov 28 13:58:26 +0000 2019
london,,Jeremy-Corbyn,"RT @OwenJones84: Given Jeremy Corbyn has been asked to apologise for the racism of others - which, by the way, is fair enough - I'm struggl…",Thu Nov 28 13:58:20 +0000 2019
london,,Jeremy-Corbyn,"RT @Sillyshib: My six year old tonight when channel 4 news was on-

Him- is that Jeremy Corbyn?
Me-yes
Him- is that girl Nicola Sturgeon?
M…",Thu Nov 28 13:58:14 +0000 2019
london,,Jeremy-Corbyn,"RT @SkyNews: ""I normally vote Conservative, but I can't bear the buffoon""

86-year-old Molly from Hampshire says she won't be voting for ""t…",Thu Nov 28 13:58:13 +0000 2019
london,,Jeremy-Corbyn,"RT @SkyNews: ""I normally vote Conservative, but I can't bear the buffoon""

86-year-old Molly from Hampshire says she won't be voting for ""t…",Thu Nov 28 13:58:10 +0000 2019
london,,Jeremy-Corbyn,RT @JackDunc1: Did...did Laura K really just retweet Piers fucking Morgan saying 'journalists should pummel Jeremy Corbyn...' then delete i…,Thu Nov 28 13:58:01 +0000 2019
london,,Jeremy-Corbyn,"RT @OwenJones84: Given Jeremy Corbyn has been asked to apologise for the racism of others - which, by the way, is fair enough - I'm struggl…",Thu Nov 28 13:57:57 +0000 2019
london,,Jeremy-Corbyn,"RT @BBCPolitics: No apology to the Jewish community from Jeremy Corbyn, as he is repeatedly challenged over claims of anti-Semitism within…",Thu Nov 28 13:57:56 +0000 2019
london,,Jeremy-Corbyn,"RT @OwenJones84: Given Jeremy Corbyn has been asked to apologise for the racism of others - which, by the way, is fair enough - I'm struggl…",Thu Nov 28 13:57:49 +0000 2019
london,,Jeremy-Corbyn,"RT @OwenJones84: Given Jeremy Corbyn has been asked to apologise for the racism of others - which, by the way, is fair enough - I'm struggl…",Thu Nov 28 13:57:49 +0000 2019
london,,Jeremy-Corbyn,RT @tomhfh: Jeremy Corbyn's entire campaign is based on one big lie about the NHS and yet all those oh so moral lefty crusaders 'against ly…,Thu Nov 28 13:57:31 +0000 2019
london,,Jeremy-Corbyn,RT @JackDunc1: Did...did Laura K really just retweet Piers fucking Morgan saying 'journalists should pummel Jeremy Corbyn...' then delete i…,Thu Nov 28 13:57:26 +0000 2019
london,,Jeremy-Corbyn,RT @tomhfh: Jeremy Corbyn's entire campaign is based on one big lie about the NHS and yet all those oh so moral lefty crusaders 'against ly…,Thu Nov 28 13:57:20 +0000 2019
london,,Jeremy-Corbyn,"RT @OwenJones84: Given Jeremy Corbyn has been asked to apologise for the racism of others - which, by the way, is fair enough - I'm struggl…",Thu Nov 28 13:57:18 +0000 2019
london,,Jeremy-Corbyn,"RT @evolvepolitics: Away from the media Twittersphere, ordinary people are far more irritated by Andrew Neil’s interview technique than any…",Thu Nov 28 13:57:03 +0000 2019
london,,Jeremy-Corbyn,"RT @SkyNews: ""I normally vote Conservative, but I can't bear the buffoon""

86-year-old Molly from Hampshire says she won't be voting for ""t…",Thu Nov 28 13:56:48 +0000 2019
london,,Jeremy-Corbyn,RT @JackDunc1: Did...did Laura K really just retweet Piers fucking Morgan saying 'journalists should pummel Jeremy Corbyn...' then delete i…,Thu Nov 28 13:56:37 +0000 2019
london,,Jeremy-Corbyn,"RT @OwenJones84: Given Jeremy Corbyn has been asked to apologise for the racism of others - which, by the way, is fair enough - I'm struggl…",Thu Nov 28 13:56:24 +0000 2019
london,,Jeremy-Corbyn,"RT @SkyNews: ""I normally vote Conservative, but I can't bear the buffoon""

86-year-old Molly from Hampshire says she won't be voting for ""t…",Thu Nov 28 13:56:21 +0000 2019
london,,Jeremy-Corbyn,"RT @tomhfh: Reminder that Jeremy Corbyn admitted yesterday that people earning as little as £14,000 a year will pay hundreds of pounds more…",Thu Nov 28 13:56:15 +0000 2019
london,,Jeremy-Corbyn,"RT @OwenJones84: Given Jeremy Corbyn has been asked to apologise for the racism of others - which, by the way, is fair enough - I'm struggl…",Thu Nov 28 13:56:11 +0000 2019
london,,Jeremy-Corbyn,"RT @OwenJones84: Given Jeremy Corbyn has been asked to apologise for the racism of others - which, by the way, is fair enough - I'm struggl…",Thu Nov 28 13:55:49 +0000 2019
london,,Jeremy-Corbyn,"RT @BBCPolitics: Jeremy Corbyn says Labour plans to plant two billion trees in England by 2040 are ""very ambitious"", calling the programme…",Thu Nov 28 13:55:49 +0000 2019
london,,Jeremy-Corbyn,"RT @BBCPolitics: Jeremy Corbyn says Labour plans to plant two billion trees in England by 2040 are ""very ambitious"", calling the programme…",Thu Nov 28 13:55:49 +0000 2019
