city,party,leader,tweet,tweet_time
swansea,,Boris-Johnson,"Scary scary stuff.

UK election: Boris Johnson's suppression of Russia report sparks backlash from Putin critics https://t.co/tiQN2hE1rd",Sat Nov 16 23:48:16 +0000 2019
swansea,,Boris-Johnson,"RT @Swansea4Europe: WHAT. IS. HE. PLAYING. AT?

British taxpayers face paying out a large fine after the EU launched a legal action against…",Sat Nov 16 21:34:17 +0000 2019
swansea,,Boris-Johnson,"Disgraceful. The government should be ashamed.
Bolton chief slams 'cladding lottery' as Boris Johnson faces pressur… https://t.co/ulLWoRqDSa",Sat Nov 16 21:25:27 +0000 2019
swansea,,Boris-Johnson,Bolton chief slams 'cladding lottery' as Boris Johnson faces pressure over fire https://t.co/FHScqX7pt4,Sat Nov 16 21:23:17 +0000 2019
swansea,,Boris-Johnson,"Of course he is! Look at those eyes, you would not buy a used car off this man, well not if you had any sense... 
'… https://t.co/1bEDXGqbVQ",Sat Nov 16 17:08:39 +0000 2019
swansea,,Boris-Johnson,"RT @haroldthimbleby: @TheEconomist The Economist says, ""The promise by Boris Johnson, the prime minister, to get Brexit done by October 31s…",Sat Nov 16 16:31:11 +0000 2019
swansea,,Boris-Johnson,"RT @Swansea4Europe: WHAT. IS. HE. PLAYING. AT?

British taxpayers face paying out a large fine after the EU launched a legal action against…",Sat Nov 16 15:02:02 +0000 2019
swansea,,Boris-Johnson,"@TheEconomist The Economist says, ""The promise by Boris Johnson, the prime minister, to get Brexit done by October… https://t.co/Ne0ethL5rs",Sat Nov 16 14:48:38 +0000 2019
swansea,,Boris-Johnson,"RT @Swansea4Europe: WHAT. IS. HE. PLAYING. AT?

British taxpayers face paying out a large fine after the EU launched a legal action against…",Sat Nov 16 13:54:44 +0000 2019
swansea,,Boris-Johnson,Boris Johnson!.. look out! the girls are in town 🤩🏴󠁧󠁢󠁷󠁬󠁳󠁿🎶🌻💡 https://t.co/AhMak717De,Sat Nov 16 13:53:33 +0000 2019
swansea,,Boris-Johnson,"RT @Swansea4Europe: WHAT. IS. HE. PLAYING. AT?

British taxpayers face paying out a large fine after the EU launched a legal action against…",Sat Nov 16 13:18:25 +0000 2019
swansea,,Boris-Johnson,Boris Johnson struggles to say what makes him relatable to voters in BBC interview – video https://t.co/wCjuKb3Sl1,Sat Nov 16 12:29:20 +0000 2019
swansea,,Boris-Johnson,"For nine extraordinary minutes, Boris Johnson stood next to his bus and lied and lied without sto... https://t.co/BlmupFBdgj",Sat Nov 16 12:19:07 +0000 2019
swansea,,Boris-Johnson,People are asking Boris Johnson why he hasn't rejected Tommy Robinson's endorsement https://t.co/tNMi0BD8oW,Sat Nov 16 12:15:33 +0000 2019
swansea,,Boris-Johnson,"RT @Swansea4Europe: WHAT. IS. HE. PLAYING. AT?

British taxpayers face paying out a large fine after the EU launched a legal action against…",Sat Nov 16 10:50:06 +0000 2019
swansea,,Boris-Johnson,"Hmm, Boris Johnson and the boss of BT think nationalising broadband to improve infrastructure and bring down costs… https://t.co/Au2bw4eN1E",Sat Nov 16 10:32:04 +0000 2019
swansea,,Boris-Johnson,Boris Johnson falsely claims there is 'no evidence' of Russian interference in UK politics https://t.co/weIh79a4dR,Sat Nov 16 10:07:39 +0000 2019
swansea,,Boris-Johnson,"RT @Swansea4Europe: WHAT. IS. HE. PLAYING. AT?

British taxpayers face paying out a large fine after the EU launched a legal action against…",Sat Nov 16 07:20:57 +0000 2019
swansea,,Boris-Johnson,"RT @Swansea4Europe: WHAT. IS. HE. PLAYING. AT?

British taxpayers face paying out a large fine after the EU launched a legal action against…",Sat Nov 16 06:05:56 +0000 2019
swansea,,Boris-Johnson,"Bribrary Laws needs to be be
Enforced on them 😵

Brexit U-Turn
https://t.co/BHdH2tPy2x",Sat Nov 16 01:43:28 +0000 2019
swansea,,Boris-Johnson,Bribery: Boris Johnson offered Nigel Farage peerage and Senior colleague a safe Tory seat two days before Brexit U-… https://t.co/S6BDwOSfUM,Sat Nov 16 01:39:07 +0000 2019
swansea,,Boris-Johnson,"RT @Swansea4Europe: WHAT. IS. HE. PLAYING. AT?

British taxpayers face paying out a large fine after the EU launched a legal action against…",Sat Nov 16 01:33:35 +0000 2019
swansea,,Boris-Johnson,RT @chris_hall: Way to chummy again with Boris Johnson on his bus on news at ten @Peston. Too serious for joking about,Fri Nov 15 22:53:28 +0000 2019
swansea,,Boris-Johnson,Way to chummy again with Boris Johnson on his bus on news at ten @Peston. Too serious for joking about,Fri Nov 15 22:45:54 +0000 2019
swansea,,Boris-Johnson,"RT @Swansea4Europe: WHAT. IS. HE. PLAYING. AT?

British taxpayers face paying out a large fine after the EU launched a legal action against…",Fri Nov 15 22:00:33 +0000 2019
